Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,Taxonomic Group,Name
CalNEMO,Nebalia sp  A.*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Leptostacans,
CalNEMO,Homarus americanus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Lobsters,
CalNEMO,Deltamysis holmquistae,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Mysids,
CalNEMO,Hyperacanthomysis longirostris,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Mysids,
CalNEMO,Neomysis japonica,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Mysids,
CalNEMO,Orientomysis aspera,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Mysids,
CalNEMO,Orientomysis hwanhaiensis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Mysids,
CalNEMO,Aspidoconcha limnoriae,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Ostracods,
CalNEMO,Eusarsiella zostericola,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Ostracods,
CalNEMO,Redekea californica,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Ostracods,
CalNEMO,Spinileberis quadriaculeata,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Ostracods,
CalNEMO,Palaemon carinicauda,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Shrimp,
CalNEMO,Palaemon kadiakensis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Shrimp,
CalNEMO,Palaemon macrodactylus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Shrimp,
CalNEMO,Palaemon modestus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Shrimp,
CalNEMO,Upogebia affinis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Shrimp,
CalNEMO,Upogebia major,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Shrimp,
CalNEMO,Sinelobus cf. stanfordi,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Crustaceans-Tanaids,
CalNEMO,Vallicula multiformis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Ctenophores,
CalNEMO,Barentsia benedeni,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Entoprocts,
CalNEMO,Urnatella gracilis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Entoprocts,
CalNEMO,Acanthogobius flavimanus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Alosa sapidissima,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Ambloplites rupestris*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Ameiurus catus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Ameiurus melas,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Ameiurus natalis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Ameiurus nebulosus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Anguilla anguilla*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Anguilla rostrata*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Carassius auratus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Chanos chanos*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Coptodon zillii*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Cyprinella lutrensis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Cyprinus carpio,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Dorosoma petenense,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Esox masquinongy*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Gambusia affinis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Gila orcuttii,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Hypomesus nipponensis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Ictalurus furcatus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Ictalurus punctatus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Lepomis cyanellus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Lepomis gibbosus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Lepomis gulosus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Lepomis macrochirus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Lepomis microlophus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Lucania goodei,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Lucania parva,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Menidia audens,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Micropterus coosae,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Micropterus dolomieu,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Micropterus punctulatus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Micropterus salmoides,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Morone saxatilis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Notemigonus crysoleucas,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Oplegnathus fasciatus*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Oreochromis mossambicus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Oreochromis urolepis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Perca flavescens,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Percina macrolepida,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Pimephales promelas,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Plecoglossus altivelis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Poecilia latipinna,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Pomoxis annularis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Pomoxis nigromaculatus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Ptychocheilus grandis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Salmo salar*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Salmo trutta*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Sander vitreus*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Tautoga onitis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Tridentiger barbatus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Tridentiger bifasciatus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Tridentiger trigonocephalus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fishes,
CalNEMO,Claviceps purpurea var. spartinae*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Fungi,
CalNEMO,Limulus polyphemus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Horseshoe Crab,
CalNEMO,Myocastor coypus*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mammals,
CalNEMO,Ondatra zibethicus*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mammals,
CalNEMO,Anadara ovalis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Anadara transversa,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Anomia simplex,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Arctica islandica,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Arcuatula senhousia,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Argopecten irradians,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Bankia carinata,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Corbicula fluminea,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Crassostrea virginica,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Gemma gemma,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Geukensia demissa,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Ischadium recurvum,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Laternula gracilis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Leiosolenus aristatus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Limecola petalum,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Limnoperna fortunei*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Lyrodus pedicellatus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Magallana gigas,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Magallana sikamea,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Mercenaria mercenaria,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Meretrix lusoria,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Mya arenaria,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Mytilus galloprovincialis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Nuttallia obscurata,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Ostrea angasi,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Ostrea edulis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Petricolaria pholadiformis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Potamocorbula amurensis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Ruditapes philippinarum,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Teredo bartschi,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Teredo furcifera,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Teredo navalis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Theora lubrica,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Xenostrobus securis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Bivalves,
CalNEMO,Batillaria attramentaria,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Boonea bisuturalis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Bullia rhodostoma,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Busycotypus canaliculatus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Catriona rickettsi,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Cipangopaludina chinensis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Crepidula convexa,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Crepidula fornicata,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Crepidula plana,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Cuthona perca,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Dendronotus orientalis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Guildfordia yoka,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Haloa japonica,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Heterogen japonica,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Ilyanassa obsoleta,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Leostyletus misakiensis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Littoridinops monroensis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Littorina littorea,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Littorina saxatilis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Melanochlamys ezoensis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Melanoides tuberculata,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Myosotella myosotis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Ocinebrellus inornatus,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Okenia plana,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Philine auriformis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Philine orientalis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Pomacea canaliculata,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Potamopyrgus antipodarum,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Sakuraeolis enosimensis,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Spurwinkia salsa,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Tenellia adspersa,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Urosalpinx cinerea,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Mollusks-Gastropods,
CalNEMO,Capillaria catenata*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Nematodes,
CalNEMO,Hysterothylacium brachyurum*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Nematodes,
CalNEMO,Philometroides sanguineus*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Nematodes,
CalNEMO,Cephalothrix cf. simula*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Nemerteans,
CalNEMO,Alternanthera philoxeroides*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Avicennia marina*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Bassia hyssopifolia*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Cabomba caroliniana*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Cakile edentula*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Cakile maritima*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Chenopodium macrospermum*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Cotula coronopifolia*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Cyperus difformis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Egeria densa*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Iris pseudacorus*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Juncus gerardii*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Lepidium latifolium*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Limnobium laevigatum*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Limosella australis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Ludwigia peploides*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Ludwigia spp.*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Lythrum salicaria*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Myriophyllum aquaticum*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Myriophyllum spicatum*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Nasturtium officinale*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Parapholis incurva*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Phragmites australis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Polypogon imberbis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Pontederia crassipes*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Potamogeton crispus*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Puccinellia maritima*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Salsola soda*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Spartina alterniflora*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Spartina anglica*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Spartina densiflora*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Spartina patens*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Spergularia media*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Typha angustifolia*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Vallisneria australis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Zostera japonica*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Plants,
CalNEMO,Alloglossidium corti*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Atractolytocestus huronensis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Austrobilharzia variglandis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Bothriocephalus cuspidatus*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Cercaria batillariae*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Corallobothrium fimbriatum*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Dactylogyrus extensus*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Gigantobilharzia sp.*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Himasthla quissetensis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Khawia japonensis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Lepocreadium setiferoides*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Leptoplana limnoriae*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Ligictaluridus pricei*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Maritrema arenaria*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Megathylacoides giganteum*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Microphallus similis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Pisciamphistoma stunkardi*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Stephanostomum tenue*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Zoogonus lasius*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Platyhelminthes,
CalNEMO,Bonamia ostreae*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Protozoans,
CalNEMO,Boveria teredinidi*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Protozoans,
CalNEMO,Conidophrys pilisuctor*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Protozoans,
CalNEMO,Cothurnia limnoriae*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Protozoans,
CalNEMO,Haplosporidium nelsoni*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Protozoans,
CalNEMO,Lagenophrys cochinensis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Protozoans,
CalNEMO,Lankesteria ascidiae*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Protozoans,
CalNEMO,Lobochona prorates*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Protozoans,
CalNEMO,Mirofolliculina limnoriae*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Protozoans,
CalNEMO,Rhizodomus tagatzi*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Protozoans,
CalNEMO,Trochammina hadai*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Protozoans,
CalNEMO,Trachemys scripta*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Reptiles-Turtles,
CalNEMO,Trachemys scripta elegans*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Reptiles-Turtles,
CalNEMO,Chalinula loosanoffi*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Sponges,
CalNEMO,Clathria prolifera*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Sponges,
CalNEMO,Halichondria bowerbanki*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Sponges,
CalNEMO,Hymeniacidon perlevis*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Sponges,
CalNEMO,Prosuberites sp.*,Sharon Shiba,Sharon.Shiba@wildlife.ca.gov,,Monitored,Sponges,
