Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,CHAPTER NAME,GENUS,SPECIES,FAMILY,ORDER,CLASS,DEPTH RANGE (CM),HABITAT TYPE,HABITAT DESCRIPTION,LIVES IN INTERTIDAL ZONE,LIVES IN SUBTIDAL ZONE,ADDITIONAL NOTES,RAND,Source,Notes
Light and Smith Manual,Anoplodactylus californicus,Chris Meyer,MeyerC@si.edu,*Sea spider,Inventory,Arthropoda: Pycnogonida,Anoplodactylus,californicus,Phoxichilidiidae,Pantopoda,Pycnogonida,*0-200,Marine coastal,"""The species has a pantropical/pantemperate range and is one of the few species of the genus with female ventral proboscis outgrowths of unknown use.""",*Yes,*Yes,Female has ventral proboscis outgrowths of unknown use,0.391473968,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Anoplodactylus nodosus,Chris Meyer,MeyerC@si.edu,*Sea spider,Inventory,Arthropoda: Pycnogonida,Anoplodactylus,nodosus,Phoxichilidiidae,Pantopoda,Pycnogonida,*0-100,Marine coastal,"""This species has been found only once at Santa Catalina Island but is easily recognized by its many leg outgrowths.""",*Yes,*Yes,Can be recognized by its many leg outgrowths,0.982764282,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Anoropallene palpida,Chris Meyer,MeyerC@si.edu,*Sea spider,Inventory,Arthropoda: Pycnogonida,Anoropallene,palpida,Callipallenidae,Pantopoda,Pycnogonida,*0-200,Shallow,"""This species is very similar to several Nymphon species, except that it has four rather than five palp segments and its abdomen points down at an angle. Shallow water from California to Peru.""",*Yes,Yes,Similar to Nymphon species but with four rather than five palp segments; abdomen points down at angle,0.707394286,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Nymphopsis spinosissima,Chris Meyer,MeyerC@si.edu,*Sea spider,Inventory,Arthropoda: Pycnogonida,Nymphopsis,spinosissima,Ammotheidae,Pantopoda,Pycnogonida,*0-100,Intertidal,"""Known only from the intertidal of the southern California coast, it is easily recognized by its three tall spinose trunk tubercles.""",Yes,No,Can be identified by three tall spinose trunk tubercles,0.155780823,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Phoxichilidium parvum,Chris Meyer,MeyerC@si.edu,*Sea spider,Inventory,Arthropoda: Pycnogonida,Phoxichilidium,parvum,Phoxichilidiidae,Pantopoda,Pycnogonida,*0-100,*Marine coastal,"""Santa Cruz and Japan.""",*Yes,*Yes,,0.56721155,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Phoxichilidium quadradentatum,Chris Meyer,MeyerC@si.edu,*Sea spider,Inventory,Arthropoda: Pycnogonida,Phoxichilidium,quadradentatum,Phoxichilidiidae,Pantopoda,Pycnogonida,*0-100,Nearshore,"""Often collected from nearshore buoys in Alaska and northern California: in the second (1954) edition of this manual, one of us noted that 'more than 10,000 specimens' of this species were collected on buoys near the Golden Gate Bridge in fouling surveys of the 1940s. It has extremely short auxiliary claws that are sometimes difficult to see.""",*Yes,Yes,Extremely short auxiliary claws that are sometimes difficult to see; abundant on buoys,0.62288422,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Pycnogonum stearnsi,Chris Meyer,MeyerC@si.edu,*Sea spider,Inventory,Arthropoda: Pycnogonida,Pycnogonum,stearnsi,Pycnogonidae,Pantopoda,Pycnogonida,*0-200,Shallow,"""This species boasts many records from the California coast (and Mexico) and around the North Pacific rim to the northern Kurile Islands, all in shallow depths. It has small, low dorsal trunk tubercles and similar low distal lateral process tubercles. It lacks reticulation. Often on Anthopleura, Metridium, and Aglaophenia.""",*Yes,Yes,"Has small, low dorsal trunk tubercles and similar low distal lateral process tubercles; lacks reticulation; often on Anthopleura, Metridium, and Aglaophenia",0.915858038,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Tanystylum californicum,Chris Meyer,MeyerC@si.edu,*Sea spider,Inventory,Arthropoda: Pycnogonida,Tanystylum,californicum,Ammotheidae,Pantopoda,Pycnogonida,*0-100,"Intertidal, hydroids","""Infrequently collected; on the hydroid Aglaophenia; known only from central and southern California. Its ocular tubercle arises on a mound and it has very tiny chelifore stumps.""",Yes,*No,Ocular tubercle arises on a mound; has very tiny chelifore stumps,0.956544452,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Tanystylum duospinum,Chris Meyer,MeyerC@si.edu,*Sea spider,Inventory,Arthropoda: Pycnogonida,Tanystylum,duospinum,Ammotheidae,Pantopoda,Pycnogonida,*0-100,"Intertidal, hydroids","""Similar to T. californicum, but smaller and less pigmented; palp 5-segmented; T. californicum abdomen about as long as last pair of lateral processes, while T. duospinum abdomen is longer than last pair of processes. On hydroids; larvae ectoparasitic on hydroid Orthopyxis everta.""",Yes,*No,Larvae are ectoparasitic on hydroid Orthopyxis everta,0.492167656,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Tanystylum intermedium,Chris Meyer,MeyerC@si.edu,*Sea spider,Inventory,Arthropoda: Pycnogonida,Tanystylum,intermedium,Ammotheidae,Pantopoda,Pycnogonida,*0-100,Shallow,"""Known from Monterey Bay to Chile and the Galapagos in shallow depths, this is the only California species to retain chelifore stumps.""",*Yes,Yes,Only California species to retain chelifore stumps,0.562932163,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Tanystylum occidentalis,Chris Meyer,MeyerC@si.edu,*Sea spider,Inventory,Arthropoda: Pycnogonida,Tanystylum,occidentalis,Ammotheidae,Pantopoda,Pycnogonida,*0-100,"Littoral, intertidal","""This rare species has a clean rounded appearance and its horizontal abdomen originates from a trunk swelling. Found in littoral habitats from Oregon to southern California.""",Yes,*No,Has clean rounded appearance; horizontal abdomen originates from trunk swelling,0.438431877,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,"""Musculus"" pygmaeus",Chris Meyer,MeyerC@si.edu,*Pygmy mussel,Inventory,Bivalvia,"""Musculus""",pygmaeus,MYTILIDAE,*Mytiloida,*Bivalvia,*0-30,*Rocky,"High intertidal, attached to blades or holdfast of alga Endocladia muricata from Marin County to San Luis Obispo County.",Yes,No,,0.077268744,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Acar bailyi,Chris Meyer,MeyerC@si.edu,*Barley arch,Inventory,Bivalvia,Acar,bailyi,ARCIDAE,*Arcoida,*Bivalvia,*0-300,Rocky,"The southern Californian Acar bailyi has been found in the intertidal zone as far north as Cayucos, San Luis Obispo County.",Yes,Yes,,0.202754669,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Acila castrensis,Chris Meyer,MeyerC@si.edu,*Ribbed nutclam,Inventory,Bivalvia,Acila,castrensis,NUCULIDAE,*Nuculoida,*Bivalvia,*30-9000,Fine sediments,Offshore in fine sediments.,No,Yes,,0.771731656,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Adontorhina cyclia,Chris Meyer,MeyerC@si.edu,*Round adontorhina,Inventory,Bivalvia,Adontorhina,cyclia,Thyasiridae,*Lucinida,*Bivalvia,*10-500,soft bottom,"""Although not present in the intertidal zone of central California, the following members of this family are relatively common on soft bottoms immediately offshore.""",No,Yes,*Small-sized bivalve living in soft sediments,0.200132836,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Adula californiensis,Chris Meyer,MeyerC@si.edu,*Californian date mussel,Inventory,Bivalvia,Adula,californiensis,MYTILIDAE,*Mytiloida,*Bivalvia,*0-300,Soft shale,"Boring mechanically in soft shale, mudstone, but occasionally free-living; intertidal to sublittoral zones.",Yes,Yes,,0.566943555,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Adula diegensis,Chris Meyer,MeyerC@si.edu,*San Diego date mussel,Inventory,Bivalvia,Adula,diegensis,MYTILIDAE,*Mytiloida,*Bivalvia,*0-300,Mud,"Free-living on mud flats, pilings, with Mytilus; distinguished from A. californiensis by its more flaring dorsal margin and sparse periostracal mat on the posterior slope.",Yes,Yes,,0.14691307,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Adula gruneri,Chris Meyer,MeyerC@si.edu,*Sand borer,Inventory,Bivalvia,Adula,gruneri,MYTILIDAE,*Mytiloida,*Bivalvia,*0-300,"Clay, shale",Boring mechanically in soft shale or clay.,Yes,Yes,"Formerly known as A. falcata (Gould, 1851)",0.539775823,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Anomia peruviana,Chris Meyer,MeyerC@si.edu,*Peruvian jingle,Inventory,Bivalvia,Anomia,peruviana,ANOMIIDAE,*Pectinoida,*Bivalvia,*0-300,*Rocky,Reported as far north as Monterey in association with El Nino years.,Yes,Yes,,0.734981503,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Axinopsida serricata,Chris Meyer,MeyerC@si.edu,*Serrated axinopsida,Inventory,Bivalvia,Axinopsida,serricata,THYASIRIDAE,*Veneroida,*Bivalvia,*30-9000,Soft bottoms,Common on soft bottoms immediately offshore.,No,Yes,,0.256908743,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Bankia setacea,Chris Meyer,MeyerC@si.edu,*Feathery shipworm,Inventory,Bivalvia,Bankia,setacea,Teredinidae,*Myoida,*Bivalvia,*0-20,wood,"""Possesses external fertilization and planktonic larval stage.""",Yes,*Yes,"""Wood borer with segmented pallets; planktonic larval stage""",0.57584021,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Barnea subtruncata,Chris Meyer,MeyerC@si.edu,*Subtruncate piddock,Inventory,Bivalvia,Barnea,subtruncata,Pholadidae,*Myoida,*Bivalvia,*0-20,mud/clay,"""Burrowing in mud or clay of well-protected bays.""",Yes,*No,"""Burrows in soft substrates in protected bays""",0.078778077,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Bernardina bakeri,Chris Meyer,MeyerC@si.edu,*Baker's bernardina,Inventory,Bivalvia,Bernardina,bakeri,Neoleptonidae,*Veneroida,*Bivalvia,*0-20,*rocky,"""Very small-size nestlers in rubble from the intertidal zone to just offshore.""",Yes,Yes,*Small nestling species in rocky habitats,0.651112425,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Callithaca tenerrima,Chris Meyer,MeyerC@si.edu,*Thin-shelled littleneck,Inventory,Bivalvia,Callithaca,tenerrima,Veneridae,*Veneroida,*Bivalvia,*0-50,sandy mud,"""Uncommon, in semiprotected areas of bays and offshore in sandy mud.""",Yes,Yes,"*Characterized by thin, flattened valves with fine sculpture",0.087059917,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cardiomya pectinata,Chris Meyer,MeyerC@si.edu,*Pectinate cardiomya,Inventory,Bivalvia,Cardiomya,pectinata,Cuspidariidae,*Anomalodesmata,*Bivalvia,*10-100,soft sediment,"""Offshore on soft sediments.""",No,Yes,"""Has distinctive radial ribs; carnivorous bivalve""",0.317267478,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Chaceia ovoidea,Chris Meyer,MeyerC@si.edu,*Ovoid piddock,Inventory,Bivalvia,Chaceia,ovoidea,Pholadidae,*Myoida,*Bivalvia,*0-20,shale,"""Boring into shale.""",Yes,*No,"""Rock borer with distinctive siphons bearing orange, chitinous patches""",0.313577861,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Chama arcana,Chris Meyer,MeyerC@si.edu,*Reversed chama,Inventory,Bivalvia,Chama,arcana,CHAMIDAE,*Veneroida,*Bivalvia,*0-300,*Rocky,Cemented to protected surfaces of mid-intertidal rocks; on pilings.,Yes,Yes,"Long misidentified as C. pellucida Broderip, 1835, a South American species",0.837440426,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Chlamydoconcha orcutti,Chris Meyer,MeyerC@si.edu,*Orcutt's chlamydoconcha,Inventory,Bivalvia,Chlamydoconcha,orcutti,GALEOMMATIDAE,*Veneroida,*Bivalvia,*0-300,*Rocky,Shell entirely internal.,Yes,Yes,,0.969405002,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Chlamys hastata,Chris Meyer,MeyerC@si.edu,Spiny scallop,Inventory,Bivalvia,Chlamys,hastata,PECTINIDAE,*Pectinoida,*Bivalvia,*30-9000,*Rocky,The spiny scallop is most common offshore pectinid in central California.,No,Yes,,0.647026181,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Chlamys rubida,Chris Meyer,MeyerC@si.edu,Red scallop,Inventory,Bivalvia,Chlamys,rubida,PECTINIDAE,*Pectinoida,*Bivalvia,*30-9000,*Rocky,"Less common, the red scallop is occasionally dredged offshore.",No,Yes,,0.826716055,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Clinocardium blandum,Chris Meyer,MeyerC@si.edu,*Smooth cockle,Inventory,Bivalvia,Clinocardium,blandum,Cardiidae,*Veneroida,*Bivalvia,*10-100,*sand/mud,"""A more northerly species that is found just offshore as far south as Sonoma County.""",No,Yes,*Northern species extending to central California,0.074679672,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Clinocardium nuttallii,Chris Meyer,MeyerC@si.edu,*Nuttall's cockle,Inventory,Bivalvia,Clinocardium,nuttallii,Cardiidae,*Veneroida,*Bivalvia,*0-100,sandy,"""Mid-intertidal to offshore in sandy areas of bays.""",Yes,Yes,"""Known for its distinctive pronounced radiating ribs; common edible species""",0.279161292,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Compsomyax subdiaphana,Chris Meyer,MeyerC@si.edu,*Milky venus,Inventory,Bivalvia,Compsomyax,subdiaphana,Veneridae,*Veneroida,*Bivalvia,*10-100,soft bottom,"""Shell with weak commarginal striae; on soft offshore substrata.""",No,Yes,*Semi-transparent shell with weak sculpturing,0.797462299,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cooperella subdiaphana,Chris Meyer,MeyerC@si.edu,*Subdiaphanous cooperella,Inventory,Bivalvia,Cooperella,subdiaphana,Petricolidae,*Veneroida,*Bivalvia,*0-20,mud,"""A thin, fragile species more common offshore, but occasionally found on low tidal mudflats. Often found living in mucus-lined ""mud-balls.""""",Yes,Yes,"""Often found in mucus-lined 'mud-balls'""",0.224416887,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Corbicula fluminea,Chris Meyer,MeyerC@si.edu,*Asian clam,Inventory,Bivalvia,Corbicula,fluminea,Corbiculidae,*Veneroida,*Bivalvia,*0-100,freshwater,"""Has a thick, trigonal shell with low commarginal ridges covered by a heavy black-brown periostracum. Sometimes encountered on bay and ocean beaches as discarded fish bait, it is abundant in freshwater canals and irrigation channels, and large aggregations have locally clogged canal systems and water pipes.""",*Yes,*No,"""Introduced Asian species; sometimes discarded as fish bait""",0.466237746,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Corbula amurensis,Chris Meyer,MeyerC@si.edu,*Amur corbula,Inventory,Bivalvia,Corbula,amurensis,Corbulidae,*Myoida,*Bivalvia,*0-20,*mud/sand,"""An Asian species introduced into San Francisco Bay, where it has occurred in vast numbers.""",Yes,*No,"""Introduced Asian species now abundant in San Francisco Bay""",0.263913703,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Corbula luteola,Chris Meyer,MeyerC@si.edu,*Yellowish corbula,Inventory,Bivalvia,Corbula,luteola,Corbulidae,*Myoida,*Bivalvia,*0-20,*soft bottom,"""A southern Californian species recorded in shallow water in Monterey Bay in warm-water years.""",*Yes,*Yes,"""Southern species found in Monterey Bay during warm water years""",0.794374254,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Crassadoma gigantea,Chris Meyer,MeyerC@si.edu,Giant rock-scallop,Inventory,Bivalvia,Crassadoma,gigantea,PECTINIDAE,*Pectinoida,*Bivalvia,*0-300,*Rocky,"The giant rock-scallop is free-living when young, attaching as an adult to rocks and pilings, where growth becomes irregular.",Yes,Yes,Formerly known as Hinnites giganteus,0.852632012,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Crassostrea ariakensis,Chris Meyer,MeyerC@si.edu,Suminoe oyster,Inventory,Bivalvia,Crassostrea,ariakensis,OSTREIDAE,*Pterioida,*Bivalvia,*0-300,*Estuarine,Suminoe oyster; native to eastern Asia and occasionally cultured in bays and estuaries north of San Francisco Bay. Reproductive status in this range unknown. Also mistakenly known as C. rivularis.,Yes,Yes,,0.572693707,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Crassostrea gigas,Chris Meyer,MeyerC@si.edu,Pacific oyster,Inventory,Bivalvia,Crassostrea,gigas,OSTREIDAE,*Pterioida,*Bivalvia,*0-300,*Estuarine,"Japanese or Pacific oyster, native to Asia; introduced; large oyster farms in Drake's Estero and Tomales Bay in central California; shells are common. Frequently reproduces; scattered individuals common in estuaries with oyster culture, and rare on open coastline.",Yes,Yes,,0.938266152,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Crassostrea sikamea,Chris Meyer,MeyerC@si.edu,Kumamoto oyster,Inventory,Bivalvia,Crassostrea,sikamea,OSTREIDAE,*Pterioida,*Bivalvia,*0-300,*Estuarine,Kumamoto oyster; native to Japan. Cultured in bays and estuaries north of San Francisco Bay. Reproduction in California unknown.,Yes,Yes,,0.647110435,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Crassostrea virginica,Chris Meyer,MeyerC@si.edu,Eastern oyster,Inventory,Bivalvia,Crassostrea,virginica,OSTREIDAE,*Pterioida,*Bivalvia,*0-300,*Estuarine,"The eastern oyster, native to Atlantic and Gulf of Mexico coasts, occasionally cultured in bays and estuaries from San Francisco Bay north. Reproduction in this range rare.",Yes,Yes,,0.230701087,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Crenella decussata,Chris Meyer,MeyerC@si.edu,*Decussate crenella,Inventory,Bivalvia,Crenella,decussata,MYTILIDAE,*Mytiloida,*Bivalvia,*30-9000,Soft sediments,"A small, rounded species in soft sediments just offshore.",No,Yes,,0.583503451,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cryptomya californica,Chris Meyer,MeyerC@si.edu,*California cryptomya,Inventory,Bivalvia,Cryptomya,californica,Myidae,*Myoida,*Bivalvia,*0-20,sand/mud,"""In sand or mud in bays; using its very short siphons, Cryptomya ""taps"" the burrows of other invertebrates, particularly of Urechis and Upogebia; also on open coast in gravel, among rocks.""",Yes,Yes,"""Uses short siphons to 'tap' burrows of other invertebrates""",0.819925748,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cumingia californica,Chris Meyer,MeyerC@si.edu,*California cumingia,Inventory,Bivalvia,Cumingia,californica,Semelidae,*Veneroida,*Bivalvia,*0-20,rocky,"""Common nestler in rocky intertidal zone.""",Yes,*No,"""Common nestler in rocky habitats""",0.789111839,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Cyclocardia ventricosa,Chris Meyer,MeyerC@si.edu,*Ventricose cyclocardia,Inventory,Bivalvia,Cyclocardia,ventricosa,CARDITIDAE,*Veneroida,*Bivalvia,*30-9000,Soft bottoms,This is the most common carditid found offshore on soft bottoms.,No,Yes,,0.795642729,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Diplodonta orbella,Chris Meyer,MeyerC@si.edu,*Round diplodonta,Inventory,Bivalvia,Diplodonta,orbella,UNGULINIDAE,*Veneroida,*Bivalvia,*0-300,*Rocky,Lives in holes in rocks and forming a nest of agglutinated detritus and sand under rocks.,Yes,Yes,,0.771799373,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ennucula tenuis,Chris Meyer,MeyerC@si.edu,*Smooth nutclam,Inventory,Bivalvia,Ennucula,tenuis,NUCULIDAE,*Nuculoida,*Bivalvia,*30-9000,Fine sediments,Offshore in fine sediments.,No,Yes,,0.832626063,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Ensis myrae,Chris Meyer,MeyerC@si.edu,*Myre's jackknife clam,Inventory,Bivalvia,Ensis,myrae,Pharidae,*Veneroida,*Bivalvia,*10-100,*soft bottom,"""A long, thin, offshore species.""",No,Yes,"""Distinctive long, thin shell""",0.017952907,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Entodesma navicula,Chris Meyer,MeyerC@si.edu,*Boat-shaped entodesma,Inventory,Bivalvia,Entodesma,navicula,Lyonsiidae,*Anomalodesmata,*Bivalvia,*0-20,rocky,"""Byssally attached under rocks in low intertidal, in fouling on wharf pilings.""",Yes,*Yes,"""Large species with thick shell and heavy periostracum""",0.43543778,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Entodesma pictum,Chris Meyer,MeyerC@si.edu,*Painted entodesma,Inventory,Bivalvia,Entodesma,pictum,Lyonsiidae,*Anomalodesmata,*Bivalvia,*0-20,*various,"""Small, lighter in color and more regular in shape than E. navicula; reported in sponges and compound ascidians.""",Yes,*Yes,"""Found in sponges and compound ascidians""",0.032670161,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Epilucina californica,Chris Meyer,MeyerC@si.edu,*California lucine,Inventory,Bivalvia,Epilucina,californica,LUCINIDAE,*Veneroida,*Bivalvia,*0-300,Gravel,In the intertidal zone nestling in gravel and crevices on rocky coast.,Yes,Yes,,0.875049159,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Euvola diegensis,Chris Meyer,MeyerC@si.edu,San Diego scallop,Inventory,Bivalvia,Euvola,diegensis,PECTINIDAE,*Pectinoida,*Bivalvia,*30-9000,*Sandy,The San Diego scallop is occasionally found in shallow water as far north as Bodega Bay.,No,Yes,,0.239448604,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Gemma gemma,Chris Meyer,MeyerC@si.edu,Gem clam,Inventory,Bivalvia,Gemma,gemma,Veneridae,*Veneroida,*Bivalvia,*0-20,mud,"""Gem clam; introduced from Atlantic; common to abundant in mud of bays.""",Yes,*No,"""Introduced Atlantic species; very small size (max 5mm)""",0.718174786,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Geukensia demissa,Chris Meyer,MeyerC@si.edu,*Atlantic ribbed mussel,Inventory,Bivalvia,Geukensia,demissa,MYTILIDAE,*Mytiloida,*Bivalvia,*0-300,Mud,"An introduced western Atlantic mussel now abundant in mud in sloughs, bays, in cracks on pilings.",Yes,Yes,,0.901067252,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
Light and Smith Manual,Glans carpenteri,Chris Meyer,MeyerC@si.edu,*Carpenter's glans,Inventory,Bivalvia,Glans,carpenteri,CARDITIDAE,*Veneroida,*Bivalvia,*0-300,*Rocky,Attains only about 10 mm in length and attaches by a byssus to the undersurfaces of rocks on open coast; broods young.,Yes,Yes,,0.472255159,"Carlton, J. T. (Ed.). (2007). The Light and Smith Manual: Intertidal Invertebrates from Central California to Oregon (4th ed.). University of California Press.",
