Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID.x	identifier	title	format	datasetID.y	subject	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI
CERADOCUS SPINICAUDA	R03982;R12358;R15790	531438	urn:lsid:marinespecies.org:taxname:531438	urn:lsid:marinespecies.org:taxname:531438	urn:lsid:marinespecies.org:taxname:531438	urn:lsid:marinespecies.org:taxname:101668	NA	Ceradocus spinicauda	Ceradocus spinicauda	Ceradocus	NA	NA	Animalia	Arthropoda	Malacostraca	Amphipoda	Maeridae	Ceradocus	NA	spinicauda	NA	Species	(Holmes, 1908)	ICZN	accepted	NA	2019-11-01	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Ceradocus spinicauda (Holmes, 1908). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=531438	https://www.marinespecies.org/aphia.php?p=taxdetails&id=531438	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	531438	101668	Ceradocus spinicauda	NA	NA
CERAMASTER ARCTICUS	R10369	368804	urn:lsid:marinespecies.org:taxname:368804	urn:lsid:marinespecies.org:taxname:368804	urn:lsid:marinespecies.org:taxname:368804	urn:lsid:marinespecies.org:taxname:123291	NA	Ceramaster arcticus	Ceramaster arcticus	Ceramaster	NA	NA	Animalia	Echinodermata	Asteroidea	Valvatida	Goniasteridae	Ceramaster	NA	arcticus	NA	Species	(Verrill, 1909)	ICZN	accepted	NA	2008-10-23	Mah, C.L. (2024). World Asteroidea Database. Ceramaster arcticus (Verrill, 1909). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=368804	https://www.marinespecies.org/aphia.php?p=taxdetails&id=368804	NA	NA	NA	NA	NA	NCBI:txid556792	To GenBank (6 nucleotides; 2 proteins)	NA	ncbi	NA	368804	123291	Ceramaster arcticus	NCBI:txid136954	NCBI:txid556792
CERAMASTER CLARKI	R17973	368805	urn:lsid:marinespecies.org:taxname:368805	urn:lsid:marinespecies.org:taxname:368805	urn:lsid:marinespecies.org:taxname:368805	urn:lsid:marinespecies.org:taxname:123291	NA	Ceramaster clarki	Ceramaster clarki	Ceramaster	Fisher, W.K. (1910). New starfishes from the North Pacific. I. Phanerozonia. II. Spinulosa. <em>Zologischer Anzeiger.</em> 35(18): 545-553, 568-574.	1910	Animalia	Echinodermata	Asteroidea	Valvatida	Goniasteridae	Ceramaster	NA	clarki	NA	Species	Fisher, 1910	ICZN	accepted	NA	2008-10-23	Mah, C.L. (2024). World Asteroidea Database. Ceramaster clarki Fisher, 1910. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=368805	https://www.marinespecies.org/aphia.php?p=taxdetails&id=368805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	368805	123291	Ceramaster clarki	NCBI:txid136954	NA
CERAMASTER JAPONICUS	R17974	368808	urn:lsid:marinespecies.org:taxname:368808	urn:lsid:marinespecies.org:taxname:368808	urn:lsid:marinespecies.org:taxname:368808	urn:lsid:marinespecies.org:taxname:123291	NA	Ceramaster japonicus	Ceramaster japonicus	Ceramaster	NA	NA	Animalia	Echinodermata	Asteroidea	Valvatida	Goniasteridae	Ceramaster	NA	japonicus	NA	Species	(Sladen, 1889)	ICZN	accepted	NA	2008-10-23	Mah, C.L. (2024). World Asteroidea Database. Ceramaster japonicus (Sladen, 1889). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=368808	https://www.marinespecies.org/aphia.php?p=taxdetails&id=368808	NA	NA	NA	NA	NA	NCBI:txid2482676	To GenBank (33 nucleotides; 25 proteins)	NA	ncbi	NA	368808	123291	Ceramaster japonicus	NCBI:txid136954	NCBI:txid2482676
CERAMASTER LEPTOCERAMUS	R17999	368810	urn:lsid:marinespecies.org:taxname:368810	urn:lsid:marinespecies.org:taxname:368810	urn:lsid:marinespecies.org:taxname:368810	urn:lsid:marinespecies.org:taxname:123291	NA	Ceramaster leptoceramus	Ceramaster leptoceramus	Ceramaster	NA	NA	Animalia	Echinodermata	Asteroidea	Valvatida	Goniasteridae	Ceramaster	NA	leptoceramus	NA	Species	(Fisher, 1905)	ICZN	accepted	NA	2008-10-23	Mah, C.L. (2024). World Asteroidea Database. Ceramaster leptoceramus (Fisher, 1905). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=368810	https://www.marinespecies.org/aphia.php?p=taxdetails&id=368810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	368810	123291	Ceramaster leptoceramus	NCBI:txid136954	NA
CERAMASTER PATAGONICUS	R17975	213335	urn:lsid:marinespecies.org:taxname:213335	urn:lsid:marinespecies.org:taxname:213335	urn:lsid:marinespecies.org:taxname:213335	urn:lsid:marinespecies.org:taxname:123291	NA	Ceramaster patagonicus	Ceramaster patagonicus	Ceramaster	NA	NA	Animalia	Echinodermata	Asteroidea	Valvatida	Goniasteridae	Ceramaster	NA	patagonicus	NA	Species	(Sladen, 1889)	ICZN	accepted	NA	2008-06-11	Mah, C.L. (2024). World Asteroidea Database. Ceramaster patagonicus (Sladen, 1889). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=213335	https://www.marinespecies.org/aphia.php?p=taxdetails&id=213335	NA	NA	NA	NA	NA	NCBI:txid136955	To GenBank (18 nucleotides; 9 proteins)	NA	ncbi	NA	213335	123291	Ceramaster patagonicus	NCBI:txid136954	NCBI:txid136955
CERAMIUM	R11121	143834	urn:lsid:marinespecies.org:taxname:143834	urn:lsid:marinespecies.org:taxname:143834	urn:lsid:marinespecies.org:taxname:143834	urn:lsid:marinespecies.org:taxname:163029	NA	Ceramium	Ceramium	Ceramieae	Roth, A.W. (1797). Catalecta Botanica (Quibus plantae novae et minus cognitae describuntur atque illustrantur). Fasc. 1. <em>Lipseae.</em> 244 pp., 8 pls.	1797	Plantae	Rhodophyta	Florideophyceae	Ceramiales	Ceramiaceae	Ceramium	NA	NA	NA	Genus	Roth, 1797	ICN	accepted	NA	2018-12-17	Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Ceramium Roth, 1797. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=143834	https://www.marinespecies.org/aphia.php?p=taxdetails&id=143834	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	143834	163029	NA	NA	NA
CERAMIUM PACIFICUM	R11381	372549	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CERAPUS	R03983	101566	urn:lsid:marinespecies.org:taxname:101566	urn:lsid:marinespecies.org:taxname:101566	urn:lsid:marinespecies.org:taxname:101566	urn:lsid:marinespecies.org:taxname:1059261	NA	Cerapus	Cerapus	Cerapodini	Say, T. (1817-1818). An account of the Crustacea of the United States. <em>Journal of the Academy of Natural Sciences of Philadelphia.</em> 1(1):57-63, 65-80 (pl.), 97-101, 155-169 (1817); 1(2): 235-253, 313-319, 374-401, 423-441 (1818).	1817-1818	Animalia	Arthropoda	Malacostraca	Amphipoda	Ischyroceridae	Cerapus	NA	NA	NA	Genus	Say, 1817	ICZN	accepted	NA	2023-02-19	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Cerapus Say, 1817. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101566	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101566	NA	NA	NA	NA	NA	NCBI:txid464349	To Genbank	NA	ncbi	NA	101566	1059261	NA	NA	NCBI:txid464349
CERAPUS BENTHOPHILUS	R03984	421588	urn:lsid:marinespecies.org:taxname:421588	urn:lsid:marinespecies.org:taxname:421588	urn:lsid:marinespecies.org:taxname:421588	urn:lsid:marinespecies.org:taxname:101566	NA	Cerapus benthophilus	Cerapus benthophilus	Cerapus	Thomas J.D. & Heard R.W. (1979). A new species of Cerapus Say, 1817 (Crustacea:Amphipoda) from the northern Gulf of Mexico with notes on its ecology. Proceedings of the Biological Society of Washington., 92, 1, 98-105.	1979	Animalia	Arthropoda	Malacostraca	Amphipoda	Ischyroceridae	Cerapus	NA	benthophilus	NA	Species	Thomas & Heard, 1979	ICZN	accepted	NA	2010-07-22	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Cerapus benthophilus Thomas & Heard, 1979. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=421588	https://www.marinespecies.org/aphia.php?p=taxdetails&id=421588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	421588	101566	Cerapus benthophilus	NCBI:txid464349	NA
CERAPUS TUBULARIS	R03033	158078	urn:lsid:marinespecies.org:taxname:158078	urn:lsid:marinespecies.org:taxname:158078	urn:lsid:marinespecies.org:taxname:158078	urn:lsid:marinespecies.org:taxname:101566	NA	Cerapus tubularis	Cerapus tubularis	Cerapus	Say, T. (1817-1818). An account of the Crustacea of the United States. <em>Journal of the Academy of Natural Sciences of Philadelphia.</em> 1(1):57-63, 65-80 (pl.), 97-101, 155-169 (1817); 1(2): 235-253, 313-319, 374-401, 423-441 (1818).	1817-1818	Animalia	Arthropoda	Malacostraca	Amphipoda	Ischyroceridae	Cerapus	NA	tubularis	NA	Species	Say, 1817	ICZN	accepted	NA	2023-02-19	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilas-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Valls Domedel, G.; Vonk, R.; White, K.; Zeidler, W. (2024). World Amphipoda Database. Cerapus tubularis Say, 1817. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158078	https://www.marinespecies.org/aphia.php?p=taxdetails&id=158078	NA	NA	NA	NA	NA	NCBI:txid3019971	To GenBank (1 nucleotides; 1 proteins)	NA	ncbi	NA	158078	101566	Cerapus tubularis	NCBI:txid464349	NCBI:txid3019971
CERASTODERMA	R03986	137735	urn:lsid:marinespecies.org:taxname:137735	urn:lsid:marinespecies.org:taxname:137735	urn:lsid:marinespecies.org:taxname:137735	urn:lsid:marinespecies.org:taxname:1496553	NA	Cerastoderma	Cerastoderma	Cerastodermatini	Poli J.X. (1791). <i>Testacea utriusque Siciliae eorumque historia et anatome tabulis aeneis illustrata.</i>  Ex Regio Typographeio, Parmae. Vol. 1: pp. i-lxxiii, [1-6], i-x, 1-90, 1-50, [1], 1-74, pls 1-18. 	1791	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Cerastoderma	NA	NA	NA	Genus	Poli, 1795	ICZN	accepted	NA	2021-09-24	MolluscaBase eds. (2024). MolluscaBase. Cerastoderma Poli, 1795. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137735	https://www.marinespecies.org/aphia.php?p=taxdetails&id=137735	NA	NA	NA	NA	NA	NCBI:txid55709	To Genbank	NA	ncbi	NA	137735	1496553	NA	NA	NCBI:txid55709
CERASTODERMA EDULE	R03987	138998	urn:lsid:marinespecies.org:taxname:138998	urn:lsid:marinespecies.org:taxname:138998	urn:lsid:marinespecies.org:taxname:138998	urn:lsid:marinespecies.org:taxname:137735	NA	Cerastoderma edule	Cerastoderma edule	Cerastoderma	NA	NA	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Cerastoderma	NA	edule	NA	Species	(Linnaeus, 1758)	ICZN	accepted	NA	2014-10-29	MolluscaBase eds. (2024). MolluscaBase. Cerastoderma edule (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=138998	https://www.marinespecies.org/aphia.php?p=taxdetails&id=138998	NA	NA	NA	NA	NA	NCBI:txid55710	To GenBank (5438 nucleotides; 301 proteins)	NA	ncbi	NA	138998	137735	Cerastoderma edule	NCBI:txid55709	NCBI:txid55710
CERASTODERMA GLAUCUM	R03988	138999	urn:lsid:marinespecies.org:taxname:138999	urn:lsid:marinespecies.org:taxname:138999	urn:lsid:marinespecies.org:taxname:138999	urn:lsid:marinespecies.org:taxname:137735	NA	Cerastoderma glaucum	Cerastoderma glaucum	Cerastoderma	NA	NA	Animalia	Mollusca	Bivalvia	Cardiida	Cardiidae	Cerastoderma	NA	glaucum	NA	Species	(Bruguière, 1789)	ICZN	accepted	NA	2014-06-05	MolluscaBase eds. (2024). MolluscaBase. Cerastoderma glaucum (Bruguière, 1789). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=138999	https://www.marinespecies.org/aphia.php?p=taxdetails&id=138999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	138999	137735	Cerastoderma glaucum	NCBI:txid55709	NA
CERATIA PROXIMA	R03989	140128	urn:lsid:marinespecies.org:taxname:140128	urn:lsid:marinespecies.org:taxname:140128	urn:lsid:marinespecies.org:taxname:140128	urn:lsid:marinespecies.org:taxname:138082	NA	Ceratia proxima	Ceratia proxima	Ceratia	NA	NA	Animalia	Mollusca	Gastropoda	Littorinimorpha	Iravadiidae	Ceratia	NA	proxima	NA	Species	(Forbes & Hanley, 1850)	ICZN	accepted	NA	2022-12-07	MolluscaBase eds. (2024). MolluscaBase. Ceratia proxima (Forbes & Hanley, 1850). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=140128	https://www.marinespecies.org/aphia.php?p=taxdetails&id=140128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	140128	138082	Ceratia proxima	NCBI:txid2717136	NA
CERATOCEPHALE	R03990	129371	urn:lsid:marinespecies.org:taxname:129371	urn:lsid:marinespecies.org:taxname:129371	urn:lsid:marinespecies.org:taxname:129371	urn:lsid:marinespecies.org:taxname:324422	https://doi.org/10.5962/bhl.title.13358	Ceratocephale	Ceratocephale	Gymnonereidinae	Malmgren, A.J. (1867). Annulata Polychaeta Spetsbergiæ, Grœnlandiæ, Islandiæ et Scandinaviæ. Hactenus Cognita. Ex Officina Frenckelliana, Helsingforslæ. 127 pp. & XIV plates.	1867	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Ceratocephale	NA	NA	NA	Genus	Malmgren, 1867	ICZN	accepted	NA	2019-03-12	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ceratocephale Malmgren, 1867. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129371	https://www.marinespecies.org/aphia.php?p=taxdetails&id=129371	NA	NA	NA	NA	NA	NCBI:txid378378	To Genbank	NA	ncbi	NA	129371	324422	NA	NA	NCBI:txid378378
CERATOCEPHALE HARTMANAE	R01096	327387	urn:lsid:marinespecies.org:taxname:327387	urn:lsid:marinespecies.org:taxname:327387	urn:lsid:marinespecies.org:taxname:327387	urn:lsid:marinespecies.org:taxname:129371	https://doi.org/10.1080/00222937700770541	Ceratocephale hartmanae	Ceratocephale hartmanae	Ceratocephale	Banse, Karl. (1977). Gymnonereidinae new subfamily: the Nereididae (Polychaeta) with bifid parapodial neurocirri. <em>Journal of Natural History.</em> 11(6): 609-628.	1977	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Ceratocephale	NA	hartmanae	NA	Species	Banse, 1977	ICZN	accepted	NA	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ceratocephale hartmanae Banse, 1977. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=327387	https://www.marinespecies.org/aphia.php?p=taxdetails&id=327387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	327387	129371	Ceratocephale hartmanae	NCBI:txid378378	NA
CERATOCEPHALE LOVENI	R01097	130367	urn:lsid:marinespecies.org:taxname:130367	urn:lsid:marinespecies.org:taxname:130367	urn:lsid:marinespecies.org:taxname:130367	urn:lsid:marinespecies.org:taxname:129371	https://doi.org/10.5962/bhl.title.13358	Ceratocephale loveni	Ceratocephale loveni	Ceratocephale	Malmgren, A.J. (1867). Annulata Polychaeta Spetsbergiæ, Grœnlandiæ, Islandiæ et Scandinaviæ. Hactenus Cognita. Ex Officina Frenckelliana, Helsingforslæ. 127 pp. & XIV plates.	1867	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Ceratocephale	NA	loveni	NA	Species	Malmgren, 1867	ICZN	accepted	NA	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ceratocephale loveni Malmgren, 1867. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130367	https://www.marinespecies.org/aphia.php?p=taxdetails&id=130367	NA	NA	NA	NA	NA	NCBI:txid378379	To GenBank (5 nucleotides; 0 proteins)	NA	ncbi	NA	130367	129371	Ceratocephale loveni	NCBI:txid378378	NCBI:txid378379
CERATOCEPHALE OCULATA	R03991	157292	urn:lsid:marinespecies.org:taxname:157292	urn:lsid:marinespecies.org:taxname:157292	urn:lsid:marinespecies.org:taxname:157292	urn:lsid:marinespecies.org:taxname:129371	https://doi.org/10.1080/00222937700770541	Ceratocephale oculata	Ceratocephale oculata	Ceratocephale	Banse, Karl. (1977). Gymnonereidinae new subfamily: the Nereididae (Polychaeta) with bifid parapodial neurocirri. <em>Journal of Natural History.</em> 11(6): 609-628.	1977	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Ceratocephale	NA	oculata	NA	Species	Banse, 1977	ICZN	accepted	NA	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ceratocephale oculata Banse, 1977. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=157292	https://www.marinespecies.org/aphia.php?p=taxdetails&id=157292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	157292	129371	Ceratocephale oculata	NCBI:txid378378	NA
CERATOMYXA NOBLEI	R17911	465110	urn:lsid:marinespecies.org:taxname:465110	urn:lsid:marinespecies.org:taxname:465110	urn:lsid:marinespecies.org:taxname:465110	urn:lsid:marinespecies.org:taxname:120262	https://doi.org/10.1007/s11230-009-9227-1	Ceratomyxa noblei	Ceratomyxa noblei	Ceratomyxa	Gunter, N.; Adlard, R. (2010). The demise of Leptotheca Thélohan, 1895 (Myxozoa: Myxosporea: Ceratomyxidae) and assignment of its species to Ceratomyxa Thélohan, 1892 (Myxosporea: Ceratomyxidae), Ellipsomyxa Køie, 2003 (Myxosporea: Ceratomyxidae), Myxobolus Bütschli, 1882 and Sphaerospora Thélohan, 1892 (Myxosporea: Sphaerosporidae). <em>Systematic Parasitology.</em> 75(2): 81-104.	2010	Animalia	Cnidaria	Myxozoa	Bivalvulida	Ceratomyxidae	Ceratomyxa	NA	noblei	NA	Species	Gunter & Adlard, 2010	ICZN	accepted	NA	2019-09-18	WoRMS (2024). Ceratomyxa noblei Gunter & Adlard, 2010. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=465110	https://www.marinespecies.org/aphia.php?p=taxdetails&id=465110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	465110	120262	Ceratomyxa noblei	NCBI:txid60661	NA
CERATONEREIS	R03992	129372	urn:lsid:marinespecies.org:taxname:129372	urn:lsid:marinespecies.org:taxname:129372	urn:lsid:marinespecies.org:taxname:129372	urn:lsid:marinespecies.org:taxname:324346	NA	Ceratonereis	Ceratonereis	Nereidinae	Kinberg, J.G.H. (1865). Annulata nova. [Continuatio.]. <em>Öfversigt af Königlich Vetenskapsakademiens förhandlingar, Stockholm.</em> 22(2): 167-179.	1865	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Ceratonereis	NA	NA	NA	Genus	Kinberg, 1865	ICZN	accepted	NA	2016-05-20	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ceratonereis Kinberg, 1865. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129372	https://www.marinespecies.org/aphia.php?p=taxdetails&id=129372	NA	NA	NA	NA	NA	NCBI:txid104735	To Genbank	NA	ncbi	NA	129372	324346	NA	NA	NCBI:txid104735
CERATONEREIS COSTAE	R03993	130370	urn:lsid:marinespecies.org:taxname:130370	urn:lsid:marinespecies.org:taxname:130370	urn:lsid:marinespecies.org:taxname:1600548	urn:lsid:marinespecies.org:taxname:129372	NA	Ceratonereis costae	Composetia costae	Ceratonereis	NA	NA	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Ceratonereis	NA	costae	NA	Species	(Grube, 1840)	ICZN	superseded combination	NA	2022-09-08	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ceratonereis costae (Grube, 1840). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130370	https://www.marinespecies.org/aphia.php?p=taxdetails&id=130370	NA	NA	NA	NA	NA	NCBI:txid2951279	To GenBank (2 nucleotides; 2 proteins)	NA	ncbi	NA	1600548	129372	Ceratonereis costae	NCBI:txid104735	NA
CERATONEREIS LONGICIRRATA	R03997	327396	urn:lsid:marinespecies.org:taxname:327396	urn:lsid:marinespecies.org:taxname:327396	urn:lsid:marinespecies.org:taxname:327396	urn:lsid:marinespecies.org:taxname:129372	NA	Ceratonereis longicirrata	Ceratonereis longicirrata	Ceratonereis	Perkins, Thomas H. (1980). Review of the species previously referred to Ceratonereis mirabilis, and descriptions of new species of Ceratonereis, Nephtys, and Goniada (Polychaeta. <em>Proceedings of the Biological Society of Washington.</em> 93(1): 1-49.	1980	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Ceratonereis	NA	longicirrata	NA	Species	Perkins, 1980	ICZN	accepted	NA	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ceratonereis longicirrata Perkins, 1980. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=327396	https://www.marinespecies.org/aphia.php?p=taxdetails&id=327396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	327396	129372	Ceratonereis longicirrata	NCBI:txid104735	NA
CERATONEREIS MIRABILIS	R03998	130372	urn:lsid:marinespecies.org:taxname:130372	urn:lsid:marinespecies.org:taxname:130372	urn:lsid:marinespecies.org:taxname:130372	urn:lsid:marinespecies.org:taxname:129372	NA	Ceratonereis mirabilis	Ceratonereis mirabilis	Ceratonereis	Kinberg, J.G.H. (1865). Annulata nova. [Continuatio.]. <em>Öfversigt af Königlich Vetenskapsakademiens förhandlingar, Stockholm.</em> 22(2): 167-179.	1865	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Ceratonereis	NA	mirabilis	NA	Species	Kinberg, 1865	ICZN	accepted	NA	2008-03-26	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ceratonereis mirabilis Kinberg, 1865. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130372	https://www.marinespecies.org/aphia.php?p=taxdetails&id=130372	NA	NA	NA	NA	NA	NCBI:txid1267194	To GenBank (2 nucleotides; 1 proteins)	NA	ncbi	NA	130372	129372	Ceratonereis mirabilis	NCBI:txid104735	NCBI:txid1267194
CERATONEREIS SINGULARIS	R12359	327401	urn:lsid:marinespecies.org:taxname:327401	urn:lsid:marinespecies.org:taxname:327401	urn:lsid:marinespecies.org:taxname:327401	urn:lsid:marinespecies.org:taxname:129372	http://hdl.handle.net/2246/3789	Ceratonereis singularis	Ceratonereis singularis	Ceratonereis	Treadwell, Aaron L. 1929. New species of polychaetous annelids in the collections of the American Museum of Natural History from Porto Rico, Florida, Lower California,and British Somaliland. American Museum Novitates, 392: 1-13.	1929	Animalia	Annelida	Polychaeta	Phyllodocida	Nereididae	Ceratonereis	NA	singularis	NA	Species	Treadwell, 1929	ICZN	accepted	NA	2019-02-06	Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Ceratonereis singularis Treadwell, 1929. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=327401	https://www.marinespecies.org/aphia.php?p=taxdetails&id=327401	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	327401	129372	Ceratonereis singularis	NCBI:txid104735	NA
