Project Request,Scientific Name,Native,Point of Contact for Submission,Email,Common Name,Survey Type,raw
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondracanthus exasperatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondracanthus exasperatus (Harvey & J.W. Bailey) J.R. Hughey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondracanthus harveyanus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondracanthus harveyanus (Kützing) M. Guiry
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondracanthus kjeldsenii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondracanthus kjeldsenii J.R. Hughey & M.H. Hommersand
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondracanthus serratus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondracanthus serratus (N.L. Gardner) J.R. Hughey & M.H. Hommersand
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondracanthus spinosus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondracanthus spinosus (Kützing) M. Guiry
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondracanthus tepidus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondracanthus tepidus (G.J. Hollenberg) M. Guiry
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondria acrorhizophora,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondria acrorhizophora Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondria arcuata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondria arcuata G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondria dasyphylla,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondria dasyphylla (Woodward) C. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondria decipiens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondria decipiens Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chondria oppositiclada,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chondria oppositiclada E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Choreonema thuretii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Choreonema thuretii (Bornet) F. Schmitz
Kathy Ann UC Berkelely Current and former names for California seaweeds,Chroodactylon ornatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Chroodactylon ornatum (C. Agardh) Basson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cladophora albida,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cladophora albida (Nees) Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cladophora columbiana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cladophora columbiana Collins
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cladophora elmorei,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cladophora elmorei E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cladophora graminea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cladophora graminea Collins
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cladophora microcladioides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cladophora microcladioides Collins
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cladophora sericea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cladophora sericea (Hudson) Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cladophora stimpsonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cladophora stimpsonii Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cladophoropsis fasciculata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cladophoropsis fasciculata (Kjellman) Wille
Kathy Ann UC Berkelely Current and former names for California seaweeds,Codiolum gregarium,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Codiolum gregarium Braun
Kathy Ann UC Berkelely Current and former names for California seaweeds,Codium cuneatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Codium cuneatum Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Codium dawsonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Codium dawsonii P.C. Silva, F. Pedroche, M. Chacana & K.A. Miller"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Codium fragile,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Codium fragile subsp. californicum (J. Agardh) Maggs & J. Kelly
Kathy Ann UC Berkelely Current and former names for California seaweeds,Codium fragile,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Codium fragile subsp. fragile (Suringar) Hariot
Kathy Ann UC Berkelely Current and former names for California seaweeds,Codium hubbsii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Codium hubbsii E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Codium johnstonei,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Codium johnstonei P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Codium setchellii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Codium setchellii N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Coilodesme californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Coilodesme californica (Ruprecht) Kjellman
Kathy Ann UC Berkelely Current and former names for California seaweeds,Coilodesme corrugata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Coilodesme corrugata Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Coilodesme plana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Coilodesme plana G.J. Hollenberg & I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Coilodesme rigida,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Coilodesme rigida Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colacodasya californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colacodasya californica G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema amphiroae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema amphiroae (K.M. Drew) P.W. Gabrielson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema bonnemaisoniae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema bonnemaisoniae Batters
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema coccineum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema coccineum (K.M. Drew) P.W. Gabrielson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema daviesii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema daviesii (Dillwyn) Stegenga
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema desmarestiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema desmarestiae (Kylin) P.W. Gabrielson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema gymnogongri,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema gymnogongri (Setchell & N.L. Gardner) P.W. Gabrielson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema macounii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema macounii (Collins) P.W. Gabrielson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema pacificum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema pacificum (Kylin) Woelkerling
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema pectinatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema pectinatum (Kylin) J.T. Harper & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema plumosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema plumosum (K.M. Drew) Woelkerling
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema plumosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema plumosum var. variabile (K.M. Drew) P.W. Gabrielson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema rhizoideum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema rhizoideum (K.M. Drew) P.W. Gabrielson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema scinaiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema scinaiae (E.Y. Dawson) J.N. Norris
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colaconema thuretii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colaconema thuretii (Bornet) P.W. Gabrielson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Collinsiella tuberculata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Collinsiella tuberculata Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colpomenia claytoniae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Colpomenia claytoniae S.M. Boo, K.M. Lee, G.Y. Cho & W. A. Nelson"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colpomenia expansa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colpomenia expansa (DeA. Saunders) Y.P. Lee
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colpomenia peregrina,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colpomenia peregrina (Sauvageau) G. Hamel
Kathy Ann UC Berkelely Current and former names for California seaweeds,Colpomenia sinuosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Colpomenia sinuosa (Mertens ex Roth) Derbès & Solier
Kathy Ann UC Berkelely Current and former names for California seaweeds,Compsonema fructuosum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Compsonema fructuosum Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Compsonema intricatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Compsonema intricatum Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Compsonema serpens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Compsonema serpens Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Compsonema sporangiiferum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Compsonema sporangiiferum Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Constantinea simplex,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Constantinea simplex Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Corallina bathybentha,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Corallina bathybentha E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Corallina berteroi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Corallina berteroi Montagne ex Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Corallina chilensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Corallina chilensis Decaisne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Corallina parva,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Corallina parva R.M. Wade, P.W. Gabrielson, K.R. Hind & P.T. Martone"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Corallina vancouveriensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Corallina vancouveriensis Yendo
Kathy Ann UC Berkelely Current and former names for California seaweeds,Corallophila eatoniana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Corallophila eatoniana (Farlow) T.O. Cho, H.-G. Choi, G.I. Hansen, & S.M. Boo"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Coriophyllum expansum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Coriophyllum expansum Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Costaria costata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Costaria costata (C. Agardh) DeA. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Crusticorallina adhaerens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Crusticorallina adhaerens K.R. Hind, P.T. Martone, C.P. Jensen & P.W. Gabrielson"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Crusticorallina muricata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Crusticorallina muricata (Foslie) P.W. Gabrielson, P.T. Martone, K.R. Hind, & C.P. Jensen"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cryptonemia angustata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cryptonemia angustata (Setchell & N.L. Gardner) E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cryptonemia borealis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cryptonemia borealis Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cryptonemia obovata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cryptonemia obovata J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cryptopleura crispa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cryptopleura crispa Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cryptopleura dichotoma,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cryptopleura dichotoma N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cryptopleura lobulifera,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cryptopleura lobulifera (J. Agardh) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cryptopleura peltata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cryptopleura peltata (Montagne) M.J. Wynne
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cryptopleura rosacea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cryptopleura rosacea I.A. Abbott
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cryptopleura ruprechtiana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cryptopleura ruprechtiana (J. Agardh) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cryptopleura violacea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cryptopleura violacea (J. Agardh) Kylin
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cryptosiphonia woodii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cryptosiphonia woodii (J. Agardh) J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cumagloia andersonii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cumagloia andersonii (Farlow) Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cumathamnion decipiens,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cumathamnion decipiens (J. Agardh) M.J. Wynne & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cumathamnion sympodophyllum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cumathamnion sympodophyllum M.J. Wynne & Daniels
Kathy Ann UC Berkelely Current and former names for California seaweeds,Cylindrocarpus microscopicus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Cylindrocarpus microscopicus P.L. Crouan & H.M. Crouan
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dactylosiphon bullosus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Dactylosiphon bullosus (DeA. Saunders) Santiañez, K.M. Lee, S.M. Boo & K. Kogame"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dasya binghamiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dasya binghamiae A.J.K. Millar
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dasya plumosa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Dasya plumosa (Harvey & J.W. Bailey) M.M. Cassidy, C.W. Schneider & G.W. Saunders"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dasya sinicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dasya sinicola (Setchell & N.L. Gardner) E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dasya sinicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dasya sinicola var. abyssicola (E.Y. Dawson) E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dasya sinicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dasya sinicola var. californica (N.L. Gardner) E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dasya sp1.,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dasya sp1.
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dasya sp2.,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dasya sp2.
Kathy Ann UC Berkelely Current and former names for California seaweeds,Derbesia marina,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Derbesia marina (Lyngbye) Solier
Kathy Ann UC Berkelely Current and former names for California seaweeds,Derbesia prolifica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Derbesia prolifica W.R. Taylor
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dermocorynus occidentalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dermocorynus occidentalis G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Desmarestia dudresnayi,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Desmarestia dudresnayi subsp. tabacoides (Okamura) A.F. Peters, E.C. Yang, F.C. Küpper & W.F. Prud'homme van Reine"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Desmarestia herbacea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Desmarestia herbacea (Turner) Lamouroux
Kathy Ann UC Berkelely Current and former names for California seaweeds,Desmarestia kurilensis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Desmarestia kurilensis Yamada
Kathy Ann UC Berkelely Current and former names for California seaweeds,Desmarestia latifrons,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Desmarestia latifrons (Ruprecht) Kützing
Kathy Ann UC Berkelely Current and former names for California seaweeds,Desmarestia viridis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Desmarestia viridis (O.F. Müller) Lamouroux
Kathy Ann UC Berkelely Current and former names for California seaweeds,Devaleraea mollis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Devaleraea mollis (Setchell & N.L. Gardner) G.W. Saunders, C.J. Jackson & Salomaki"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dictyoneurum californicum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dictyoneurum californicum Ruprecht
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dictyoneurum reticulatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dictyoneurum reticulatum (DeA. Saunders) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dictyopteris undulata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dictyopteris undulata Holmes
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dictyota binghamiae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dictyota binghamiae J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dictyota coriacea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Dictyota coriacea (Holmes) I.K. Hwang, H.S. Kim, & W.J. Lee"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dictyota cyanoloma,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,"Dictyota cyanoloma A. Tronholm, O. De Clerck, A. Gomez-Garreta & J. Rull Lluch"
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dictyota flabellata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dictyota flabellata (Collins) Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dilsea californica,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dilsea californica (J. Agardh) Kuntze
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dilsea pygmaea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dilsea pygmaea (Setchell) Setchell
Kathy Ann UC Berkelely Current and former names for California seaweeds,Diplura simulans,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Diplura simulans G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Dudresnaya colombiana,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Dudresnaya colombiana W.R. Taylor
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ectocarpus acutus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ectocarpus acutus Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ectocarpus chantransioides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ectocarpus chantransioides Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ectocarpus commensalis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ectocarpus commensalis Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ectocarpus corticulatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ectocarpus corticulatus DeA. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ectocarpus fasciculatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ectocarpus fasciculatus Harvey
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ectocarpus fructuosus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ectocarpus fructuosus Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ectocarpus gonodioides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ectocarpus gonodioides Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ectocarpus isopodicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ectocarpus isopodicola E.Y. Dawson
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ectocarpus siliculosus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ectocarpus siliculosus (Dillwyn) Lyngbye
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ectocarpus simulans,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ectocarpus simulans Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Ectocarpus taoniae,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Ectocarpus taoniae Setchell & N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Egregia menziesii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Egregia menziesii (Turner) J.E. Areschoug
Kathy Ann UC Berkelely Current and former names for California seaweeds,Eisenia arborea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Eisenia arborea J.E. Areschoug
Kathy Ann UC Berkelely Current and former names for California seaweeds,Elachista fucicola,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Elachista fucicola (Velley) J.E. Areschoug
Kathy Ann UC Berkelely Current and former names for California seaweeds,Elachista nigra,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Elachista nigra Takamatsu
Kathy Ann UC Berkelely Current and former names for California seaweeds,Encephalophycus tuberculatus,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Encephalophycus tuberculatus (DeA. Saunders) Santiañez
Kathy Ann UC Berkelely Current and former names for California seaweeds,Endocladia muricata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Endocladia muricata (Endlicher) J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Endoplura aurea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Endoplura aurea G.J. Hollenberg
Kathy Ann UC Berkelely Current and former names for California seaweeds,Erythrocladia irregularis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Erythrocladia irregularis Rosenvinge
Kathy Ann UC Berkelely Current and former names for California seaweeds,Erythrocystis saccata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Erythrocystis saccata (J. Agardh) P.C. Silva
Kathy Ann UC Berkelely Current and former names for California seaweeds,Erythrodermis haematis,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Erythrodermis haematis (G.J. Hollenberg) Denizot
Kathy Ann UC Berkelely Current and former names for California seaweeds,Erythroglossum californicum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Erythroglossum californicum (J. Agardh) J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Erythroglossum obcordatum,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Erythroglossum obcordatum E. Y. Dawson & Neushul
Kathy Ann UC Berkelely Current and former names for California seaweeds,Erythrophyllum delesserioides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Erythrophyllum delesserioides J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Erythrotrichia carnea,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Erythrotrichia carnea (Dillwyn) J. Agardh
Kathy Ann UC Berkelely Current and former names for California seaweeds,Erythrotrichia porphyroides,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Erythrotrichia porphyroides N.L. Gardner
Kathy Ann UC Berkelely Current and former names for California seaweeds,Erythrotrichia welwitschii,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Erythrotrichia welwitschii (Ruprecht) Batters
Kathy Ann UC Berkelely Current and former names for California seaweeds,Eudesme crassa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Eudesme crassa (Suringar) Okamura
Kathy Ann UC Berkelely Current and former names for California seaweeds,Eutrichosiphonia confusa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Eutrichosiphonia confusa (G.J. Hollenberg) A.M. Savoie & G.W. Saunders
Kathy Ann UC Berkelely Current and former names for California seaweeds,Eutrichosiphonia paniculata,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Eutrichosiphonia paniculata (Montagne) D. Bustamante & T.O. Cho
Kathy Ann UC Berkelely Current and former names for California seaweeds,Farlowia compressa,,Kathy Ann Miller,kathyannmiller@berkeley.edu,,Inventory,Farlowia compressa J. Agardh
