Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,locality
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munidopsis abbreviata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munidopsis abbreviata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munidopsis abbreviata,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munidopsis abbreviata,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munidopsis alaminos,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Euphausia hemigibba,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda monacantha,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida spinifrons,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida spinifrons,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida spinifrons,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida stimpsoni,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida stimpsoni,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida stimpsoni,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida stimpsoni,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida striata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida valida,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda monacantha,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida spinifrons,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida sanctipauli,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida schroederi,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida simplex,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida nuda,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida nuda,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida nuda,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida nuda,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida nuda,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida pusilla,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Thysanopoda obtusifrons,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida miles,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida miles,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida miles,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida miles,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida nuda,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Stylocheiron abbreviatum,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Euphausia brevis,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida media,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida media,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida microphthalma,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Thysanoessa gregaria,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Normjonesia danieli,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida irrasa,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Cumella serrata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Thysanopoda obtusifrons,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida iris,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Thysanopoda aequalis,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Grampus griseus,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida forceps,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Argulus varians,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida constricta,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida constricta,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida constricta,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida evermanni,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida evermanni,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Cumella caribbeana,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida flinti,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSW  Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,WSW  Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida constricta,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida affinis,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,ESE  Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Munida angulata,Katherine Silliman,ks567@msstate.edu ,,Inventory,SSE  Gulf of Mexico
GOM Species List,Galathea rostrata,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Galathea rostrata,Katherine Silliman,ks567@msstate.edu ,,Inventory,WNW  Gulf of Mexico
GOM Species List,Thysanopoda obtusifrons,Katherine Silliman,ks567@msstate.edu ,,Inventory,ENE Gulf of Mexico
GOM Species List,Galathea rostrata,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Galathea rostrata,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNW  Gulf of Mexico
GOM Species List,Munida affinis,Katherine Silliman,ks567@msstate.edu ,,Inventory,NNE Gulf of Mexico
