Project.Request	Scientific.Name	Point.of.Contact.for.Submission	Email	Common.Name	Survey.Type
Bight Benthic Macroinvertebrate List	MOLGULA OCCIDENTALIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MOLGULA OCCULTA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MOLGULA OCULATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	PODODESMUS PATELLIFORMIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONOCOROPHIUM SEXTONAE	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONOCOROPHIUM TUBERCULATUM	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	DEFLEXILODES ACUTIPES	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	ROSTROCULODES BOREALIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONOCULODES CARINATUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	AMEROCULODES EDWARDSI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	DEFLEXILODES GIBBOSUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	DEFLEXILODES GRISEUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	DEFLEXILODES INTERMEDIUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONOCULODES PACKARDI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	PACIFOCULODES SPINIPES	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	DEFLEXILODES SUBNUDUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	DEFLEXILODES TENUIROSTRATUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	DEFLEXILODES TESSELATUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	DEFLEXILODES TUBERCULATUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONODIAMESA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONODIAMESA BATHYPHILA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONOPHORUS ERYTHROSOMA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONOPHORUS PERVERSUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONOPOREIA AFFINIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONOPYLEPHORUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONOPYLEPHORUS IRRORATUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONOPYLEPHORUS RUBRONIVEUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONTACUTA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TELLIMYA FERRUGINOSA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MONTACUTA SUBSTRIATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TELLIMYA TENELLA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	KIRKEGAARDIA BAPTISTEAE	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	KIRKEGAARDIA DORSOBRANCHIALIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	KIRKEGAARDIA HETEROCHAETA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MOOREONUPHIS DANGRIGAE	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MOOREONUPHIS PALLIDULA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUGGA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUGGA WAHRBERGI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MULINIA LATERALIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUNNA FABRICII	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUNNA KROYERI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUNNA MINUTA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUSCULIUM	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUSCULIUM TRANSVERSUM	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUSCULUS COSTULATUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUSCULUS DISCORS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUSCULUS LATERALIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUSCULUS SUBPICTUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUSCULUS NIGER	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MUSCULUS SUBPICTUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYA TRUNCATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYOSOTELLA MYOSOTIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIANIDA BRACHYCEPHALA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIANIDA EDWARSI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIANIDA PINNIGERA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIANIDA LONGOPRIMICIRRATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIANIDA MULTIDENTICULATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIANIDA MULTIDENTICULATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIANIDA PINNIGERA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIANIDA PROLIFERA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIANIDA RUBROPUNCTATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIOCHELE DANIELSSENI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	GALATHOWENIA FRAGILIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIOCHELE HEERI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	GALATHOWENIA OCULATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRIOCHELE PICTA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRTEA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYRTEA SPINIFERA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	KURTIELLA BIDENTATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	CORACUTA OBLIQUATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSELLA PLANULATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	KURTIELLA TUMIDULA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSIA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSIA UNDATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSIDA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSIDOPSIS FURCA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSTA BARBATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	ETEONE BARBATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSTA SIPHODONTA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSTA TCHANGSII	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	HESIONURA ELONGATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSTIDES BOREALIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSTIDES BOREALIS CAECA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSTIDES CAECA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	HESIONURA ELONGATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	PSEUDOMYSTIDES LIMBATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYSTIDES SOUTHERNI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYTILASTER MARIONI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYTILASTER MINIMUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYTILOPSIS LEUCOPHAEATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYTILUS EDULIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYTILUS EDULIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYTILUS GALLOPROVINCIALIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYXICOLA AESTHETICA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYXICOLA INFUNDIBULUM	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MYXICOLA INFUNDIBULUM	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAIDIDAE	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAIDINAE	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAINERIS BICORNIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAINERIS LAEVIGATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAIS COMMUNIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAIS ELINGUIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAIS PARDALIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAIS PSEUDOBTUSA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAIS SIMPLEX	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAIS VARIABILIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAMALYCASTIS ABIUMA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NANNASTACUS LONGIROSTRIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NANNASTACUS UNGUICULATUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NANNONYX GOESII	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NASSARIUS GAYII	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NASSARINA PENICILLATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NASSARIUS ACUTUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TRITIA OVOIDEA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NASSARIUS COPPINGERI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TRITIA CORNICULUM	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NASSARIUS CREMATUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TRITIA CUVIERII	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NASSARIUS DENTIFER	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	RETICUNASSA FESTIVA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TRITIA INCRASSATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TRITIA MUTABILIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NASSARIUS NITIDUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NASSARIUS NOVAEZELANDIAE	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TRITIA OBSOLETA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NASSARIUS IDYLLIUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TRITIA PYGMAEA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TRITIA RETICULATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NASSARIUS SUCCINCTUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TRITIA TRIVITTATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NASSARIUS VARICIFERUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	PHRONTIS VIBEX	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NATICA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	EUSPIRA NITIDA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NATICARIUS CANRENA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	EUSPIRA CATENA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NATICA FURVA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	EUSPIRA GUILLEMINII	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NATICARIUS HEBRAEUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	EUSPIRA MONTAGUI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	EUSPIRA NITIDA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	TECTONATICA RIZZAE	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NATICARIUS STERCUSMUSCARUM	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NATICA VITELLUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NATICARIUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NATICARIUS DILLWYNI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NATICARIUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NATICARIUS HEBRAEUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NAVANAX INERMIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEANTHES ARENACEODENTATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEANTHES CAUDATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEANTHES FLAVA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEANTHES FLAVIPES	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEANTHES FUCATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEANTHES GLANDICINCTA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEANTHES NUBILA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	HEDISTE JAPONICA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEANTHES LIMNICOLA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEREIS MICROMMA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEANTHES NUBILA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEANTHES RUBICUNDA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	ALITTA SUCCINEA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	ALITTA VIRENS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEANTHES ZONATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEBALIA BIPES	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEBALIA HERBSTII	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEBALIA STRAUSI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEBALIA TRONCOSOI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	SARSINEBALIA TYPHLOPS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NECORA PUBER	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NECTONEANTHES OXYPODA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NECTONEANTHES OXYPODA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NECTONEANTHES OXYPODA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEMATODA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEMATONEREIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	LYSIDICE HEBES	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEMATONEREIS UNICORNIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEMERTEA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEMERTESIA RAMOSA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEMERTEA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOAMPHITRITE	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOAMPHITRITE AFFINIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOAMPHITRITE EDWARDSI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOAMPHITRITE FIGULUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOAMPHITRITE GRAYI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOGONODACTYLUS BREDINI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOHELA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOHELA MONSTROSA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOLEANIRA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOLEANIRA TETRAGONA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	CORACUTA OBLIQUATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOMENIA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOMENIA CARINATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOMYSIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOMYSIS AMERICANA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOMYSIS INTEGER	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOMYSIS MERCEDIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEOXENOPHTHALMUS OBSCURUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHASOMA MINUTUM	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHROPS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHROPS NORVEGICUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS ASSIMILIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTHYS BILOBATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS BUCERA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS CAECA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS CALIFORNIENSIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS CILIATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS CIRROSA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS CUVIERI	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	AGLAOPHAMUS DIBRANCHIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS FLUVIATILIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS HOMBERGII	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS HYSTRICIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS INCISA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS INCISA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	INERMONEPHTYS INERMIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS KERSIVALENSIS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS LONGOSETOSA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS NEOPOLYBRANCHIA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MICRONEPHTHYS OLIGOBRANCHIA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS PARADOXA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS PENTE	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS PICTA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	NEPHTYS POLYBRANCHIA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	AGLAOPHAMUS PULCHRA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	AGLAOPHAMUS RUBELLUS	Martha Sutula	marthas@sccwrp.org	NA	Encountered
Bight Benthic Macroinvertebrate List	MICRONEPHTHYS SPHAEROCIRRATA	Martha Sutula	marthas@sccwrp.org	NA	Encountered
