Scientific.Name	row_ids	AphiaID	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	namePublishedInID	scientificName	acceptedNameUsage	parentNameUsage	namePublishedIn	namePublishedInYear	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	modified	bibliographicCitation	references	license	rightsHolder	datasetName	institutionCode	datasetID.x	identifier	title	format	datasetID.y	subject	Accepted_AphiaID	parent_AphiaID	speciesNOsubgenus	parent_NCBI	accepted_NCBI
Argyropelecus hemigymnus	R000065	127309	urn:lsid:marinespecies.org:taxname:127309	urn:lsid:marinespecies.org:taxname:127309	urn:lsid:marinespecies.org:taxname:127309	urn:lsid:marinespecies.org:taxname:126196	NA	Argyropelecus hemigymnus	Argyropelecus hemigymnus	Argyropelecus	Cocco, A. (1829). Su di alcuni nuovi pesci de' mari di Messina. <em>Giornale di Scienze Lettere e Arti per La Sicilia.</em> Anno 7, v. 26 (no. 77): 138-147.	1829	Animalia	Chordata	Teleostei	Stomiiformes	Sternoptychidae	Argyropelecus	NA	hemigymnus	NA	Species	Cocco, 1829	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Argyropelecus hemigymnus Cocco, 1829. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127309	https://www.marinespecies.org/aphia.php?p=taxdetails&id=127309	NA	NA	NA	NA	NA	NCBI:txid68504	To GenBank (47 nucleotides; 54 proteins)	NA	ncbi	NA	127309	126196	Argyropelecus hemigymnus	NCBI:txid68503	NCBI:txid68504
Argyropelecus lychnus	R000066	158836	urn:lsid:marinespecies.org:taxname:158836	urn:lsid:marinespecies.org:taxname:158836	urn:lsid:marinespecies.org:taxname:158836	urn:lsid:marinespecies.org:taxname:126196	NA	Argyropelecus lychnus	Argyropelecus lychnus	Argyropelecus	Garman, S. (1899). The Fishes. <em>In: Reports on an exploration off the west coasts of Mexico, Central and South America, and off the Galapagos Islands ... by the U. S. Fish Commission steamer "Albatross," during 1891 ... No. XXVI. Memoirs of the Museum of Comparative Zoology v. 24: Text: 1-431, Atlas: Pls. 1-85 + A-N.</em> 	1899	Animalia	Chordata	Teleostei	Stomiiformes	Sternoptychidae	Argyropelecus	NA	lychnus	NA	Species	Garman, 1899	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Argyropelecus lychnus Garman, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158836	https://www.marinespecies.org/aphia.php?p=taxdetails&id=158836	NA	NA	NA	NA	NA	NCBI:txid875771	To GenBank (8 nucleotides; 5 proteins)	NA	ncbi	NA	158836	126196	Argyropelecus lychnus	NCBI:txid68503	NCBI:txid875771
Argyropelecus sladeni	R000067	158837	urn:lsid:marinespecies.org:taxname:158837	urn:lsid:marinespecies.org:taxname:158837	urn:lsid:marinespecies.org:taxname:158837	urn:lsid:marinespecies.org:taxname:126196	NA	Argyropelecus sladeni	Argyropelecus sladeni	Argyropelecus	Regan, C. T. (1908). Report on the marine fishes collected by Mr. J. Stanley Gardiner in the Indian Ocean. <em>The Transactions of the Linnean Society of London. Second Series. Zoology.</em> v. 12 (pt 3): 217-255, Pls. 23-32.	1908	Animalia	Chordata	Teleostei	Stomiiformes	Sternoptychidae	Argyropelecus	NA	sladeni	NA	Species	Regan, 1908	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Argyropelecus sladeni Regan, 1908. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=158837	https://www.marinespecies.org/aphia.php?p=taxdetails&id=158837	NA	NA	NA	NA	NA	NCBI:txid81870	To GenBank (24 nucleotides; 11 proteins)	NA	ncbi	NA	158837	126196	Argyropelecus sladeni	NCBI:txid68503	NCBI:txid81870
Ariosoma gilberti	R000068	271722	urn:lsid:marinespecies.org:taxname:271722	urn:lsid:marinespecies.org:taxname:271722	urn:lsid:marinespecies.org:taxname:271722	urn:lsid:marinespecies.org:taxname:125622	NA	Ariosoma gilberti	Ariosoma gilberti	Ariosoma	NA	NA	Animalia	Chordata	Teleostei	Anguilliformes	Congridae	Ariosoma	NA	gilberti	NA	Species	(Ogilby, 1898)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Ariosoma gilberti (Ogilby, 1898). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=271722	https://www.marinespecies.org/aphia.php?p=taxdetails&id=271722	NA	NA	NA	NA	NA	NCBI:txid2838346	To GenBank (1 nucleotides; 0 proteins)	NA	ncbi	NA	271722	125622	Ariosoma gilberti	NCBI:txid135219	NCBI:txid2838346
Aristostomias scintillans	R000069	275007	urn:lsid:marinespecies.org:taxname:275007	urn:lsid:marinespecies.org:taxname:275007	urn:lsid:marinespecies.org:taxname:275007	urn:lsid:marinespecies.org:taxname:126201	NA	Aristostomias scintillans	Aristostomias scintillans	Aristostomias	NA	NA	Animalia	Chordata	Teleostei	Stomiiformes	Stomiidae	Aristostomias	NA	scintillans	NA	Species	(Gilbert, 1915)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Aristostomias scintillans (Gilbert, 1915). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275007	https://www.marinespecies.org/aphia.php?p=taxdetails&id=275007	NA	NA	NA	NA	NA	NCBI:txid319440	To GenBank (35 nucleotides; 30 proteins)	NA	ncbi	NA	275007	126201	Aristostomias scintillans	NCBI:txid319439	NCBI:txid319440
Artedius corallinus	R000070	279699	urn:lsid:marinespecies.org:taxname:279699	urn:lsid:marinespecies.org:taxname:279699	urn:lsid:marinespecies.org:taxname:279699	urn:lsid:marinespecies.org:taxname:268390	NA	Artedius corallinus	Artedius corallinus	Artedius	NA	NA	Animalia	Chordata	Teleostei	Perciformes	Cottidae	Artedius	NA	corallinus	NA	Species	(Hubbs, 1926)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Artedius corallinus (Hubbs, 1926). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279699	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279699	NA	NA	NA	NA	NA	NCBI:txid283624	To GenBank (25 nucleotides; 18 proteins)	NA	ncbi	NA	279699	268390	Artedius corallinus	NCBI:txid274757	NCBI:txid283624
Artedius fenestralis	R000071	279700	urn:lsid:marinespecies.org:taxname:279700	urn:lsid:marinespecies.org:taxname:279700	urn:lsid:marinespecies.org:taxname:279700	urn:lsid:marinespecies.org:taxname:268390	NA	Artedius fenestralis	Artedius fenestralis	Artedius	Jordan, D. S. ; Gilbert, C. H. (1883). Description of a new species of Artedius (Artedius fenestralis) from Puget Sound. <em>Proceedings of the United States National Museum.</em> v. 5 (no. 326): 577-579.	1883	Animalia	Chordata	Teleostei	Perciformes	Cottidae	Artedius	NA	fenestralis	NA	Species	Jordan & Gilbert, 1883	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Artedius fenestralis Jordan & Gilbert, 1883. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279700	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279700	NA	NA	NA	NA	NA	NCBI:txid274758	To GenBank (61 nucleotides; 59 proteins)	NA	ncbi	NA	279700	268390	Artedius fenestralis	NCBI:txid274757	NCBI:txid274758
Artedius harringtoni	R000072	279701	urn:lsid:marinespecies.org:taxname:279701	urn:lsid:marinespecies.org:taxname:279701	urn:lsid:marinespecies.org:taxname:279701	urn:lsid:marinespecies.org:taxname:268390	NA	Artedius harringtoni	Artedius harringtoni	Artedius	NA	NA	Animalia	Chordata	Teleostei	Perciformes	Cottidae	Artedius	NA	harringtoni	NA	Species	(Starks, 1896)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Artedius harringtoni (Starks, 1896). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279701	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279701	NA	NA	NA	NA	NA	NCBI:txid433399	To GenBank (52 nucleotides; 45 proteins)	NA	ncbi	NA	279701	268390	Artedius harringtoni	NCBI:txid274757	NCBI:txid433399
Artedius lateralis	R000073	279702	urn:lsid:marinespecies.org:taxname:279702	urn:lsid:marinespecies.org:taxname:279702	urn:lsid:marinespecies.org:taxname:279702	urn:lsid:marinespecies.org:taxname:268390	NA	Artedius lateralis	Artedius lateralis	Artedius	NA	NA	Animalia	Chordata	Teleostei	Perciformes	Cottidae	Artedius	NA	lateralis	NA	Species	(Girard, 1854)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Artedius lateralis (Girard, 1854). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279702	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279702	NA	NA	NA	NA	NA	NCBI:txid322683	To GenBank (57 nucleotides; 50 proteins)	NA	ncbi	NA	279702	268390	Artedius lateralis	NCBI:txid274757	NCBI:txid322683
Artedius notospilotus	R000074	279703	urn:lsid:marinespecies.org:taxname:279703	urn:lsid:marinespecies.org:taxname:279703	urn:lsid:marinespecies.org:taxname:279703	urn:lsid:marinespecies.org:taxname:268390	NA	Artedius notospilotus	Artedius notospilotus	Artedius	Girard, C. F. (1856). Contributions to the ichthyology of the western coast of the United States, from specimens in the museum of the Smithsonian Institution. <em>Proceedings of the Academy of Natural Sciences of Philadelphia.</em> v. 8: 131-137.	1856	Animalia	Chordata	Teleostei	Perciformes	Cottidae	Artedius	NA	notospilotus	NA	Species	Girard, 1856	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Artedius notospilotus Girard, 1856. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279703	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279703	NA	NA	NA	NA	NA	NCBI:txid305505	To GenBank (17 nucleotides; 13 proteins)	NA	ncbi	NA	279703	268390	Artedius notospilotus	NCBI:txid274757	NCBI:txid305505
Ascelichthys rhodorus	R000075	279706	urn:lsid:marinespecies.org:taxname:279706	urn:lsid:marinespecies.org:taxname:279706	urn:lsid:marinespecies.org:taxname:279706	urn:lsid:marinespecies.org:taxname:268393	NA	Ascelichthys rhodorus	Ascelichthys rhodorus	Ascelichthys	Jordan, D. S. ; Gilbert, C. H. (1880). Description of two new species of fishes, Ascelichthys rhodorus and Scytalina cerdale from Neah Bay Washington Territory. <em>Proceedings of the United States National Museum.</em> v. 3 (no. 144): 264-268.	1880	Animalia	Chordata	Teleostei	Perciformes	Cottidae	Ascelichthys	NA	rhodorus	NA	Species	Jordan & Gilbert, 1880	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Ascelichthys rhodorus Jordan & Gilbert, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279706	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279706	NA	NA	NA	NA	NA	NCBI:txid1738886	To GenBank (9 nucleotides; 4 proteins)	NA	ncbi	NA	279706	268393	Ascelichthys rhodorus	NCBI:txid1738885	NCBI:txid1738886
Asemichthys taylori	R000076	316433	urn:lsid:marinespecies.org:taxname:316433	urn:lsid:marinespecies.org:taxname:316433	urn:lsid:marinespecies.org:taxname:316433	urn:lsid:marinespecies.org:taxname:296061	NA	Asemichthys taylori	Asemichthys taylori	Asemichthys	Gilbert, C. H. (1912). A new genus and species of cottoid fish from Departure Bay, Vancouver Island. <em>Contributions to Canadian Biology being studies from the Marine Biological Stations of Canada 1906-1910.</em> (art. 12): 215-216.	1912	Animalia	Chordata	Teleostei	Perciformes	Cottidae	Asemichthys	NA	taylori	NA	Species	Gilbert, 1912	ICZN	accepted	NA	2017-07-14	Froese, R. and D. Pauly. Editors. (2024). FishBase. Asemichthys taylori Gilbert, 1912. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=316433	https://www.marinespecies.org/aphia.php?p=taxdetails&id=316433	NA	NA	NA	NA	NA	NCBI:txid1638735	To GenBank (7 nucleotides; 6 proteins)	NA	ncbi	NA	316433	296061	Asemichthys taylori	NCBI:txid1638736	NCBI:txid1638735
Assurger anzac	R000077	279766	urn:lsid:marinespecies.org:taxname:279766	urn:lsid:marinespecies.org:taxname:279766	urn:lsid:marinespecies.org:taxname:279766	urn:lsid:marinespecies.org:taxname:268412	NA	Assurger anzac	Assurger anzac	Assurger	NA	NA	Animalia	Chordata	Teleostei	Scombriformes	Trichiuridae	Assurger	NA	anzac	NA	Species	(Alexander, 1917)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Assurger anzac (Alexander, 1917). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279766	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279766	NA	NA	NA	NA	NA	NCBI:txid320586	To GenBank (25 nucleotides; 54 proteins)	NA	ncbi	NA	279766	268412	Assurger anzac	NCBI:txid320585	NCBI:txid320586
Astroscopus zephyreus	R000078	275976	urn:lsid:marinespecies.org:taxname:275976	urn:lsid:marinespecies.org:taxname:275976	urn:lsid:marinespecies.org:taxname:275976	urn:lsid:marinespecies.org:taxname:159250	NA	Astroscopus zephyreus	Astroscopus zephyreus	Astroscopus	Gilbert, C. H. (1897). Descriptions of twenty-two new species of fishes collected by the steamer Albatross, of the United States Fish Commission. <em>Proceedings of the United States National Museum.</em> v. 19 (no. 1115): 437-457, Pls. 49-55.	1897	Animalia	Chordata	Teleostei	Perciformes	Uranoscopidae	Astroscopus	NA	zephyreus	NA	Species	Gilbert & Starks, 1897	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Astroscopus zephyreus Gilbert & Starks, 1897. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275976	https://www.marinespecies.org/aphia.php?p=taxdetails&id=275976	NA	NA	NA	NA	NA	NCBI:txid2838353	To GenBank (2 nucleotides; 0 proteins)	NA	ncbi	NA	275976	159250	Astroscopus zephyreus	NCBI:txid1206927	NCBI:txid2838353
Atheresthes evermanni	R000079	279791	urn:lsid:marinespecies.org:taxname:279791	urn:lsid:marinespecies.org:taxname:279791	urn:lsid:marinespecies.org:taxname:279791	urn:lsid:marinespecies.org:taxname:268428	NA	Atheresthes evermanni	Atheresthes evermanni	Atheresthes	Jordan, D. S.; Starks E. C. (1904). List of fishes dredged by the steamer Albatross off the coast of Japan in the summer of 1900, with descriptions of new species and a review of the Japanese Macrouridae. <em>Bulletin of the U. S. Fish Commission.</em> v. 22 [1902]: 577-630, Pls. 1-8.	1904	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae	Atheresthes	NA	evermanni	NA	Species	Jordan & Starks, 1904	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Atheresthes evermanni Jordan & Starks, 1904. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279791	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279791	NA	NA	NA	NA	NA	NCBI:txid195645	To GenBank (51 nucleotides; 54 proteins)	NA	ncbi	NA	279791	268428	Atheresthes evermanni	NCBI:txid428033	NCBI:txid195645
Atheresthes stomias	R000080	279792	urn:lsid:marinespecies.org:taxname:279792	urn:lsid:marinespecies.org:taxname:279792	urn:lsid:marinespecies.org:taxname:279792	urn:lsid:marinespecies.org:taxname:268428	NA	Atheresthes stomias	Atheresthes stomias	Atheresthes	NA	NA	Animalia	Chordata	Teleostei	Pleuronectiformes	Pleuronectidae	Atheresthes	NA	stomias	NA	Species	(Jordan & Gilbert, 1880)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Atheresthes stomias (Jordan & Gilbert, 1880). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279792	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279792	NA	NA	NA	NA	NA	NCBI:txid428034	To GenBank (89 nucleotides; 92 proteins)	NA	ncbi	NA	279792	268428	Atheresthes stomias	NCBI:txid428033	NCBI:txid428034
Atherinops affinis	R000081	279812	urn:lsid:marinespecies.org:taxname:279812	urn:lsid:marinespecies.org:taxname:279812	urn:lsid:marinespecies.org:taxname:279812	urn:lsid:marinespecies.org:taxname:268431	NA	Atherinops affinis	Atherinops affinis	Atherinops	NA	NA	Animalia	Chordata	Teleostei	Atheriniformes	Atherinidae	Atherinops	NA	affinis	NA	Species	(Ayres, 1860)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Atherinops affinis (Ayres, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279812	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279812	NA	NA	NA	NA	NA	NCBI:txid238741	To GenBank (38 nucleotides; 68 proteins)	NA	ncbi	NA	279812	268431	Atherinops affinis	NCBI:txid238740	NCBI:txid238741
Atherinopsis californiensis	R000082	279813	urn:lsid:marinespecies.org:taxname:279813	urn:lsid:marinespecies.org:taxname:279813	urn:lsid:marinespecies.org:taxname:279813	urn:lsid:marinespecies.org:taxname:268432	NA	Atherinopsis californiensis	Atherinopsis californiensis	Atherinopsis	Girard, C. F. (1854). Descriptions of new fishes, collected by Dr. A. L. Heermann, naturalist attached to the survey of the Pacific railroad route, under Lieut. R. S. Williamson, U. S. A. <em>Proceedings of the Academy of Natural Sciences of Philadelphia.</em> v. 7: 129-140.	1854	Animalia	Chordata	Teleostei	Atheriniformes	Atherinidae	Atherinopsis	NA	californiensis	NA	Species	Girard, 1854	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Atherinopsis californiensis Girard, 1854. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279813	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279813	NA	NA	NA	NA	NA	NCBI:txid1311532	To GenBank (32 nucleotides; 55 proteins)	NA	ncbi	NA	279813	268432	Atherinopsis californiensis	NCBI:txid1311531	NCBI:txid1311532
Atractoscion nobilis	R000083	278535	urn:lsid:marinespecies.org:taxname:278535	urn:lsid:marinespecies.org:taxname:278535	urn:lsid:marinespecies.org:taxname:278535	urn:lsid:marinespecies.org:taxname:205823	NA	Atractoscion nobilis	Atractoscion nobilis	Atractoscion	NA	NA	Animalia	Chordata	Teleostei	Eupercaria incertae sedis	Sciaenidae	Atractoscion	NA	nobilis	NA	Species	(Ayres, 1860)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Atractoscion nobilis (Ayres, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=278535	https://www.marinespecies.org/aphia.php?p=taxdetails&id=278535	NA	NA	NA	NA	NA	NCBI:txid259703	To GenBank (45 nucleotides; 39 proteins)	NA	ncbi	NA	278535	205823	Atractoscion nobilis	NCBI:txid259702	NCBI:txid259703
Aulorhynchus flavidus	R000084	279839	urn:lsid:marinespecies.org:taxname:279839	urn:lsid:marinespecies.org:taxname:279839	urn:lsid:marinespecies.org:taxname:279839	urn:lsid:marinespecies.org:taxname:268458	NA	Aulorhynchus flavidus	Aulorhynchus flavidus	Aulorhynchus	Gill, T. N. (1861). On a new typs [sic] of aulostomatoids found in Washington Territory. <em>Proceedings of the Academy of Natural Sciences of Philadelphia.</em> v. 13: 168-170.	1861	Animalia	Chordata	Teleostei	Perciformes	Aulorhynchidae	Aulorhynchus	NA	flavidus	NA	Species	Gill, 1861	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Aulorhynchus flavidus Gill, 1861. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279839	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279839	NA	NA	NA	NA	NA	NCBI:txid240152	To GenBank (44 nucleotides; 54 proteins)	NA	ncbi	NA	279839	268458	Aulorhynchus flavidus	NCBI:txid240151	NCBI:txid240152
Auxis rochei	R000085	127015	urn:lsid:marinespecies.org:taxname:127015	urn:lsid:marinespecies.org:taxname:127015	urn:lsid:marinespecies.org:taxname:127015	urn:lsid:marinespecies.org:taxname:126057	NA	Auxis rochei	Auxis rochei	Auxis	NA	NA	Animalia	Chordata	Teleostei	Scombriformes	Scombridae	Auxis	NA	rochei	NA	Species	(Risso, 1810)	ICZN	accepted	NA	2020-09-24	Froese, R. and D. Pauly. Editors. (2024). FishBase. Auxis rochei (Risso, 1810). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127015	https://www.marinespecies.org/aphia.php?p=taxdetails&id=127015	NA	NA	NA	NA	NA	NCBI:txid217026	To GenBank (952 nucleotides; 453 proteins)	NA	ncbi	NA	127015	126057	Auxis rochei	NCBI:txid13352	NCBI:txid217026
Auxis thazard	R000086	127016	urn:lsid:marinespecies.org:taxname:127016	urn:lsid:marinespecies.org:taxname:127016	urn:lsid:marinespecies.org:taxname:127016	urn:lsid:marinespecies.org:taxname:126057	NA	Auxis thazard	Auxis thazard	Auxis	NA	NA	Animalia	Chordata	Teleostei	Scombriformes	Scombridae	Auxis	NA	thazard	NA	Species	(Lacepède, 1800)	ICZN	accepted	NA	2020-09-24	Froese, R. and D. Pauly. Editors. (2024). FishBase. Auxis thazard (Lacepède, 1800). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127016	https://www.marinespecies.org/aphia.php?p=taxdetails&id=127016	NA	NA	NA	NA	NA	NCBI:txid13353	To GenBank (738 nucleotides; 253 proteins)	NA	ncbi	NA	127016	126057	Auxis thazard	NCBI:txid13352	NCBI:txid13353
Avocettina bowersii	R000087	271904	urn:lsid:marinespecies.org:taxname:271904	urn:lsid:marinespecies.org:taxname:271904	urn:lsid:marinespecies.org:taxname:271904	urn:lsid:marinespecies.org:taxname:125638	NA	Avocettina bowersii	Avocettina bowersii	Avocettina	NA	NA	Animalia	Chordata	Teleostei	Anguilliformes	Nemichthyidae	Avocettina	NA	bowersii	NA	Species	(Garman, 1899)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Avocettina bowersii (Garman, 1899). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=271904	https://www.marinespecies.org/aphia.php?p=taxdetails&id=271904	NA	NA	NA	NA	NA	NCBI:txid2048720	To GenBank (3 nucleotides; 3 proteins)	NA	ncbi	NA	271904	125638	Avocettina bowersii	NCBI:txid121279	NCBI:txid2048720
Avocettina infans	R000088	126304	urn:lsid:marinespecies.org:taxname:126304	urn:lsid:marinespecies.org:taxname:126304	urn:lsid:marinespecies.org:taxname:126304	urn:lsid:marinespecies.org:taxname:125638	NA	Avocettina infans	Avocettina infans	Avocettina	NA	NA	Animalia	Chordata	Teleostei	Anguilliformes	Nemichthyidae	Avocettina	NA	infans	NA	Species	(Günther, 1878)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Avocettina infans (Günther, 1878). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126304	https://www.marinespecies.org/aphia.php?p=taxdetails&id=126304	NA	NA	NA	NA	NA	NCBI:txid121280	To GenBank (27 nucleotides; 42 proteins)	NA	ncbi	NA	126304	125638	Avocettina infans	NCBI:txid121279	NCBI:txid121280
Azurina hirundo	R000089	279852	urn:lsid:marinespecies.org:taxname:279852	urn:lsid:marinespecies.org:taxname:279852	urn:lsid:marinespecies.org:taxname:279852	urn:lsid:marinespecies.org:taxname:268472	NA	Azurina hirundo	Azurina hirundo	Azurina	Jordan, D. S.; Evermann, B. W. (1898). The fishes of North and Middle America: a descriptive catalogue of the species of fish-like vertebrates found in the waters of North America, north of the Isthmus of Panama. Part II. <em>Bulletin of the United States National Museum.</em> No. 47: i-xxx + 1241-2183.	1898	Animalia	Chordata	Teleostei	Ovalentaria incertae sedis	Pomacentridae	Azurina	NA	hirundo	NA	Species	Jordan & McGregor, 1898	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Azurina hirundo Jordan & McGregor, 1898. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=279852	https://www.marinespecies.org/aphia.php?p=taxdetails&id=279852	NA	NA	NA	NA	NA	NCBI:txid196127	To GenBank (30 nucleotides; 24 proteins)	NA	ncbi	NA	279852	268472	Azurina hirundo	NCBI:txid196126	NCBI:txid196127
Bagre panamensis	R000090	275588	urn:lsid:marinespecies.org:taxname:275588	urn:lsid:marinespecies.org:taxname:275588	urn:lsid:marinespecies.org:taxname:275588	urn:lsid:marinespecies.org:taxname:158712	NA	Bagre panamensis	Bagre panamensis	Bagre	NA	NA	Animalia	Chordata	Teleostei	Siluriformes	Ariidae	Bagre	NA	panamensis	NA	Species	(Gill, 1863)	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Bagre panamensis (Gill, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=275588	https://www.marinespecies.org/aphia.php?p=taxdetails&id=275588	NA	NA	NA	NA	NA	NCBI:txid243721	To GenBank (205 nucleotides; 133 proteins)	NA	ncbi	NA	275588	158712	Bagre panamensis	NCBI:txid243719	NCBI:txid243721
Bajacalifornia burragei	R000092	272857	urn:lsid:marinespecies.org:taxname:272857	urn:lsid:marinespecies.org:taxname:272857	urn:lsid:marinespecies.org:taxname:272857	urn:lsid:marinespecies.org:taxname:125870	NA	Bajacalifornia burragei	Bajacalifornia burragei	Bajacalifornia	Townsend, C. H.; Nichols J. T. (1925). Deep sea fishes of the 'Albatross' Lower California expedition. <em>Bulletin of the American Museum of Natural History.</em> v. 52 (art. 1): 1-20, Pls. 1-4, map.	1925	Animalia	Chordata	Teleostei	Alepocephaliformes	Alepocephalidae	Bajacalifornia	NA	burragei	NA	Species	Townsend & Nichols, 1925	ICZN	accepted	NA	2008-01-15	Froese, R. and D. Pauly. Editors. (2024). FishBase. Bajacalifornia burragei Townsend & Nichols, 1925. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=272857	https://www.marinespecies.org/aphia.php?p=taxdetails&id=272857	NA	NA	NA	NA	NA	NCBI:txid740690	To GenBank (4 nucleotides; 3 proteins)	NA	ncbi	NA	272857	125870	Bajacalifornia burragei	NA	NCBI:txid740690
