EU552681.1	NA;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupea;Clupea pallasii
MT890586.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Argyrocottus;Argyrocottus zanderi
NC_057483.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Argyrocottus;Argyrocottus zanderi
LC604978.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Zesticelus;Zesticelus ochotensis
NC_056997.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;NA;Cromileptes altivelis x Epinephelus tukula
LC600706.1	NA;Chordata;Actinopteri;NA;Sciaenidae;Nibea;Nibea mitsukurii
LC597201.1	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Dictyosoma;Dictyosoma rubrimaculatum
LC589575.1	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Dictyosoma;Dictyosoma rubrimaculatum
LC579394.1	NA;Chordata;Actinopteri;Perciformes;Zoarcidae;Lycozoarces;Lycozoarces regani
MT410903.1	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Leptoclinus;Leptoclinus maculatus
MT410893.1	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Lumpenus;Lumpenus lampretaeformis
NC_015752.1	NA;Chordata;Actinopteri;Characiformes;Citharinidae;Ichthyborus;Ichthyborus sp. NM-2010
NC_014851.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus hangiongensis
NC_013181.1	NA;Chordata;Actinopteri;Centrarchiformes;Enoplosidae;Enoplosus;Enoplosus armatus
NC_013143.1	NA;Chordata;Actinopteri;Centrarchiformes;Oplegnathidae;Oplegnathus;Oplegnathus punctatus
FJ687232.1	NA;Chordata;Actinopteri;Perciformes;Pholidae;Pholis;Pholis crassispina
EU601227.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Pseudodax;Pseudodax moluccanus
NC_011174.1	NA;Chordata;Actinopteri;Atheriniformes;Atherinopsidae;Menidia;Menidia menidia
EF427918.1	NA;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas denticulatus
EF427917.1	NA;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas minor
AP009171.1	NA;Chordata;Actinopteri;Tetraodontiformes;Triacanthodidae;Macrorhamphosodes;Macrorhamphosodes uradoi
NC_009853.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso lopezi
NC_009851.1	NA;Chordata;Actinopteri;Acanthuriformes;Luvaridae;Luvarus;Luvarus imperialis
AY949412.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Variola;Variola albimarginata
AY949402.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Rypticus;Rypticus nigripinnis
AY949389.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis cyanostigma
AY949383.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus andersoni
AY949368.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus costae
AY949367.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Aethaloperca;Aethaloperca rogaa
AY949328.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cromileptes;Cromileptes altivelis
AJ810152.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Symphodus;Symphodus tinca
AJ810150.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Symphodus;Symphodus ocellatus
AJ810147.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Symphodus;Symphodus cinereus
AY264101.1	NA;Chordata;Actinopteri;Siluriformes;Doradidae;Hemidoras;Hemidoras morrisi
NC_007887.1	NA;Chordata;Actinopteri;Tetraodontiformes;Molidae;Ranzania;Ranzania laevis
NC_002812.1	NA;Chordata;Actinopteri;Perciformes;Trichodontidae;Arctoscopus;Arctoscopus japonicus
AB188192.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Leocottus;Leocottus kesslerii
AB188189.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus gobio
AB188187.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Alpinocottus;Alpinocottus poecilopus
AB188181.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus nozawae
AB188180.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus nozawae
AB188179.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus reinii
AB188178.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus pollux
AB188177.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus pollux
AY092050.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Symphodus;Symphodus roissali
AF414197.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Symphodus;Symphodus melops
AY092047.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Symphodus;Symphodus cinereus
AY279659.1	NA;Chordata;Actinopteri;Labriformes;Odacidae;Odax;Odax cyanoallix
AY279636.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Pseudodax;Pseudodax moluccanus
NC_004404.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus reinii
AF055601.1	NA;Chordata;Actinopteri;Acanthuriformes;Luvaridae;Luvarus;Luvarus imperialis
MH923343.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923342.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923340.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923339.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923338.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923336.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923335.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923334.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923333.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923332.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923331.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923330.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923329.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923328.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923327.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923326.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923325.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923324.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923323.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923322.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923321.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923320.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923319.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923318.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923317.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923316.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923315.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923314.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923313.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923312.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923311.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923310.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923309.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923308.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
MH923307.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
NC_044446.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Nothobranchiidae;Epiplatys;Epiplatys spilargyreius
NC_044435.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Nothobranchiidae;Epiplatys;Epiplatys multifasciatus
PP492863.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Iniistius;Iniistius dea
MH918122.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
LC848714.1	NA;Chordata;Actinopteri;Gobiiformes;Gobiidae;Trimmatom;Trimmatom sp. sensu Akihito et al. 2013
LC215912.1	NA;Chordata;Amphibia;Anura;Megophryidae;Leptobrachium;Leptobrachium hasseltii
KU665487.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
KY815292.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres melanotis
KX686092.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus
KX686091.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus
KX686077.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus
OP931332.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
OP931322.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
OP931315.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
OP931314.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
OP931313.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
OP056974.2	NA;Chordata;Actinopteri;Beryciformes;Gibberichthyidae;Gibberichthys;Gibberichthys pumilus
KU159431.1	NA;Chordata;Chondrichthyes;Hexanchiformes;Chlamydoselachidae;Chlamydoselachus;Chlamydoselachus anguineus
NC_029832.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus suratensis
KT869378.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus
KT124235.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
KT124234.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
KT124233.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
KT124232.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
NC_026897.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Diploprion;Diploprion bifasciatus
OM736835.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
OM736805.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
OM736883.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
OL806606.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
ON889792.1	NA;Chordata;Actinopteri;Beloniformes;Hemiramphidae;Hyporhamphus;Hyporhamphus melanopterus
ON888931.1	NA;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Sufflamen;Sufflamen chrysopterum
ON888915.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis aurantia
ON888682.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis miniata
NC_061969.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Etroplus;Etroplus canarensis
LC649162.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Diploprion;Diploprion bifasciatus
LC649135.1	NA;Chordata;Actinopteri;NA;Plesiopidae;Belonepterygion;Belonepterygion fasciolatum
LC640081.1	NA;Chordata;Chondrichthyes;Hexanchiformes;Chlamydoselachidae;Chlamydoselachus;Chlamydoselachus anguineus
NC_022729.1	NA;Chordata;Chondrichthyes;Hexanchiformes;Chlamydoselachidae;Chlamydoselachus;Chlamydoselachus anguineus
MT667236.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
NC_016702.1	NA;Chordata;Actinopteri;Clupeiformes;Clupeidae;Clupeichthys;Clupeichthys aesarnensis
NC_012312.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus
FJ445401.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus
FJ445400.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus
FJ445399.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus
FJ445398.1	NA;Chordata;Actinopteri;Cyprinodontiformes;Fundulidae;Fundulus;Fundulus heteroclitus
AY949372.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Paranthias;Paranthias furcifer
AY949329.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Diploprion;Diploprion bifasciatus
AY279654.1	NA;Chordata;Actinopteri;Labriformes;Labridae;Iniistius;Iniistius aneitensis
NC_004593.1	NA;Chordata;Actinopteri;Esociformes;Esocidae;Esox;Esox lucius
NC_004378.1	NA;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Lamprogrammus;Lamprogrammus niger
KT600974.1	NA;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Stephanolepis;Stephanolepis hispida
KT600956.1	NA;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Monacanthus;Monacanthus tuckeri
KT600955.1	NA;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Meuschenia;Meuschenia trachylepis
KM057962.1	NA;Chordata;Actinopteri;Perciformes;Agonidae;Hemitripterus;Hemitripterus bolini
MT025500.1	NA;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Plectorhinchus;Plectorhinchus vittatus
MT025441.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus
MT025440.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus
MK239310.1	NA;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Percilia;Percilia gillissi
LC493930.1	NA;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas orientalis
AP006792.1	NA;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Percilia;Percilia irwini
AP006770.1	NA;Chordata;Actinopteri;Atheriniformes;Bedotiidae;Bedotia;Bedotia geayi
MK791189.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus fuscoguttatus
PP180015.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus lanceolatus x (Epinehelus moara x Epinephelus lanceolatus)
OR885555.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus lanceolatus x (Epinehelus moara x Epinephelus lanceolatus)
PP492994.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus vaigiensis
PP492880.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus bruneus
OR979471.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus moara x (Epinephelus moara x Epinephelus lanceolatus)
MG599474.1	NA;Chordata;Actinopteri;NA;Sciaenidae;Aplodinotus;Aplodinotus grunniens
LC434620.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus pollux
NC_040225.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus moara x Epinephelus tukula
MG924472.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus cognatus
PQ369933.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus grammoptilus
PQ483949.1	NA;NA;NA;NA;NA;NA;NA
LC842174.1	NA;Chordata;Actinopteri;Centrarchiformes;Cheilodactylidae;Cheilodactylus;Cheilodactylus quadricornis
LC834802.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus dussumieri
AP009313.1	NA;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Enteromius;Enteromius callipterus
MH248194.1	NA;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Rhinecanthus;Rhinecanthus assasi
KX118037.1	NA;Chordata;Actinopteri;Perciformes;Anarhichadidae;Anarhichas;Anarhichas denticulatus
MT810460.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Pogonoperca;Pogonoperca punctata
PQ096487.1	NA;Chordata;Actinopteri;Perciformes;Percidae;Etheostoma;Etheostoma microperca
PQ064522.1	NA;Chordata;Actinopteri;NA;Sciaenidae;Aplodinotus;Aplodinotus grunniens
PP178642.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus vaigiensis
PP178641.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus vaigiensis
NC_036146.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus perifretum
LC275812.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus pollux
LC819407.1	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Dictyosoma;Dictyosoma temminckii
PP118517.1	NA;Chordata;Actinopteri;Siluriformes;Astroblepidae;Astroblepus;Astroblepus verai
NC_087996.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Dermatolepis;Dermatolepis inermis
NC_034653.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Hemilepidotus;Hemilepidotus gilberti
NC_034669.1	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Xiphister;Xiphister atropurpureus
NC_034336.1	NA;Chordata;Actinopteri;Atheriniformes;Bedotiidae;Bedotia;Bedotia geayi
PP059118.1	NA;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Bostockia;Bostockia porosa
KX147236.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus moara x Epinephelus lanceolatus
NC_031617.1	NA;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Enteromius;Enteromius eburneensis
NC_031409.1	NA;Chordata;Actinopteri;NA;Sciaenidae;Pennahia;Pennahia macrocephala
NC_084242.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Cichla;Cichla piquiti
NC_084075.1	NA;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Lepomis;Lepomis symmetricus
KU877252.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus radiatus
KU877251.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus radiatus
KU877248.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus tauvina
OR582699.1	NA;Chordata;Actinopteri;Perciformes;Zoarcidae;Gymnelus;Gymnelus viridis
OR582690.1	NA;Chordata;Actinopteri;Perciformes;Zaproridae;Zaprora;Zaprora silenus
OP035285.2	NA;Chordata;Actinopteri;Ophidiiformes;Ophidiidae;Lamprogrammus;Lamprogrammus brunswigi
OP035176.1	NA;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Rhinecanthus;Rhinecanthus rectangulus
OP035143.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus vaigiensis
OP035096.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus sectatrix
OP035071.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus vaigiensis
OP057015.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus incisor
OP056951.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Rypticus;Rypticus bistrispinus
OP056927.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Rypticus;Rypticus subbifrenatus
OP056827.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus itajara
OR546199.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Bathyanthias;Bathyanthias cubensis
OR546198.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Bathyanthias;Bathyanthias cubensis
OR546197.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Bathyanthias;Bathyanthias cubensis
NC_083041.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Bathyanthias;Bathyanthias cubensis
OR499733.1	NA;Chordata;Actinopteri;Perciformes;Psychrolutidae;Psychrolutes;Psychrolutes paradoxus
NC_030318.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;NA;Epinephelus moara x Hyporthodus septemfasciatus
NC_030276.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus moara x Epinephelus lanceolatus
LC773525.1	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Dictyosoma;Dictyosoma burgeri
OR198663.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Cichla;Cichla sp.
OR198661.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Australoheros;Australoheros sp.
KM656802.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus poecilonotus
LC771078.1	NA;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Rhinecanthus;Rhinecanthus abyssus
LC327129.2	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Dictyosoma;Dictyosoma burgeri
LC278058.2	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Dictyosoma;Dictyosoma burgeri
LC770438.1	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Dictyosoma;Dictyosoma burgeri
KR478177.1	NA;Chordata;Actinopteri;Siluriformes;Loricariidae;Rineloricaria;Rineloricaria sp. 'Guama 6'
LC763828.1	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Dictyosoma;Dictyosoma burgeri
KT357695.1	NA;Chordata;Actinopteri;Centrarchiformes;Cheilodactylidae;Cheilodactylus;Cheilodactylus quadricornis
OP980559.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus lanceolatus
NC_072956.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus polyphekadion
KM373207.1	NA;Chordata;Actinopteri;NA;Sciaenidae;Nibea;Nibea coibor
NC_072540.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Lamprologus;Lamprologus similis
NC_072332.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Lamprologus;Lamprologus stappersi
NC_071970.1	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Dictyosoma;Dictyosoma tongyeongensis
OP035072.1	NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus dussumieri
NC_027289.1	NA;Chordata;Actinopteri;Cichliformes;Cichlidae;Haplochromis;Haplochromis burtoni
NC_027098.1	NA;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Plectorhinchus;Plectorhinchus vittatus
OM736852.1	NA;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus cognatus
KP013758.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus fuscoguttatus
LC728465.1	NA;Chordata;Actinopteri;Perciformes;Stichaeidae;Dictyosoma;Dictyosoma burgeri
KP009977.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus moara
LC340201.2	NA;Chordata;Actinopteri;Labriformes;Labridae;Bodianus;Bodianus tanyokidus
LC720445.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Epinephelus;Epinephelus bruneus
KC136578.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus ocyurus
KC136574.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus analogus
KC136573.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus vaigiensis
KC136572.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus sectatrix
KC136570.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus vaigiensis
KC136569.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus sectatrix
KC136568.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus incisor
KC136565.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus elegans
KC136564.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus pacificus
KC136559.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus pacificus
KC136558.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus analogus
KC136557.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus sectatrix
KC136554.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus sectatrix
KC136550.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus incisor
KC136549.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus sectatrix
KC136548.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus pacificus
KC136544.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus incisor
KC136543.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus vaigiensis
KC136541.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus pacificus
KC136540.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus vaigiensis
KC136538.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus cinerascens
KC136535.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus elegans
KC136533.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus pacificus
KC136531.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus vaigiensis
KC136526.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus elegans
KC136525.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus bigibbus
KC136524.1	NA;Chordata;Actinopteri;Centrarchiformes;Kyphosidae;Kyphosus;Kyphosus pacificus
