Project Request,Scientific name,Point of Contact for Submission,Email,Common Name,Survey Type,sp_code,speciesOrNo
Trindidad Headline,CITHARICHTHYS STIGMAEUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857030102,1
Trindidad Headline,CITHARICHTHYS XANTHOSTIGMA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857030188,1
Trindidad Headline,LYOPSETTA EXILIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857040403,1
Trindidad Headline,HIPPOGLOSSOIDES ELASSODON,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857040601,1
Trindidad Headline,MICROSTOMUS PACIFICUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857041201,1
Trindidad Headline,PLATICHTHYS STELLATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857041401,1
Trindidad Headline,LEPIDOPSETTA BILINEATA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857041510,1
Trindidad Headline,ISOPSETTA ISOLEPIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857041511,1
Trindidad Headline,PAROPHRYS VETULUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857041512,1
Trindidad Headline,PLEURONICHTHYS DECURRENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857041602,1
Trindidad Headline,PSETTICHTHYS MELANOSTICTUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857041701,1
Trindidad Headline,GLYPTOCEPHALUS ZACHIRUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857043501,1
Trindidad Headline,LEPIDOPSETTA POLYXYSTRA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857049998,1
Trindidad Headline,LIMANDA ASPERA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857049999,1
Trindidad Headline,PLEURONECTES QUADRITUBERCULATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8857049999,1
Trindidad Headline,TACTOSTOMA MACROPUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8877766655,1
Trindidad Headline,CYCLOTHONE ACCLINIDENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,899888777X,1
Trindidad Headline,CYCLOTHONE PSEUDOPALLIDA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,89988877XX,1
Trindidad Headline,SPECTRUNCULUS GRANDIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999665554,1
Trindidad Headline,POROMITRA CRASSICEPS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,899988888X,1
Trindidad Headline,NANSENIA CANDIDA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999988667,1
Trindidad Headline,CLEVLANDIA IOS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,899998888X,1
Trindidad Headline,SCOMBRIDAE SP.,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,89999966XX,1
Trindidad Headline,DANOPHOS OCULATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999997766,1
Trindidad Headline,MELAMPHAES PARVUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999998886,1
Trindidad Headline,MELAMPHAES LUGUBRIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999998887,1
Trindidad Headline,EOPSETTA JORDANI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999234,1
Trindidad Headline,CHAULIODUS MACOUNI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999643,1
Trindidad Headline,LESTIDIOPS RINGENS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999905,1
Trindidad Headline,BATHOPHILUS FLEMINGI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999925,1
Trindidad Headline,LOWEINA RARA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999975,1
Trindidad Headline,TETRAGONURUS CUVIERI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999985,1
Trindidad Headline,NANNOBRACHIUM RITTERI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999990,1
Trindidad Headline,UNIDENTIFIED FISH,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999998,1
Trindidad Headline,EMBASSICHTHYS BATHYBIUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999998,1
Trindidad Headline,MELAMPHAES SPP,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999998,1
Trindidad Headline,CRYPTACANTHODES ALEUTENSIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,89999999XX,1
Trindidad Headline,HYPSAGONUS MOZINOI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999XXX,1
Trindidad Headline,SCOPELOBERYX ROBUSTUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999999x9x,1
Trindidad Headline,SCOMBER JAPONICUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,899999XXXX,1
Trindidad Headline,OPISTHOCENTRUS OCELLATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,89999XXX98,1
Trindidad Headline,XENERETMUS LEIOPS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,89999XXX99,1
Trindidad Headline,THALEICTHYS PACIFICUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,89999XXX99,1
Trindidad Headline,SYMPHURUS ATRICAUDUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,89999xxx99,1
Trindidad Headline,IDIACANTHUS FASCIOLA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,89999xxx99,1
Trindidad Headline,SCYRA ACUTIFRONS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,9990001Z1,1
Trindidad Headline,CHIONOECETES BAIRDI,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,9990003Z1,1
Trindidad Headline,MIMULUS FOLIATUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,9990005Z1,1
Trindidad Headline,RADIOLARIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,3465C,0
Trindidad Headline,PHIALIDIUM,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,370401048,0
Trindidad Headline,MUGGIAEA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,371601048,0
Trindidad Headline,PLEUROBRACHIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,38020101C,0
Trindidad Headline,TOMOPTERIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,500120018,0
Trindidad Headline,POLYCHAETA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,5001LV,0
Trindidad Headline,LIMACINA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,51130101C,0
Trindidad Headline,PTEROPODA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,5113C,0
Trindidad Headline,GASTROPODA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,51VL,0
Trindidad Headline,BIVALVIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,55VL,0
Trindidad Headline,OCTOPUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,57080102C,0
Trindidad Headline,CLADOCERA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6108C,0
Trindidad Headline,EVADNE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,610905018,0
Trindidad Headline,PODON,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61090502C,0
Trindidad Headline,OSTRACODA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6110C,0
Trindidad Headline,COPEPODA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6117C,0
Trindidad Headline,TRICONIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6117XXX99X,0
Trindidad Headline,CALANOIDA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118!,0
Trindidad Headline,CALANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61180102E,0
Trindidad Headline,EUCALANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61180301#,0
Trindidad Headline,EUCALANUS NEW SPECIES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118030199,0
Trindidad Headline,PARACALANUS NEW SPECIES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118040199,0
Trindidad Headline,PARACALANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61180401XX,0
Trindidad Headline,CALOCALANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61180402O,0
Trindidad Headline,CLAUSOCALANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61180501N,0
Trindidad Headline,PSEUDOCALANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61180505@,0
Trindidad Headline,GAIDIUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61180711%,0
Trindidad Headline,EUCHAETA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61180801@,0
Trindidad Headline,RACOVITZANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61181003%,0
Trindidad Headline,SCOLECITHRICELLA NEW SPECIES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118100599,0
Trindidad Headline,METRIDIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61181602!,0
Trindidad Headline,LUCICUTIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61182101%,0
Trindidad Headline,HETERORHABDUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61182202%,0
Trindidad Headline,ACARTIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61182901%,0
Trindidad Headline,SCAPHOCALANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6118999996,0
Trindidad Headline,ACROCALANUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,611899999x,0
Trindidad Headline,MICROSETELLA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61190901C,0
Trindidad Headline,HARPACTICOIDA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6119CO,0
Trindidad Headline,ONCAEA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61200103C,0
Trindidad Headline,CORYCAEUS NEW SPECIES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6120049999,0
Trindidad Headline,SAPPHIRINA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61201001C,0
Trindidad Headline,CIRRIPEDIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61302,0
Trindidad Headline,MYSIDACEA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6151C,0
Trindidad Headline,CUMACEA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6154C,0
Trindidad Headline,ISOPODA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61588,0
Trindidad Headline,AMPHIPODA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61688,0
Trindidad Headline,HYPERIIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,617001C,0
Trindidad Headline,PARAPHRONIMA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61702101C,0
Trindidad Headline,EUPHAUSIIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,617402CAL,0
Trindidad Headline,STYLOCHEIRON,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61740xxxxx,0
Trindidad Headline,UPOGEBIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,617500999X,0
Trindidad Headline,DECAPODA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,617500Z,0
Trindidad Headline,SHRIMP,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6175C,0
Trindidad Headline,HIPPOLYTIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,617916C,0
Trindidad Headline,PANDALIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,617918C,0
Trindidad Headline,CRANGONIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,617922Z,0
Trindidad Headline,CRABS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6180Z,0
Trindidad Headline,PAGURIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,618306Z1,0
Trindidad Headline,LITHODIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,618308J,0
Trindidad Headline,GALATHEIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,618310C,0
Trindidad Headline,PACHYCHELES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61831202Z1,0
Trindidad Headline,PORCELLANIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,618312Z1,0
Trindidad Headline,BRACHYURA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6184C,0
Trindidad Headline,MAJIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,618701PLVL,0
Trindidad Headline,CANCER,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61880301Z1,0
Trindidad Headline,LOPHOPANOPEUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61890201Z1,0
Trindidad Headline,FABIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,61890603Z,0
Trindidad Headline,PINNOTHERIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,618906Z1,0
Trindidad Headline,GRAPSIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,618907PLVL,0
Trindidad Headline,OCTOPOTEUTHIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,642411999X,0
Trindidad Headline,SQUID,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6424123XXL,0
Trindidad Headline,GONATIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,6424222XXL,0
Trindidad Headline,BRYOZOA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,78LV,0
Trindidad Headline,SAGITTA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,83080107C,0
Trindidad Headline,CHAETOGNATHA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,83C,0
Trindidad Headline,DOLIOLIDA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8410C,0
Trindidad Headline,SALPIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,84118,0
Trindidad Headline,OIKOPLEURA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,84130101C,0
Trindidad Headline,FRITILLARIA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,84130201C,0
Trindidad Headline,22 DIVISION FISH EGG,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,870022E,0
Trindidad Headline,CLUPEIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,874701PFLX,0
Trindidad Headline,CLUPEIFORMES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8747999999,0
Trindidad Headline,OSMERIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,875503PFLX,0
Trindidad Headline,BATHYLAGIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,875602FLX,0
Trindidad Headline,LAMPADENA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,87621412YL,0
Trindidad Headline,NANNOBRACHIUM,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8762149999,0
Trindidad Headline,MYCTOPHIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,876214C,0
Trindidad Headline,GILLELUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8777666555,0
Trindidad Headline,SEBASTES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,88260101PF,0
Trindidad Headline,SEBASTOLOBUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,88260102PF,0
Trindidad Headline,ARTEDIUS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,88310204FL,0
Trindidad Headline,COTTIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,883102PFLX,0
Trindidad Headline,AGONIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,883108PFLX,0
Trindidad Headline,LIPARIS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,88310908PS,0
Trindidad Headline,BATHYMASTER,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,88400301FL,0
Trindidad Headline,STICHAEIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,884212PFLX,0
Trindidad Headline,PHOLIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,884213PFLX,0
Trindidad Headline,PARALICHTHYIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,88559999XP,0
Trindidad Headline,PLEURONECTIFORMES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8855YLK,0
Trindidad Headline,CITHARICHTHYS,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,88570301PF,0
Trindidad Headline,PLEURONECTIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,885704PFLX,0
Trindidad Headline,PETROLISTHES,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8990004Z1,0
Trindidad Headline,STERNOPTYCHIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999888666,0
Trindidad Headline,STOMIIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,8999888777,0
Trindidad Headline,ZOARCIDAE,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,89999xxxxx,0
Trindidad Headline,SPINY HERMIT CRAB,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,9990006Z1,0
Trindidad Headline,PYROSOMA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,999888666X,0
Trindidad Headline,BRACHIOPODA,Eric Bjorkstedt,eric.bjorkstedt@noaa.gov,,Encountered,9999XXXXXX,0
