Project Request,Scientific name,Point of Contact for Submission,Email,Common Name,Survey Type,species_code
NMFS AFSC GAP Survey,Careproctus ectenes,Emily Markowtiz,emily.markowitz@noaa.gov,shovelhead snailfish,Encountered,22224
NMFS AFSC GAP Survey,Careproctus canus,Emily Markowtiz,emily.markowitz@noaa.gov,gray snailfish,Encountered,22225
NMFS AFSC GAP Survey,Careproctus phasma,Emily Markowtiz,emily.markowitz@noaa.gov,monster snailfish,Encountered,22226
NMFS AFSC GAP Survey,Careproctus nelsoni,Emily Markowtiz,emily.markowitz@noaa.gov,saddleback snailfish,Encountered,22227
NMFS AFSC GAP Survey,Careproctus cypselurus,Emily Markowtiz,emily.markowitz@noaa.gov,blackfin snailfish,Encountered,22228
NMFS AFSC GAP Survey,Careproctus furcellus,Emily Markowtiz,emily.markowitz@noaa.gov,emarginate snailfish,Encountered,22229
NMFS AFSC GAP Survey,Careproctus abbreviatus,Emily Markowtiz,emily.markowitz@noaa.gov,short snailfish,Encountered,22230
NMFS AFSC GAP Survey,Paraliparis ulochir,Emily Markowtiz,emily.markowitz@noaa.gov,broadfin snailfish,Encountered,22231
NMFS AFSC GAP Survey,Careproctus scottae,Emily Markowtiz,emily.markowitz@noaa.gov,peachskin snailfish,Encountered,22232
NMFS AFSC GAP Survey,Careproctus gilberti,Emily Markowtiz,emily.markowitz@noaa.gov,smalldisk snailfish,Encountered,22233
NMFS AFSC GAP Survey,Careproctus sp. cf. gilberti (Orr),Emily Markowtiz,emily.markowitz@noaa.gov,dominator snailfish,Encountered,22234
NMFS AFSC GAP Survey,Careproctus colletti,Emily Markowtiz,emily.markowitz@noaa.gov,Alaska snailfish,Encountered,22235
NMFS AFSC GAP Survey,Careproctus rastrinus,Emily Markowtiz,emily.markowitz@noaa.gov,salmon snailfish,Encountered,22236
NMFS AFSC GAP Survey,Careproctus ovigerus,Emily Markowtiz,emily.markowitz@noaa.gov,abyssal snailfish,Encountered,22237
NMFS AFSC GAP Survey,Liparis tunicatus,Emily Markowtiz,emily.markowitz@noaa.gov,kelp snailfish,Encountered,22238
NMFS AFSC GAP Survey,Careproctus zachirus,Emily Markowtiz,emily.markowitz@noaa.gov,paintbrush snailfish,Encountered,22239
NMFS AFSC GAP Survey,Oncorhynchus nerka,Emily Markowtiz,emily.markowitz@noaa.gov,sockeye salmon,Encountered,23240
NMFS AFSC GAP Survey,Salvelinus alpinus,Emily Markowtiz,emily.markowitz@noaa.gov,Arctic char,Encountered,23250
NMFS AFSC GAP Survey,Salvelinus malma,Emily Markowtiz,emily.markowitz@noaa.gov,Dolly Varden,Encountered,23252
NMFS AFSC GAP Survey,Oncorhynchus mykiss,Emily Markowtiz,emily.markowitz@noaa.gov,steelhead,Encountered,23260
NMFS AFSC GAP Survey,Coregonus laurettae,Emily Markowtiz,emily.markowitz@noaa.gov,Bering cisco,Encountered,23310
NMFS AFSC GAP Survey,Genyonemus lineatus,Emily Markowtiz,emily.markowitz@noaa.gov,white croaker,Encountered,23402
NMFS AFSC GAP Survey,Scombridae,Emily Markowtiz,emily.markowitz@noaa.gov,mackerel unid.,Encountered,23500
NMFS AFSC GAP Survey,Scomber japonicus,Emily Markowtiz,emily.markowitz@noaa.gov,chub mackerel,Encountered,23524
NMFS AFSC GAP Survey,Cololabis saira,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific saury,Encountered,23562
NMFS AFSC GAP Survey,Neoscopelus macrolepidotus,Emily Markowtiz,emily.markowitz@noaa.gov,glowingfish,Encountered,23590
NMFS AFSC GAP Survey,Benthalbella sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23602
NMFS AFSC GAP Survey,Benthalbella dentata,Emily Markowtiz,emily.markowitz@noaa.gov,northern pearleye,Encountered,23603
NMFS AFSC GAP Survey,Scopelosaurus harryi,Emily Markowtiz,emily.markowitz@noaa.gov,scaly paperbone,Encountered,23620
NMFS AFSC GAP Survey,Scopelosaurus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23621
NMFS AFSC GAP Survey,Scopelosaurus adleri,Emily Markowtiz,emily.markowitz@noaa.gov,Adler waryfish,Encountered,23622
NMFS AFSC GAP Survey,Alepisaurus ferox,Emily Markowtiz,emily.markowitz@noaa.gov,longnose lancetfish,Encountered,23657
NMFS AFSC GAP Survey,Platytroctidae,Emily Markowtiz,emily.markowitz@noaa.gov,tubeshoulder unid.,Encountered,23700
NMFS AFSC GAP Survey,Mentodus eubranchus,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23709
NMFS AFSC GAP Survey,Sagamichthys abei,Emily Markowtiz,emily.markowitz@noaa.gov,shining tubeshoulder,Encountered,23710
NMFS AFSC GAP Survey,Holtbyrnia sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23711
NMFS AFSC GAP Survey,Holtbyrnia innesi,Emily Markowtiz,emily.markowitz@noaa.gov,lanternjaw tubeshoulder,Encountered,23712
NMFS AFSC GAP Survey,Mirorictus taningi,Emily Markowtiz,emily.markowitz@noaa.gov,striped tubeshoulder,Encountered,23720
NMFS AFSC GAP Survey,Cryptacanthodes aleutensis,Emily Markowtiz,emily.markowitz@noaa.gov,dwarf wrymouth,Encountered,23791
NMFS AFSC GAP Survey,Cryptacanthodes giganteus,Emily Markowtiz,emily.markowitz@noaa.gov,giant wrymouth,Encountered,23792
NMFS AFSC GAP Survey,Stichaeidae,Emily Markowtiz,emily.markowitz@noaa.gov,prickleback unid.,Encountered,23800
NMFS AFSC GAP Survey,Lumpenus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23801
NMFS AFSC GAP Survey,Plectobranchus evides,Emily Markowtiz,emily.markowitz@noaa.gov,bluebarred prickleback,Encountered,23802
NMFS AFSC GAP Survey,Eumesogrammus praecisus,Emily Markowtiz,emily.markowitz@noaa.gov,fourline snakeblenny,Encountered,23803
NMFS AFSC GAP Survey,Stichaeus punctatus,Emily Markowtiz,emily.markowitz@noaa.gov,Arctic shanny,Encountered,23804
NMFS AFSC GAP Survey,Leptoclinus maculatus,Emily Markowtiz,emily.markowitz@noaa.gov,daubed shanny,Encountered,23805
NMFS AFSC GAP Survey,Anisarchus medius,Emily Markowtiz,emily.markowitz@noaa.gov,stout eelblenny,Encountered,23806
NMFS AFSC GAP Survey,Lumpenus fabricii,Emily Markowtiz,emily.markowitz@noaa.gov,slender eelblenny,Encountered,23807
NMFS AFSC GAP Survey,Lumpenus sagitta,Emily Markowtiz,emily.markowitz@noaa.gov,snake prickleback,Encountered,23808
NMFS AFSC GAP Survey,Acantholumpenus mackayi,Emily Markowtiz,emily.markowitz@noaa.gov,pighead prickleback,Encountered,23809
NMFS AFSC GAP Survey,Lumpenella longirostris,Emily Markowtiz,emily.markowitz@noaa.gov,longsnout prickleback,Encountered,23836
NMFS AFSC GAP Survey,Chirolophis sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23840
NMFS AFSC GAP Survey,Chirolophis decoratus,Emily Markowtiz,emily.markowitz@noaa.gov,decorated warbonnet,Encountered,23841
NMFS AFSC GAP Survey,Chirolophis snyderi,Emily Markowtiz,emily.markowitz@noaa.gov,bearded warbonnet,Encountered,23843
NMFS AFSC GAP Survey,Chirolophis tarsodes,Emily Markowtiz,emily.markowitz@noaa.gov,matcheek warbonnet,Encountered,23844
NMFS AFSC GAP Survey,Aristostomias scintillans,Emily Markowtiz,emily.markowitz@noaa.gov,shining loosejaw,Encountered,26053
NMFS AFSC GAP Survey,Neonesthes capensis,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,26060
NMFS AFSC GAP Survey,Lampris guttatus,Emily Markowtiz,emily.markowitz@noaa.gov,opah,Encountered,27020
NMFS AFSC GAP Survey,Stylephorus chordatus,Emily Markowtiz,emily.markowitz@noaa.gov,tube-eye,Encountered,27028
NMFS AFSC GAP Survey,Synodontidae,Emily Markowtiz,emily.markowitz@noaa.gov,lizardfish unid.,Encountered,27050
NMFS AFSC GAP Survey,Synodus lucioceps,Emily Markowtiz,emily.markowitz@noaa.gov,California lizardfish,Encountered,27051
NMFS AFSC GAP Survey,Facciolella gilbertii,Emily Markowtiz,emily.markowitz@noaa.gov,dogface witch-eel,Encountered,28001
NMFS AFSC GAP Survey,Venefica sp.,Emily Markowtiz,emily.markowitz@noaa.gov,whipsnout eels,Encountered,28002
NMFS AFSC GAP Survey,Howella sherborni,Emily Markowtiz,emily.markowitz@noaa.gov,Sherborn cardinalfish,Encountered,28532
NMFS AFSC GAP Survey,Howella brodiei,Emily Markowtiz,emily.markowitz@noaa.gov,pelagic basslet,Encountered,28533
NMFS AFSC GAP Survey,Pentaceros wheeleri,Emily Markowtiz,emily.markowitz@noaa.gov,North Pacific pelagic armorhead,Encountered,28700
NMFS AFSC GAP Survey,Eurypharynx pelecanoides,Emily Markowtiz,emily.markowitz@noaa.gov,umbrellamouth gulper,Encountered,29990
NMFS AFSC GAP Survey,Saccopharynx sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,29996
NMFS AFSC GAP Survey,Saccopharynx lavenbergi,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,29997
NMFS AFSC GAP Survey,NA,Emily Markowtiz,emily.markowitz@noaa.gov,roundfish unid.,Encountered,29999
NMFS AFSC GAP Survey,Scorpaenidae,Emily Markowtiz,emily.markowitz@noaa.gov,scorpionfish and rockfish unid.,Encountered,30000
NMFS AFSC GAP Survey,Sebastolobus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,thornyhead unid.,Encountered,30010
NMFS AFSC GAP Survey,Sebastolobus alascanus,Emily Markowtiz,emily.markowitz@noaa.gov,shortspine thornyhead,Encountered,30020
NMFS AFSC GAP Survey,Sebastolobus macrochir,Emily Markowtiz,emily.markowitz@noaa.gov,broadfin thornyhead,Encountered,30025
NMFS AFSC GAP Survey,Sebastolobus altivelis,Emily Markowtiz,emily.markowitz@noaa.gov,longspine thornyhead,Encountered,30030
NMFS AFSC GAP Survey,Poroclinus rothrocki,Emily Markowtiz,emily.markowitz@noaa.gov,whitebarred prickleback,Encountered,23850
NMFS AFSC GAP Survey,Chirolophis nugator,Emily Markowtiz,emily.markowitz@noaa.gov,mosshead warbonnet,Encountered,23851
NMFS AFSC GAP Survey,Bryozoichthys lysimus,Emily Markowtiz,emily.markowitz@noaa.gov,nutcracker prickleback,Encountered,23861
NMFS AFSC GAP Survey,Bryozoichthys marjorius,Emily Markowtiz,emily.markowitz@noaa.gov,pearly prickleback,Encountered,23862
NMFS AFSC GAP Survey,Bryozoichthys sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23863
NMFS AFSC GAP Survey,Anoplarchus purpurescens,Emily Markowtiz,emily.markowitz@noaa.gov,high cockscomb,Encountered,23865
NMFS AFSC GAP Survey,Anoplarchus insignis,Emily Markowtiz,emily.markowitz@noaa.gov,slender cockscomb,Encountered,23866
NMFS AFSC GAP Survey,Pholidae,Emily Markowtiz,emily.markowitz@noaa.gov,gunnel unid.,Encountered,23871
NMFS AFSC GAP Survey,Pholis sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23872
NMFS AFSC GAP Survey,Pholis laeta,Emily Markowtiz,emily.markowitz@noaa.gov,crescent gunnel,Encountered,23873
NMFS AFSC GAP Survey,Stromateidae,Emily Markowtiz,emily.markowitz@noaa.gov,butterfish unid.,Encountered,23900
NMFS AFSC GAP Survey,Peprilus simillimus,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific pompano,Encountered,23911
NMFS AFSC GAP Survey,Icichthys lockingtoni,Emily Markowtiz,emily.markowitz@noaa.gov,medusafish,Encountered,23915
NMFS AFSC GAP Survey,Trachipterus altivelis,Emily Markowtiz,emily.markowitz@noaa.gov,king-of-the-salmon,Encountered,23932
NMFS AFSC GAP Survey,Desmodema lorum,Emily Markowtiz,emily.markowitz@noaa.gov,whiptail ribbonfish,Encountered,23933
NMFS AFSC GAP Survey,Trichiuridae,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23940
NMFS AFSC GAP Survey,Benthodesmus pacificus,Emily Markowtiz,emily.markowitz@noaa.gov,North Pacific frostfish,Encountered,23942
NMFS AFSC GAP Survey,Benthodesmus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23943
NMFS AFSC GAP Survey,Aphanopus arigato,Emily Markowtiz,emily.markowitz@noaa.gov,Pacific black scabbardfish,Encountered,23944
NMFS AFSC GAP Survey,Lepidopus fitchi,Emily Markowtiz,emily.markowitz@noaa.gov,scabbardfish,Encountered,23945
NMFS AFSC GAP Survey,Anguilliformes,Emily Markowtiz,emily.markowitz@noaa.gov,eel unid.,Encountered,23950
NMFS AFSC GAP Survey,NA,Emily Markowtiz,emily.markowitz@noaa.gov,leptocephalus unid.,Encountered,23952
NMFS AFSC GAP Survey,Opisthoproctidae,Emily Markowtiz,emily.markowitz@noaa.gov,spookfish unid.,Encountered,23958
NMFS AFSC GAP Survey,Dolichopteryx sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23960
NMFS AFSC GAP Survey,Dolichopteryx longipes,Emily Markowtiz,emily.markowitz@noaa.gov,brownsnout spookfish,Encountered,23961
NMFS AFSC GAP Survey,Macropinna microstoma,Emily Markowtiz,emily.markowitz@noaa.gov,barreleye,Encountered,23962
NMFS AFSC GAP Survey,Bathylychnops sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23963
NMFS AFSC GAP Survey,Bathylychnops exilis,Emily Markowtiz,emily.markowitz@noaa.gov,javelin spookfish,Encountered,23964
NMFS AFSC GAP Survey,Gigantura indica,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,23970
NMFS AFSC GAP Survey,Zaprora silenus,Emily Markowtiz,emily.markowitz@noaa.gov,prowfish,Encountered,24001
NMFS AFSC GAP Survey,Ptilichthys goodei,Emily Markowtiz,emily.markowitz@noaa.gov,quillfish,Encountered,24005
NMFS AFSC GAP Survey,Zoarcidae,Emily Markowtiz,emily.markowitz@noaa.gov,eelpout unid.,Encountered,24100
NMFS AFSC GAP Survey,Bothrocara sp. cf. brunneum group,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,24109
NMFS AFSC GAP Survey,Bothrocara brunneum,Emily Markowtiz,emily.markowitz@noaa.gov,twoline eelpout,Encountered,24110
NMFS AFSC GAP Survey,Bothrocara pusillum,Emily Markowtiz,emily.markowitz@noaa.gov,Alaska eelpout,Encountered,24111
NMFS AFSC GAP Survey,Bothrocara zestum,Emily Markowtiz,emily.markowitz@noaa.gov,western eelpout,Encountered,24112
NMFS AFSC GAP Survey,Bothrocara nyx,Emily Markowtiz,emily.markowitz@noaa.gov,shadow eelpout,Encountered,24114
NMFS AFSC GAP Survey,Bothrocara hollandi,Emily Markowtiz,emily.markowitz@noaa.gov,Japan-sea eelpout,Encountered,24115
NMFS AFSC GAP Survey,Bothrocara brunneum (juvenile),Emily Markowtiz,emily.markowitz@noaa.gov,twoline eelpout (juvenile),Encountered,24116
NMFS AFSC GAP Survey,Bothrocara molle,Emily Markowtiz,emily.markowitz@noaa.gov,soft eelpout,Encountered,24120
NMFS AFSC GAP Survey,Lycenchelys crotalinus,Emily Markowtiz,emily.markowitz@noaa.gov,snakehead eelpout,Encountered,24130
NMFS AFSC GAP Survey,Lycodes cortezianus,Emily Markowtiz,emily.markowitz@noaa.gov,bigfin eelpout,Encountered,24140
NMFS AFSC GAP Survey,Lycenchelys sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,24150
NMFS AFSC GAP Survey,Lycenchelys jordani,Emily Markowtiz,emily.markowitz@noaa.gov,shortjaw eelpout,Encountered,24151
NMFS AFSC GAP Survey,Lycenchelys camchatica,Emily Markowtiz,emily.markowitz@noaa.gov,Kamchatka eelpout,Encountered,24152
NMFS AFSC GAP Survey,Lycenchelys ratmanovi,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,24153
NMFS AFSC GAP Survey,Lycodapus endemoscotus,Emily Markowtiz,emily.markowitz@noaa.gov,deepwater eelpout,Encountered,24158
NMFS AFSC GAP Survey,Lycodapus fierasfer,Emily Markowtiz,emily.markowitz@noaa.gov,blackmouth eelpout,Encountered,24160
NMFS AFSC GAP Survey,Lycodapus dermatinus,Emily Markowtiz,emily.markowitz@noaa.gov,looseskin eelpout,Encountered,24165
NMFS AFSC GAP Survey,Lycodapus psarostomatus,Emily Markowtiz,emily.markowitz@noaa.gov,specklemouth eelpout,Encountered,24166
NMFS AFSC GAP Survey,Lycodapus pachysoma,Emily Markowtiz,emily.markowitz@noaa.gov,stout eelpout,Encountered,24167
NMFS AFSC GAP Survey,Lycodapus mandibularis,Emily Markowtiz,emily.markowitz@noaa.gov,pallid eelpout,Encountered,24170
NMFS AFSC GAP Survey,Lycodes sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,24180
NMFS AFSC GAP Survey,Lycodes rossi,Emily Markowtiz,emily.markowitz@noaa.gov,threespot eelpout,Encountered,24181
NMFS AFSC GAP Survey,Lycodes soldatovi,Emily Markowtiz,emily.markowitz@noaa.gov,dipline eelpout,Encountered,24182
NMFS AFSC GAP Survey,Lycodes akuugun,Emily Markowtiz,emily.markowitz@noaa.gov,bicolor eelpout,Encountered,24183
NMFS AFSC GAP Survey,Lycodes raridens,Emily Markowtiz,emily.markowitz@noaa.gov,marbled eelpout,Encountered,24184
NMFS AFSC GAP Survey,Lycodes palearis,Emily Markowtiz,emily.markowitz@noaa.gov,wattled eelpout,Encountered,24185
NMFS AFSC GAP Survey,Lycodes mucosus,Emily Markowtiz,emily.markowitz@noaa.gov,saddled eelpout,Encountered,24186
NMFS AFSC GAP Survey,Lycodes concolor,Emily Markowtiz,emily.markowitz@noaa.gov,ebony eelpout,Encountered,24187
NMFS AFSC GAP Survey,Lycodes polaris,Emily Markowtiz,emily.markowitz@noaa.gov,Canadian eelpout,Encountered,24188
NMFS AFSC GAP Survey,Lycodes turneri,Emily Markowtiz,emily.markowitz@noaa.gov,polar eelpout,Encountered,24189
NMFS AFSC GAP Survey,Lycodes diapterus,Emily Markowtiz,emily.markowitz@noaa.gov,black eelpout,Encountered,24190
NMFS AFSC GAP Survey,Lycodes brevipes,Emily Markowtiz,emily.markowitz@noaa.gov,shortfin eelpout,Encountered,24191
NMFS AFSC GAP Survey,Gymnelus viridis,Emily Markowtiz,emily.markowitz@noaa.gov,fish doctor,Encountered,24192
NMFS AFSC GAP Survey,Gymnelus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,24193
NMFS AFSC GAP Survey,Gymnelus hemifasciatus,Emily Markowtiz,emily.markowitz@noaa.gov,halfbarred eelpout,Encountered,24194
NMFS AFSC GAP Survey,Lycodes beringi,Emily Markowtiz,emily.markowitz@noaa.gov,Bering eelpout,Encountered,24195
NMFS AFSC GAP Survey,Lycodes seminudus,Emily Markowtiz,emily.markowitz@noaa.gov,longear eelpout,Encountered,24196
NMFS AFSC GAP Survey,Lycodes reticulatus,Emily Markowtiz,emily.markowitz@noaa.gov,Arctic eelpout,Encountered,24197
NMFS AFSC GAP Survey,Lycodes pacificus,Emily Markowtiz,emily.markowitz@noaa.gov,blackbelly eelpout,Encountered,24200
NMFS AFSC GAP Survey,Bothrocara sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,24220
NMFS AFSC GAP Survey,Pachycara lepinium,Emily Markowtiz,emily.markowitz@noaa.gov,scalynape eelpout,Encountered,24221
NMFS AFSC GAP Survey,Lycodapus sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,24230
NMFS AFSC GAP Survey,Lycodapus poecilus,Emily Markowtiz,emily.markowitz@noaa.gov,variform eelpout,Encountered,24231
NMFS AFSC GAP Survey,Lycodapus parviceps,Emily Markowtiz,emily.markowitz@noaa.gov,smallhead eelpout,Encountered,24232
NMFS AFSC GAP Survey,Lycodapus leptus,Emily Markowtiz,emily.markowitz@noaa.gov,slender eelpout,Encountered,24234
NMFS AFSC GAP Survey,Lyconema barbatum,Emily Markowtiz,emily.markowitz@noaa.gov,bearded eelpout,Encountered,24240
NMFS AFSC GAP Survey,Melanostigma pammelas,Emily Markowtiz,emily.markowitz@noaa.gov,midwater eelpout,Encountered,24393
NMFS AFSC GAP Survey,Puzanovia rubra,Emily Markowtiz,emily.markowitz@noaa.gov,coral eelpout,Encountered,24394
NMFS AFSC GAP Survey,Nalbantichthys elongatus,Emily Markowtiz,emily.markowitz@noaa.gov,thinskin eelpout,Encountered,24395
NMFS AFSC GAP Survey,Gibbonsia metzi,Emily Markowtiz,emily.markowitz@noaa.gov,striped kelpfish,Encountered,24404
NMFS AFSC GAP Survey,Acipenseridae,Emily Markowtiz,emily.markowitz@noaa.gov,sturgeon unid.,Encountered,25100
NMFS AFSC GAP Survey,Acipenser medirostris,Emily Markowtiz,emily.markowitz@noaa.gov,green sturgeon,Encountered,25120
NMFS AFSC GAP Survey,Malacosteinae,Emily Markowtiz,emily.markowitz@noaa.gov,loosejaw unid.,Encountered,26050
NMFS AFSC GAP Survey,Photonectes margarita,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,26051
NMFS AFSC GAP Survey,Sebastes miniatus,Emily Markowtiz,emily.markowitz@noaa.gov,vermilion rockfish,Encountered,30350
NMFS AFSC GAP Survey,Sebastes mystinus,Emily Markowtiz,emily.markowitz@noaa.gov,blue rockfish,Encountered,30360
NMFS AFSC GAP Survey,Sebastes nebulosus,Emily Markowtiz,emily.markowitz@noaa.gov,China rockfish,Encountered,30370
NMFS AFSC GAP Survey,Sebastes nigrocinctus,Emily Markowtiz,emily.markowitz@noaa.gov,tiger rockfish,Encountered,30380
NMFS AFSC GAP Survey,Sebastes ovalis,Emily Markowtiz,emily.markowitz@noaa.gov,speckled rockfish,Encountered,30390
NMFS AFSC GAP Survey,Sebastes paucispinis,Emily Markowtiz,emily.markowitz@noaa.gov,bocaccio,Encountered,30400
NMFS AFSC GAP Survey,Sebastes pinniger,Emily Markowtiz,emily.markowitz@noaa.gov,canary rockfish,Encountered,30410
NMFS AFSC GAP Survey,Sebastes polyspinis,Emily Markowtiz,emily.markowitz@noaa.gov,northern rockfish,Encountered,30420
NMFS AFSC GAP Survey,Sebastes proriger,Emily Markowtiz,emily.markowitz@noaa.gov,redstripe rockfish,Encountered,30430
NMFS AFSC GAP Survey,Sebastes rastrelliger,Emily Markowtiz,emily.markowitz@noaa.gov,grass rockfish,Encountered,30450
NMFS AFSC GAP Survey,Sebastes rosaceus,Emily Markowtiz,emily.markowitz@noaa.gov,rosy rockfish,Encountered,30460
NMFS AFSC GAP Survey,Sebastes ruberrimus,Emily Markowtiz,emily.markowitz@noaa.gov,yelloweye rockfish,Encountered,30470
NMFS AFSC GAP Survey,Sebastes babcocki,Emily Markowtiz,emily.markowitz@noaa.gov,redbanded rockfish,Encountered,30475
NMFS AFSC GAP Survey,Sebastes rubrivinctus,Emily Markowtiz,emily.markowitz@noaa.gov,flag rockfish,Encountered,30480
NMFS AFSC GAP Survey,Sebastes saxicola,Emily Markowtiz,emily.markowitz@noaa.gov,stripetail rockfish,Encountered,30490
NMFS AFSC GAP Survey,Sebastes semicinctus,Emily Markowtiz,emily.markowitz@noaa.gov,halfbanded rockfish,Encountered,30500
NMFS AFSC GAP Survey,Sebastes serranoides,Emily Markowtiz,emily.markowitz@noaa.gov,olive rockfish,Encountered,30510
NMFS AFSC GAP Survey,Sebastes serriceps,Emily Markowtiz,emily.markowitz@noaa.gov,tree rockfish,Encountered,30525
NMFS AFSC GAP Survey,Sebastes variegatus,Emily Markowtiz,emily.markowitz@noaa.gov,harlequin rockfish,Encountered,30535
NMFS AFSC GAP Survey,Sebastes wilsoni,Emily Markowtiz,emily.markowitz@noaa.gov,pygmy rockfish,Encountered,30550
NMFS AFSC GAP Survey,Sebastes zacentrus,Emily Markowtiz,emily.markowitz@noaa.gov,sharpchin rockfish,Encountered,30560
NMFS AFSC GAP Survey,Sebastes phillipsi,Emily Markowtiz,emily.markowitz@noaa.gov,chameleon rockfish,Encountered,30570
NMFS AFSC GAP Survey,Sebastes rufus,Emily Markowtiz,emily.markowitz@noaa.gov,bank rockfish,Encountered,30575
NMFS AFSC GAP Survey,Sebastes borealis,Emily Markowtiz,emily.markowitz@noaa.gov,shortraker rockfish,Encountered,30576
NMFS AFSC GAP Survey,NA,Emily Markowtiz,emily.markowitz@noaa.gov,black rockfish unid.,Encountered,30580
NMFS AFSC GAP Survey,NA,Emily Markowtiz,emily.markowitz@noaa.gov,red rockfish unid.,Encountered,30590
NMFS AFSC GAP Survey,Sebastes reedi,Emily Markowtiz,emily.markowitz@noaa.gov,yellowmouth rockfish,Encountered,30600
NMFS AFSC GAP Survey,Sebastes rosenblatti,Emily Markowtiz,emily.markowitz@noaa.gov,greenblotched rockfish,Encountered,30611
NMFS AFSC GAP Survey,Sebastes simulator,Emily Markowtiz,emily.markowitz@noaa.gov,pinkrose rockfish,Encountered,30620
NMFS AFSC GAP Survey,Scorpaena guttata,Emily Markowtiz,emily.markowitz@noaa.gov,California scorpionfish,Encountered,31501
NMFS AFSC GAP Survey,Prionotus stephanophrys,Emily Markowtiz,emily.markowitz@noaa.gov,lumptail searobin,Encountered,31550
NMFS AFSC GAP Survey,Eumetopias jubatus,Emily Markowtiz,emily.markowitz@noaa.gov,Steller sea lion,Encountered,39100
NMFS AFSC GAP Survey,Cnidaria,Emily Markowtiz,emily.markowitz@noaa.gov,coelenterate unid.,Encountered,40001
NMFS AFSC GAP Survey,Campanulariidae,Emily Markowtiz,emily.markowitz@noaa.gov,campanulariid hydroid,Encountered,40008
NMFS AFSC GAP Survey,Plumulariidae,Emily Markowtiz,emily.markowitz@noaa.gov,plumulariid hydroids,Encountered,40009
NMFS AFSC GAP Survey,Hydrozoa,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,40010
NMFS AFSC GAP Survey,Hydroidolina,Emily Markowtiz,emily.markowitz@noaa.gov,hydroid unid.,Encountered,40011
NMFS AFSC GAP Survey,Bonneviella sp. A (Clark 2006),Emily Markowtiz,emily.markowitz@noaa.gov,champagne flute hydroid,Encountered,40012
NMFS AFSC GAP Survey,Bonneviella sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,40013
NMFS AFSC GAP Survey,NA,Emily Markowtiz,emily.markowitz@noaa.gov,pussywillow hydroid,Encountered,40015
NMFS AFSC GAP Survey,Ptychogena,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,40016
NMFS AFSC GAP Survey,Ptychogena lactea,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,40017
NMFS AFSC GAP Survey,Hydractinia sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,40020
NMFS AFSC GAP Survey,Aglaophenia sp.,Emily Markowtiz,emily.markowitz@noaa.gov,ostrich plume hydroid,Encountered,40028
NMFS AFSC GAP Survey,Abietinaria sp.,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,40034
NMFS AFSC GAP Survey,Amphisbetia greenei,Emily Markowtiz,emily.markowitz@noaa.gov,bushy white hydroid,Encountered,40035
NMFS AFSC GAP Survey,Abietinaria sp. A (Clark 2006),Emily Markowtiz,emily.markowitz@noaa.gov,white tangled hydroid,Encountered,40036
NMFS AFSC GAP Survey,Tubulariidae,Emily Markowtiz,emily.markowitz@noaa.gov,tubulariid hydroids,Encountered,40040
NMFS AFSC GAP Survey,Sertulariidae,Emily Markowtiz,emily.markowitz@noaa.gov,Sertulariid hydroid,Encountered,40049
NMFS AFSC GAP Survey,Sertularia robusta,Emily Markowtiz,emily.markowitz@noaa.gov,NA,Encountered,40050
