Project Requested,scientific_name,Point of Contact for Submission,Email,Common Name,Survey Type,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,species,Describer,Taxon
SCAMMIT List,SILICEA,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,SILICEA,,,,,,,,,,,,,,,,,,SILICEA
SCAMMIT List,Rhabditophora sp C,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,PLATYHELMINTHES,,,Rhabditophora,Trepaxonemata,,,uncertain,uncertain,,uncertain,uncertain,,,Rhabditophora,,sp C,(SCAMIT 2013 §),Rhabditophora sp C
SCAMMIT List,NEMERTEA,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,,,,,,,,,,,,,,,,NEMERTEA
SCAMMIT List,Anopla,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,,,,,,,,,,,,Anopla
SCAMMIT List,Archinemertea,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Archinemertea,,,,,,,,,,,Archinemertea
SCAMMIT List,Cephalotrichidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Archinemertea,,,,Cephalotrichidae,,,,,,,Cephalotrichidae
SCAMMIT List,Cephalothrix,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Archinemertea,,,,Cephalotrichidae,,,Cephalothrix,,,,Cephalothrix
SCAMMIT List,Cephalothrix sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Archinemertea,,,,Cephalotrichidae,,,Cephalothrix,,sp,,Cephalothrix sp
SCAMMIT List,Palaeonemertea,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,,,,,,,,Palaeonemertea
SCAMMIT List,Carinomidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Carinomidae,,,,,,,Carinomidae
SCAMMIT List,Carinoma sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Carinomidae,,,Carinoma,,,,Carinoma sp
SCAMMIT List,Carinoma mutabilis,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Carinomidae,,,Carinoma,,mutabilis,Griffin 1898,Carinoma mutabilis
SCAMMIT List,Carinomella sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Carinomidae,,,Carinomella,,,,Carinomella sp
SCAMMIT List,Carinomella lactea,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Carinomidae,,,Carinomella,,lactea,Coe 1905,Carinomella lactea
SCAMMIT List,Tubulanidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,,,,,Tubulanidae
SCAMMIT List,Tubulanus sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,,,Tubulanus sp
SCAMMIT List,Tubulanus albocinctus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,albocinctus,(Coe 1904),Tubulanus albocinctus
SCAMMIT List,Tubulanus capistratus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,capistratus,(Coe 1901),Tubulanus capistratus
SCAMMIT List,Tubulanus cingulatus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,cingulatus,(Coe 1904),Tubulanus cingulatus
SCAMMIT List,Tubulanus frenatus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,frenatus,(Coe 1904),Tubulanus frenatus
SCAMMIT List,Tubulanus polymorphus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,polymorphus,Renier 1804,Tubulanus polymorphus
SCAMMIT List,Tubulanus sp A,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,sp A,SCAMIT 2005 §,Tubulanus sp A
SCAMMIT List,Tubulanus sp SD1,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanus,,sp SD1,Pasko 2000 §,Tubulanus sp SD1
SCAMMIT List,Tubulanidae sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanidae,,,,Tubulanidae sp
SCAMMIT List,Tubulanidae sp A,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanidae,,sp A,SCAMIT 1995 §,Tubulanidae sp A
SCAMMIT List,Tubulanidae sp B,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanidae,,sp B,SCAMIT 2005 §,Tubulanidae sp B
SCAMMIT List,Tubulanidae sp C,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanidae,,sp C,SCAMIT 2005 §,Tubulanidae sp C
SCAMMIT List,Tubulanidae sp D,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanidae,,sp D,SCAMIT 2005 §,Tubulanidae sp D
SCAMMIT List,Tubulanidae sp E,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Tubulanidae,,,Tubulanidae,,sp E,SCAMIT 2005 §,Tubulanidae sp E
SCAMMIT List,Uncertain,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Uncertain,,,,,,,Uncertain
SCAMMIT List,Palaeonemertea sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Uncertain,,,Palaeonemertea,,,,Palaeonemertea sp
SCAMMIT List,Palaeonemertea sp OC1,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Uncertain,,,Palaeonemertea,,sp OC1,Pasko 2014 §,Palaeonemertea sp OC1
SCAMMIT List,Palaeonemertea sp SD2,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Palaeonemertea,,,,Uncertain,,,Palaeonemertea,,sp SD2,Lilly & Pasko 1998 §,Palaeonemertea sp SD2
SCAMMIT List,Heteronemertea,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,,,,,,,,Heteronemertea
SCAMMIT List,Lineidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,,,,,Lineidae
SCAMMIT List,Cerebratulus sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Cerebratulus,,,,Cerebratulus sp
SCAMMIT List,Cerebratulus albifrons,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Cerebratulus,,albifrons,Coe 1901,Cerebratulus albifrons
SCAMMIT List,Cerebratulus californiensis,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Cerebratulus,,californiensis,Coe 1905,Cerebratulus californiensis
SCAMMIT List,Cerebratulus lineolatus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Cerebratulus,,lineolatus,Coe 1905,Cerebratulus lineolatus
SCAMMIT List,Cerebratulus marginatus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Cerebratulus,,marginatus,Renier 1804,Cerebratulus marginatus
SCAMMIT List,Cerebratulus montgomeryi,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Cerebratulus,,montgomeryi,Coe 1901,Cerebratulus montgomeryi
SCAMMIT List,Euborlasia sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Euborlasia,,,,Euborlasia sp
SCAMMIT List,Euborlasia nigrocincta,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Euborlasia,,nigrocincta,Coe 1940,Euborlasia nigrocincta
SCAMMIT List,Lineidae sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Lineidae,,,,Lineidae sp
SCAMMIT List,Lineidae sp A,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Lineidae,,sp A,Paquette 1989 §,Lineidae sp A
SCAMMIT List,Lineidae sp HYP 1,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Lineidae,,sp HYP 1,SCAMIT 2007 §,Lineidae sp HYP 1
SCAMMIT List,Lineus sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Lineus,,,,Lineus sp
SCAMMIT List,Lineus bilineatus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Lineus,,bilineatus,(Renier 1804),Lineus bilineatus
SCAMMIT List,Lineus flavescens,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Lineus,,flavescens,Coe 1904,Lineus flavescens
SCAMMIT List,Lineus pictifrons,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Lineus,,pictifrons,Coe 1904,Lineus pictifrons
SCAMMIT List,Lineus rubescens,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Lineus,,rubescens,Coe 1904,Lineus rubescens
SCAMMIT List,Maculaura sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Maculaura,,,,Maculaura sp
SCAMMIT List,Maculaura alaskensis Cmplx,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Maculaura,,alaskensis Cmplx,,Maculaura alaskensis Cmplx
SCAMMIT List,Micrura sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Micrura,,,,Micrura sp
SCAMMIT List,Micrura coei,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Micrura,,coei,Gibson 1995,Micrura coei
SCAMMIT List,Micrura wilsoni,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Micrura,,wilsoni,(Coe 1904),Micrura wilsoni
SCAMMIT List,Ramphogordius sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Ramphogordius,,,,Ramphogordius sp
SCAMMIT List,Ramphogordius sanguineus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Ramphogordius,,sanguineus,(Rathke 1799),Ramphogordius sanguineus
SCAMMIT List,Zygeupolia sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Zygeupolia,,,,Zygeupolia sp
SCAMMIT List,Zygeupolia rubens,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Lineidae,,,Zygeupolia,,rubens,(Coe 1895),Zygeupolia rubens
SCAMMIT List,Valenciniidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Valenciniidae,,,,,,,Valenciniidae
SCAMMIT List,Baseodiscus sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Valenciniidae,,,Baseodiscus,,,,Baseodiscus sp
SCAMMIT List,Baseodiscus delineatus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Valenciniidae,,,Baseodiscus,,delineatus,(Delle Chiaje 1825),Baseodiscus delineatus
SCAMMIT List,Baseodiscus princeps,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Valenciniidae,,,Baseodiscus,,princeps,(Coe 1901),Baseodiscus princeps
SCAMMIT List,Baseodiscus punnetti,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,Valenciniidae,,,Baseodiscus,,punnetti,(Coe 1904),Baseodiscus punnetti
SCAMMIT List,Heteronemertea family uncertain,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,uncertain,,,,,,,Heteronemertea family uncertain
SCAMMIT List,Heteronemertea sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,uncertain,,,Heteronemertea,,,,Heteronemertea sp
SCAMMIT List,Heteronemertea sp HYP1,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,uncertain,,,Heteronemertea,,sp HYP1,Phillips 2006 §,Heteronemertea sp HYP1
SCAMMIT List,Heteronemertea sp HYP2,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,uncertain,,,Heteronemertea,,sp HYP2,Pasko 2014 §,Heteronemertea sp HYP2
SCAMMIT List,Heteronemertea sp LAH1,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,uncertain,,,Heteronemertea,,sp LAH1,Pasko 2014 §,Heteronemertea sp LAH1
SCAMMIT List,Heteronemertea sp SD2,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,Heteronemertea,,,,uncertain,,,Heteronemertea,,sp SD2,Lilly 2006 §,Heteronemertea sp SD2
SCAMMIT List,Anopla order uncertain,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,uncertain,,,,,,,,,,,Anopla order uncertain
SCAMMIT List,Anopla family uncertain,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,uncertain,,,,uncertain,,,,,,,Anopla family uncertain
SCAMMIT List,Anopla sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,uncertain,,,,uncertain,,,Anopla,,,,Anopla sp
SCAMMIT List,Anopla sp C,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Anopla,,,,uncertain,,,,uncertain,,,Anopla,,sp C,SCAMIT 1995 §,Anopla sp C
SCAMMIT List,Enopla,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,,,,,,,,,,,,,,,Enopla
SCAMMIT List,Hoplonemertea,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,Hoplonemertea,,,,,,,,,,,,,,Hoplonemertea
SCAMMIT List,Monostilifera,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,Hoplonemertea,,,Monostilifera,,,,,,,,,,,Monostilifera
SCAMMIT List,Cratenemertea,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,Hoplonemertea,,,Monostilifera,Cratenemertea,,,,,,,,,,Cratenemertea
SCAMMIT List,Cratenemertidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,Hoplonemertea,,,Monostilifera,Cratenemertea,,,Cratenemertidae,,,,,,,Cratenemertidae
SCAMMIT List,Nipponnemertes sp,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,Hoplonemertea,,,Monostilifera,Cratenemertea,,,Cratenemertidae,,,Nipponnemertes,,,,Nipponnemertes sp
SCAMMIT List,Nipponnemertes pacificus,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,Hoplonemertea,,,Monostilifera,Cratenemertea,,,Cratenemertidae,,,Nipponnemertes,,pacificus,(Coe 1905),Nipponnemertes pacificus
SCAMMIT List,Nipponnemertes punctatula,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,Hoplonemertea,,,Monostilifera,Cratenemertea,,,Cratenemertidae,,,Nipponnemertes,,punctatula,(Coe 1905),Nipponnemertes punctatula
SCAMMIT List,Nipponnemertes rubella,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,Hoplonemertea,,,Monostilifera,Cratenemertea,,,Cratenemertidae,,,Nipponnemertes,,rubella,(Coe 1905),Nipponnemertes rubella
SCAMMIT List,Eumonostilifera,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,Hoplonemertea,,,Monostilifera,Eumonostilifera,,,,,,,,,,Eumonostilifera
SCAMMIT List,Carcinonemertidae,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,Hoplonemertea,,,Monostilifera,Eumonostilifera,,,Carcinonemertidae,,,,,,,Carcinonemertidae
SCAMMIT List,Carcinonemertes,Donald B. Cadien | Kelvin L. Barwick | Brent M. Haggin,dcadien@lacsd.org | scoletoma@gmail.com | bhaggin@lacsd.org,,Monitored,NEMERTEA,,,Enopla,Hoplonemertea,,,Monostilifera,Eumonostilifera,,,Carcinonemertidae,,,Carcinonemertes,,,,Carcinonemertes
