Project Request,Scientific Name,Point of Contact for Submission,Email,ITIS TSN,ITIS accepted Taxon
CalCOFI Ichthyoplankton,Leptocottus armatus,Ed Weber,ed.weber@noaa.gov,167302,Leptocottus armatus
CalCOFI Ichthyoplankton,Lestidiops,Ed Weber,ed.weber@noaa.gov,162476,Lestidiops
CalCOFI Ichthyoplankton,Lestidiops ringens,Ed Weber,ed.weber@noaa.gov,644717,Lestidiops ringens
CalCOFI Ichthyoplankton,Leuresthes tenuis,Ed Weber,ed.weber@noaa.gov,166014,Leuresthes tenuis
CalCOFI Ichthyoplankton,Leuroglossus stilbius,Ed Weber,ed.weber@noaa.gov,162096,Leuroglossus stilbius
CalCOFI Ichthyoplankton,Liparis,Ed Weber,ed.weber@noaa.gov,167550,Liparis
CalCOFI Ichthyoplankton,Liparis florae,Ed Weber,ed.weber@noaa.gov,167559,Liparis florae
CalCOFI Ichthyoplankton,Liparis fucensis,Ed Weber,ed.weber@noaa.gov,167560,Liparis fucensis
CalCOFI Ichthyoplankton,Liparis mucosus,Ed Weber,ed.weber@noaa.gov,167570,Liparis mucosus
CalCOFI Ichthyoplankton,Lipolagus ochotensis,Ed Weber,ed.weber@noaa.gov,623625,Lipolagus ochotensis
CalCOFI Ichthyoplankton,Lobianchia gemellarii,Ed Weber,ed.weber@noaa.gov,623876,Lobianchia gemellarii
CalCOFI Ichthyoplankton,Loweina rara,Ed Weber,ed.weber@noaa.gov,162717,Loweina rara
CalCOFI Ichthyoplankton,Lyopsetta exilis,Ed Weber,ed.weber@noaa.gov,172871,Lyopsetta exilis
CalCOFI Ichthyoplankton,Lythrypnus,Ed Weber,ed.weber@noaa.gov,171898,Lythrypnus
CalCOFI Ichthyoplankton,Lythrypnus dalli,Ed Weber,ed.weber@noaa.gov,171899,Lythrypnus dalli
CalCOFI Ichthyoplankton,Lythrypnus zebra,Ed Weber,ed.weber@noaa.gov,171903,Lythrypnus zebra
CalCOFI Ichthyoplankton,Macropinna microstoma,Ed Weber,ed.weber@noaa.gov,162101,Macropinna microstoma
CalCOFI Ichthyoplankton,Macroramphosus gracilis,Ed Weber,ed.weber@noaa.gov,551496,Macroramphosus gracilis
CalCOFI Ichthyoplankton,Macrouridae,Ed Weber,ed.weber@noaa.gov,165332,Macrouridae
CalCOFI Ichthyoplankton,Magnisudis atlantica,Ed Weber,ed.weber@noaa.gov,644691,Magnisudis atlantica
CalCOFI Ichthyoplankton,Medialuna californiensis,Ed Weber,ed.weber@noaa.gov,169522,Medialuna californiensis
CalCOFI Ichthyoplankton,Melamphaes,Ed Weber,ed.weber@noaa.gov,166093,Melamphaes
CalCOFI Ichthyoplankton,Melamphaes lugubris,Ed Weber,ed.weber@noaa.gov,166094,Melamphaes lugubris
CalCOFI Ichthyoplankton,Melamphaes parvus,Ed Weber,ed.weber@noaa.gov,649666,Melamphaes parvus
CalCOFI Ichthyoplankton,Melamphaes simus,Ed Weber,ed.weber@noaa.gov,166103,Melamphaes simus
CalCOFI Ichthyoplankton,Melamphaidae,Ed Weber,ed.weber@noaa.gov,166092,Melamphaidae
CalCOFI Ichthyoplankton,Melanostomiinae,Ed Weber,ed.weber@noaa.gov,622318,Melanostomiinae
CalCOFI Ichthyoplankton,Menticirrhus undulatus,Ed Weber,ed.weber@noaa.gov,169280,Menticirrhus undulatus
CalCOFI Ichthyoplankton,Merlucciidae,Ed Weber,ed.weber@noaa.gov,164789,Merlucciidae
CalCOFI Ichthyoplankton,Merluccius productus,Ed Weber,ed.weber@noaa.gov,164792,Merluccius productus
CalCOFI Ichthyoplankton,Mesobius berryi,Ed Weber,ed.weber@noaa.gov,623139,Mesobius berryi
CalCOFI Ichthyoplankton,Microstoma,Ed Weber,ed.weber@noaa.gov,162093,Microstoma
CalCOFI Ichthyoplankton,Microstomus pacificus,Ed Weber,ed.weber@noaa.gov,172887,Microstomus pacificus
CalCOFI Ichthyoplankton,Mirapinnidae,Ed Weber,ed.weber@noaa.gov,162809,Mirapinnidae
CalCOFI Ichthyoplankton,Moroteuthis,Ed Weber,ed.weber@noaa.gov,82437,Moroteuthis
CalCOFI Ichthyoplankton,Mugil cephalus,Ed Weber,ed.weber@noaa.gov,170335,Mugil cephalus
CalCOFI Ichthyoplankton,Mullidae,Ed Weber,ed.weber@noaa.gov,169406,Mullidae
CalCOFI Ichthyoplankton,Myctophidae,Ed Weber,ed.weber@noaa.gov,162575,Myctophidae
CalCOFI Ichthyoplankton,Myctophum,Ed Weber,ed.weber@noaa.gov,162719,Myctophum
CalCOFI Ichthyoplankton,Myctophum lychnobium,Ed Weber,ed.weber@noaa.gov,623845,Myctophum lychnobium
CalCOFI Ichthyoplankton,Myctophum nitidulum,Ed Weber,ed.weber@noaa.gov,162726,Myctophum nitidulum
CalCOFI Ichthyoplankton,Myctophum selenops,Ed Weber,ed.weber@noaa.gov,162724,Myctophum selenops
CalCOFI Ichthyoplankton,Nannobrachium,Ed Weber,ed.weber@noaa.gov,623699,Nannobrachium
CalCOFI Ichthyoplankton,Nannobrachium bristori,Ed Weber,ed.weber@noaa.gov,623849,Nannobrachium bristori
CalCOFI Ichthyoplankton,Nannobrachium hawaiiensis,Ed Weber,ed.weber@noaa.gov,623853,Nannobrachium hawaiiensis
CalCOFI Ichthyoplankton,Nannobrachium idostigma,Ed Weber,ed.weber@noaa.gov,623743,Nannobrachium idostigma
CalCOFI Ichthyoplankton,Nannobrachium regale,Ed Weber,ed.weber@noaa.gov,623744,Nannobrachium regale
CalCOFI Ichthyoplankton,Nannobrachium ritteri,Ed Weber,ed.weber@noaa.gov,623745,Nannobrachium ritteri
CalCOFI Ichthyoplankton,Nansenia,Ed Weber,ed.weber@noaa.gov,162058,Nansenia
CalCOFI Ichthyoplankton,Nansenia candida,Ed Weber,ed.weber@noaa.gov,162059,Nansenia candida
CalCOFI Ichthyoplankton,Nansenia crassa,Ed Weber,ed.weber@noaa.gov,623630,Nansenia crassa
CalCOFI Ichthyoplankton,Nealotus tripes,Ed Weber,ed.weber@noaa.gov,172368,Nealotus tripes
CalCOFI Ichthyoplankton,Nemichthys scolopaceus,Ed Weber,ed.weber@noaa.gov,161624,Nemichthys scolopaceus
CalCOFI Ichthyoplankton,Neoclinus,Ed Weber,ed.weber@noaa.gov,171477,Neoclinus
CalCOFI Ichthyoplankton,Neoclinus blanchardi,Ed Weber,ed.weber@noaa.gov,171478,Neoclinus blanchardi
CalCOFI Ichthyoplankton,Neoclinus stephensae,Ed Weber,ed.weber@noaa.gov,171479,Neoclinus stephensae
CalCOFI Ichthyoplankton,Nezumia,Ed Weber,ed.weber@noaa.gov,165393,Nezumia
CalCOFI Ichthyoplankton,Nomeidae,Ed Weber,ed.weber@noaa.gov,172535,Nomeidae
CalCOFI Ichthyoplankton,Notolychnus valdiviae,Ed Weber,ed.weber@noaa.gov,162729,Notolychnus valdiviae
CalCOFI Ichthyoplankton,Notoscopelus resplendens,Ed Weber,ed.weber@noaa.gov,162654,Notoscopelus resplendens
CalCOFI Ichthyoplankton,Octopodidae,Ed Weber,ed.weber@noaa.gov,82590,Octopodidae
CalCOFI Ichthyoplankton,Octopoteuthidae,Ed Weber,ed.weber@noaa.gov,82431,Octopoteuthidae
CalCOFI Ichthyoplankton,Octopoteuthis,Ed Weber,ed.weber@noaa.gov,82432,Octopoteuthis
CalCOFI Ichthyoplankton,Octopoteuthis deletron,Ed Weber,ed.weber@noaa.gov,556640,Octopoteuthis deletron
CalCOFI Ichthyoplankton,Octopus,Ed Weber,ed.weber@noaa.gov,82595,Octopus
CalCOFI Ichthyoplankton,Ocythoe tuberculata,Ed Weber,ed.weber@noaa.gov,82678,Ocythoe tuberculata
CalCOFI Ichthyoplankton,Odontopyxis trispinosa,Ed Weber,ed.weber@noaa.gov,167460,Odontopyxis trispinosa
CalCOFI Ichthyoplankton,Ogcocephalioidei,Ed Weber,ed.weber@noaa.gov,553153,Ogcocephalioidei
CalCOFI Ichthyoplankton,Oligocottus,Ed Weber,ed.weber@noaa.gov,167332,Oligocottus
CalCOFI Ichthyoplankton,Oligocottus maculosus,Ed Weber,ed.weber@noaa.gov,167333,Oligocottus maculosus
CalCOFI Ichthyoplankton,Ommastrephidae,Ed Weber,ed.weber@noaa.gov,82514,Ommastrephidae
CalCOFI Ichthyoplankton,Oneirodes,Ed Weber,ed.weber@noaa.gov,164629,Oneirodes
CalCOFI Ichthyoplankton,Oneirodidae,Ed Weber,ed.weber@noaa.gov,164625,Oneirodidae
CalCOFI Ichthyoplankton,Onychoteuthidae,Ed Weber,ed.weber@noaa.gov,82436,Onychoteuthidae
CalCOFI Ichthyoplankton,Onychoteuthis borealijaponicus,Ed Weber,ed.weber@noaa.gov,82442,Onychoteuthis borealijaponicus
CalCOFI Ichthyoplankton,Onychoteuthis sp B,Ed Weber,ed.weber@noaa.gov,82439,Onychoteuthis
CalCOFI Ichthyoplankton,Onykia robusta,Ed Weber,ed.weber@noaa.gov,82438,Moroteuthis robusta
CalCOFI Ichthyoplankton,Ophichthus zophochir,Ed Weber,ed.weber@noaa.gov,161469,Ophichthus zophochir
CalCOFI Ichthyoplankton,Ophidiidae,Ed Weber,ed.weber@noaa.gov,164807,Ophidiidae
CalCOFI Ichthyoplankton,Ophidiiformes,Ed Weber,ed.weber@noaa.gov,553139,Ophidiiformes
CalCOFI Ichthyoplankton,Ophidion scrippsae,Ed Weber,ed.weber@noaa.gov,164856,Ophidion scrippsae
CalCOFI Ichthyoplankton,Ophiodon elongatus,Ed Weber,ed.weber@noaa.gov,167116,Ophiodon elongatus
CalCOFI Ichthyoplankton,Orthonopias triacis,Ed Weber,ed.weber@noaa.gov,167388,Orthonopias triacis
CalCOFI Ichthyoplankton,Osmeridae,Ed Weber,ed.weber@noaa.gov,162028,Osmeridae
CalCOFI Ichthyoplankton,Oxyjulis californica,Ed Weber,ed.weber@noaa.gov,170597,Oxyjulis californica
CalCOFI Ichthyoplankton,Oxylebius pictus,Ed Weber,ed.weber@noaa.gov,167118,Oxylebius pictus
CalCOFI Ichthyoplankton,Palinuridae,Ed Weber,ed.weber@noaa.gov,97646,Palinuridae
CalCOFI Ichthyoplankton,Paraclinus integripinnis,Ed Weber,ed.weber@noaa.gov,171432,Paraclinus integripinnis
CalCOFI Ichthyoplankton,Paralabrax,Ed Weber,ed.weber@noaa.gov,167830,Paralabrax
CalCOFI Ichthyoplankton,Paralabrax clathratus,Ed Weber,ed.weber@noaa.gov,167832,Paralabrax clathratus
CalCOFI Ichthyoplankton,Paralabrax nebulifer,Ed Weber,ed.weber@noaa.gov,167834,Paralabrax nebulifer
CalCOFI Ichthyoplankton,Paralepididae,Ed Weber,ed.weber@noaa.gov,162463,Paralepididae
CalCOFI Ichthyoplankton,Paralichthyidae,Ed Weber,ed.weber@noaa.gov,553179,Paralichthyidae
CalCOFI Ichthyoplankton,Paralichthys,Ed Weber,ed.weber@noaa.gov,172734,Paralichthys
CalCOFI Ichthyoplankton,Paralichthys californicus,Ed Weber,ed.weber@noaa.gov,172743,Paralichthys californicus
CalCOFI Ichthyoplankton,Paricelinus hopliticus,Ed Weber,ed.weber@noaa.gov,167338,Paricelinus hopliticus
CalCOFI Ichthyoplankton,Parophrys vetulus,Ed Weber,ed.weber@noaa.gov,172921,Parophrys vetulus
CalCOFI Ichthyoplankton,Parvilux ingens,Ed Weber,ed.weber@noaa.gov,162771,Parvilux ingens
CalCOFI Ichthyoplankton,Peprilus simillimus,Ed Weber,ed.weber@noaa.gov,172565,Peprilus simillimus
CalCOFI Ichthyoplankton,Perciformes,Ed Weber,ed.weber@noaa.gov,167640,Perciformes
CalCOFI Ichthyoplankton,Perissias taeniopterus,Ed Weber,ed.weber@noaa.gov,616165,Perissias taeniopterus
CalCOFI Ichthyoplankton,Pholidae,Ed Weber,ed.weber@noaa.gov,171632,Pholidae
CalCOFI Ichthyoplankton,Photonectes,Ed Weber,ed.weber@noaa.gov,162295,Photonectes
CalCOFI Ichthyoplankton,Physiculus,Ed Weber,ed.weber@noaa.gov,164678,Physiculus
CalCOFI Ichthyoplankton,Physiculus rastrelliger,Ed Weber,ed.weber@noaa.gov,164681,Physiculus rastrelliger
CalCOFI Ichthyoplankton,Platichthys stellatus,Ed Weber,ed.weber@noaa.gov,172893,Platichthys stellatus
CalCOFI Ichthyoplankton,Plectobranchus evides,Ed Weber,ed.weber@noaa.gov,171592,Plectobranchus evides
CalCOFI Ichthyoplankton,Pleuronectidae,Ed Weber,ed.weber@noaa.gov,172859,Pleuronectidae
CalCOFI Ichthyoplankton,Pleuronectiformes,Ed Weber,ed.weber@noaa.gov,172702,Pleuronectiformes
CalCOFI Ichthyoplankton,Pleuronichthys,Ed Weber,ed.weber@noaa.gov,172922,Pleuronichthys
CalCOFI Ichthyoplankton,Pleuronichthys coenosus,Ed Weber,ed.weber@noaa.gov,172923,Pleuronichthys coenosus
CalCOFI Ichthyoplankton,Pleuronichthys decurrens,Ed Weber,ed.weber@noaa.gov,172924,Pleuronichthys decurrens
CalCOFI Ichthyoplankton,Pleuronichthys ritteri,Ed Weber,ed.weber@noaa.gov,172925,Pleuronichthys ritteri
CalCOFI Ichthyoplankton,Pleuronichthys verticalis,Ed Weber,ed.weber@noaa.gov,172926,Pleuronichthys verticalis
CalCOFI Ichthyoplankton,Pomacentridae,Ed Weber,ed.weber@noaa.gov,170044,Pomacentridae
CalCOFI Ichthyoplankton,Poromitra,Ed Weber,ed.weber@noaa.gov,166107,Poromitra
CalCOFI Ichthyoplankton,Poromitra crassiceps,Ed Weber,ed.weber@noaa.gov,166108,Poromitra crassiceps
CalCOFI Ichthyoplankton,Poromitra megalops,Ed Weber,ed.weber@noaa.gov,166110,Poromitra megalops
CalCOFI Ichthyoplankton,Protomyctophum,Ed Weber,ed.weber@noaa.gov,162684,Protomyctophum
CalCOFI Ichthyoplankton,Protomyctophum crockeri,Ed Weber,ed.weber@noaa.gov,162685,Protomyctophum crockeri
CalCOFI Ichthyoplankton,Protomyctophum thompsoni,Ed Weber,ed.weber@noaa.gov,162687,Protomyctophum thompsoni
CalCOFI Ichthyoplankton,Psenes pellucidus,Ed Weber,ed.weber@noaa.gov,172558,Psenes pellucidus
CalCOFI Ichthyoplankton,Psettichthys melanostictus,Ed Weber,ed.weber@noaa.gov,172928,Psettichthys melanostictus
CalCOFI Ichthyoplankton,Pseudobathylagus milleri,Ed Weber,ed.weber@noaa.gov,623626,Pseudobathylagus milleri
CalCOFI Ichthyoplankton,Pteraclis aesticola,Ed Weber,ed.weber@noaa.gov,170309,Pteraclis aesticola
CalCOFI Ichthyoplankton,Pterygioteuthis,Ed Weber,ed.weber@noaa.gov,82404,Pterygioteuthis
CalCOFI Ichthyoplankton,Pterygioteuthis gemmata,Ed Weber,ed.weber@noaa.gov,556078,Pterygioteuthis gemmata
CalCOFI Ichthyoplankton,Pterygioteuthis giardi,Ed Weber,ed.weber@noaa.gov,82405,Pterygioteuthis giardi
CalCOFI Ichthyoplankton,Pyroteuthidae,Ed Weber,ed.weber@noaa.gov,555715,Pyroteuthidae
CalCOFI Ichthyoplankton,Pyroteuthis,Ed Weber,ed.weber@noaa.gov,555803,Pyroteuthis
CalCOFI Ichthyoplankton,Pyroteuthis addolux,Ed Weber,ed.weber@noaa.gov,556639,Pyroteuthis addolux
CalCOFI Ichthyoplankton,Quietula y-cauda,Ed Weber,ed.weber@noaa.gov,171910,Quietula y-cauda
CalCOFI Ichthyoplankton,Radiicephalus elongatus,Ed Weber,ed.weber@noaa.gov,615910,Radiicephalus elongatus
CalCOFI Ichthyoplankton,Radulinus asprellus,Ed Weber,ed.weber@noaa.gov,167347,Radulinus asprellus
CalCOFI Ichthyoplankton,Rathbunella,Ed Weber,ed.weber@noaa.gov,170952,Rathbunella
CalCOFI Ichthyoplankton,Rathbunella alleni,Ed Weber,ed.weber@noaa.gov,170953,Rathbunella alleni
CalCOFI Ichthyoplankton,Rhinogobiops nicholsii,Ed Weber,ed.weber@noaa.gov,636877,Rhinogobiops nicholsii
CalCOFI Ichthyoplankton,Roncador stearnsii,Ed Weber,ed.weber@noaa.gov,646515,Roncador stearnsii
CalCOFI Ichthyoplankton,Ronquilus jordani,Ed Weber,ed.weber@noaa.gov,170951,Ronquilus jordani
CalCOFI Ichthyoplankton,Rosenblattichthys volucris,Ed Weber,ed.weber@noaa.gov,644711,Rosenblattichthys volucris
CalCOFI Ichthyoplankton,Ruscarius creaseri,Ed Weber,ed.weber@noaa.gov,167422,Ruscarius creaseri
CalCOFI Ichthyoplankton,Ruscarius meanyi,Ed Weber,ed.weber@noaa.gov,167424,Ruscarius meanyi
CalCOFI Ichthyoplankton,Ruvettus pretiosus,Ed Weber,ed.weber@noaa.gov,172364,Ruvettus pretiosus
CalCOFI Ichthyoplankton,Saccopharynx lavenbergi,Ed Weber,ed.weber@noaa.gov,635769,Saccopharynx lavenbergi
CalCOFI Ichthyoplankton,Sagamichthys abei,Ed Weber,ed.weber@noaa.gov,162305,Sagamichthys abei
CalCOFI Ichthyoplankton,Sarda chiliensis,Ed Weber,ed.weber@noaa.gov,172408,Sarda chiliensis
CalCOFI Ichthyoplankton,Sardinops sagax,Ed Weber,ed.weber@noaa.gov,161729,Sardinops sagax
CalCOFI Ichthyoplankton,Sciaenidae,Ed Weber,ed.weber@noaa.gov,169237,Sciaenidae
CalCOFI Ichthyoplankton,Scomber japonicus,Ed Weber,ed.weber@noaa.gov,172412,Scomber japonicus
CalCOFI Ichthyoplankton,Scombridae,Ed Weber,ed.weber@noaa.gov,172398,Scombridae
CalCOFI Ichthyoplankton,Scopelarchidae,Ed Weber,ed.weber@noaa.gov,162548,Scopelarchidae
CalCOFI Ichthyoplankton,Scopelarchoides nicholsi,Ed Weber,ed.weber@noaa.gov,644696,Scopelarchoides nicholsi
CalCOFI Ichthyoplankton,Scopelarchus,Ed Weber,ed.weber@noaa.gov,162553,Scopelarchus
CalCOFI Ichthyoplankton,Scopelarchus analis,Ed Weber,ed.weber@noaa.gov,162555,Scopelarchus analis
CalCOFI Ichthyoplankton,Scopelarchus guentheri,Ed Weber,ed.weber@noaa.gov,162561,Scopelarchus guentheri
CalCOFI Ichthyoplankton,Scopeloberyx robustus,Ed Weber,ed.weber@noaa.gov,182909,Scopeloberyx robustus
CalCOFI Ichthyoplankton,Scopelogadus mizolepis bispinosus,Ed Weber,ed.weber@noaa.gov,182911,Scopelogadus mizolepis bispinosus
CalCOFI Ichthyoplankton,Scopelosaurus,Ed Weber,ed.weber@noaa.gov,162565,Scopelosaurus
CalCOFI Ichthyoplankton,Scorpaena,Ed Weber,ed.weber@noaa.gov,166811,Scorpaena
CalCOFI Ichthyoplankton,Scorpaena guttata,Ed Weber,ed.weber@noaa.gov,166827,Scorpaena guttata
CalCOFI Ichthyoplankton,Scorpaenichthys marmoratus,Ed Weber,ed.weber@noaa.gov,692068,Scorpaenichthys marmoratus
CalCOFI Ichthyoplankton,Scorpaenidae,Ed Weber,ed.weber@noaa.gov,166704,Scorpaenidae
CalCOFI Ichthyoplankton,Scorpaenodes xyris,Ed Weber,ed.weber@noaa.gov,166864,Scorpaenodes xyris
CalCOFI Ichthyoplankton,Sebastes,Ed Weber,ed.weber@noaa.gov,166705,Sebastes
CalCOFI Ichthyoplankton,Sebastes auriculatus,Ed Weber,ed.weber@noaa.gov,166708,Sebastes auriculatus
CalCOFI Ichthyoplankton,Sebastes aurora,Ed Weber,ed.weber@noaa.gov,166709,Sebastes aurora
CalCOFI Ichthyoplankton,Sebastes caurinus,Ed Weber,ed.weber@noaa.gov,166713,Sebastes caurinus
CalCOFI Ichthyoplankton,Sebastes chlorostictus,Ed Weber,ed.weber@noaa.gov,166748,Sebastes chlorostictus
CalCOFI Ichthyoplankton,Sebastes constellatus,Ed Weber,ed.weber@noaa.gov,166749,Sebastes constellatus
CalCOFI Ichthyoplankton,Sebastes crameri,Ed Weber,ed.weber@noaa.gov,166715,Sebastes crameri
CalCOFI Ichthyoplankton,Sebastes crocotulus,Ed Weber,ed.weber@noaa.gov,166705,Sebastes
CalCOFI Ichthyoplankton,Sebastes dallii,Ed Weber,ed.weber@noaa.gov,644576,Sebastes dallii
CalCOFI Ichthyoplankton,Sebastes diploproa,Ed Weber,ed.weber@noaa.gov,166716,Sebastes diploproa
CalCOFI Ichthyoplankton,Sebastes elongatus,Ed Weber,ed.weber@noaa.gov,166717,Sebastes elongatus
CalCOFI Ichthyoplankton,Sebastes ensifer,Ed Weber,ed.weber@noaa.gov,166768,Sebastes ensifer
CalCOFI Ichthyoplankton,Sebastes entomelas,Ed Weber,ed.weber@noaa.gov,166719,Sebastes entomelas
CalCOFI Ichthyoplankton,Sebastes flavidus,Ed Weber,ed.weber@noaa.gov,166720,Sebastes flavidus
CalCOFI Ichthyoplankton,Sebastes gilli,Ed Weber,ed.weber@noaa.gov,166752,Sebastes gilli
CalCOFI Ichthyoplankton,Sebastes goodei,Ed Weber,ed.weber@noaa.gov,166722,Sebastes goodei
CalCOFI Ichthyoplankton,Sebastes helvomaculatus,Ed Weber,ed.weber@noaa.gov,166723,Sebastes helvomaculatus
CalCOFI Ichthyoplankton,Sebastes hopkinsi,Ed Weber,ed.weber@noaa.gov,166753,Sebastes hopkinsi
CalCOFI Ichthyoplankton,Sebastes jordani,Ed Weber,ed.weber@noaa.gov,166725,Sebastes jordani
CalCOFI Ichthyoplankton,Sebastes levis,Ed Weber,ed.weber@noaa.gov,166754,Sebastes levis
CalCOFI Ichthyoplankton,Sebastes macdonaldi,Ed Weber,ed.weber@noaa.gov,166755,Sebastes macdonaldi
CalCOFI Ichthyoplankton,Sebastes melanostomus,Ed Weber,ed.weber@noaa.gov,166728,Sebastes melanostomus
CalCOFI Ichthyoplankton,Sebastes miniatus,Ed Weber,ed.weber@noaa.gov,166729,Sebastes miniatus
CalCOFI Ichthyoplankton,Sebastes moseri,Ed Weber,ed.weber@noaa.gov,644590,Sebastes moseri
CalCOFI Ichthyoplankton,Sebastes mystinus,Ed Weber,ed.weber@noaa.gov,166730,Sebastes mystinus
CalCOFI Ichthyoplankton,Sebastes ovalis,Ed Weber,ed.weber@noaa.gov,166757,Sebastes ovalis
CalCOFI Ichthyoplankton,Sebastes paucispinis,Ed Weber,ed.weber@noaa.gov,166733,Sebastes paucispinis
CalCOFI Ichthyoplankton,Sebastes rastrelliger,Ed Weber,ed.weber@noaa.gov,166759,Sebastes rastrelliger
CalCOFI Ichthyoplankton,Sebastes rosaceus,Ed Weber,ed.weber@noaa.gov,166738,Sebastes rosaceus
CalCOFI Ichthyoplankton,Sebastes rosenblatti,Ed Weber,ed.weber@noaa.gov,166771,Sebastes rosenblatti
CalCOFI Ichthyoplankton,Sebastes ruberrimus,Ed Weber,ed.weber@noaa.gov,166740,Sebastes ruberrimus
CalCOFI Ichthyoplankton,Sebastes rubrivinctus,Ed Weber,ed.weber@noaa.gov,166760,Sebastes rubrivinctus
CalCOFI Ichthyoplankton,Sebastes rufinanus,Ed Weber,ed.weber@noaa.gov,166772,Sebastes rufinanus
CalCOFI Ichthyoplankton,Sebastes rufus,Ed Weber,ed.weber@noaa.gov,166761,Sebastes rufus
CalCOFI Ichthyoplankton,Sebastes saxicola,Ed Weber,ed.weber@noaa.gov,166741,Sebastes saxicola
CalCOFI Ichthyoplankton,Sebastes semicinctus,Ed Weber,ed.weber@noaa.gov,166762,Sebastes semicinctus
CalCOFI Ichthyoplankton,Sebastes serranoides,Ed Weber,ed.weber@noaa.gov,166763,Sebastes serranoides
CalCOFI Ichthyoplankton,Sebastes simulator,Ed Weber,ed.weber@noaa.gov,166770,Sebastes simulator
CalCOFI Ichthyoplankton,Sebastes wilsoni,Ed Weber,ed.weber@noaa.gov,166743,Sebastes wilsoni
CalCOFI Ichthyoplankton,Sebastolobus,Ed Weber,ed.weber@noaa.gov,166782,Sebastolobus
CalCOFI Ichthyoplankton,Sebastolobus alascanus,Ed Weber,ed.weber@noaa.gov,166783,Sebastolobus alascanus
CalCOFI Ichthyoplankton,Sebastolobus altivelis,Ed Weber,ed.weber@noaa.gov,166784,Sebastolobus altivelis
CalCOFI Ichthyoplankton,Semicossyphus pulcher,Ed Weber,ed.weber@noaa.gov,170744,Semicossyphus pulcher
CalCOFI Ichthyoplankton,Seriola lalandi,Ed Weber,ed.weber@noaa.gov,168695,Seriola lalandi
CalCOFI Ichthyoplankton,Seriphus politus,Ed Weber,ed.weber@noaa.gov,169362,Seriphus politus
CalCOFI Ichthyoplankton,Serranidae,Ed Weber,ed.weber@noaa.gov,167674,Serranidae
CalCOFI Ichthyoplankton,Sigmops ebelingi,Ed Weber,ed.weber@noaa.gov,622492,Sigmops ebelingi
CalCOFI Ichthyoplankton,Spectrunculus grandis,Ed Weber,ed.weber@noaa.gov,622862,Spectrunculus grandis
CalCOFI Ichthyoplankton,Sphyraena argentea,Ed Weber,ed.weber@noaa.gov,170426,Sphyraena argentea
CalCOFI Ichthyoplankton,Stemonosudis macrura,Ed Weber,ed.weber@noaa.gov,644731,Stemonosudis macrura
CalCOFI Ichthyoplankton,Stenobrachius leucopsarus,Ed Weber,ed.weber@noaa.gov,162664,Stenobrachius leucopsarus
CalCOFI Ichthyoplankton,Sternoptychidae,Ed Weber,ed.weber@noaa.gov,162212,Sternoptychidae
CalCOFI Ichthyoplankton,Sternoptyx,Ed Weber,ed.weber@noaa.gov,162226,Sternoptyx
CalCOFI Ichthyoplankton,Stichaeidae,Ed Weber,ed.weber@noaa.gov,171554,Stichaeidae
CalCOFI Ichthyoplankton,Stomias,Ed Weber,ed.weber@noaa.gov,162286,Stomias
CalCOFI Ichthyoplankton,Stomias atriventer,Ed Weber,ed.weber@noaa.gov,162290,Stomias atriventer
CalCOFI Ichthyoplankton,Stomiidae,Ed Weber,ed.weber@noaa.gov,162282,Stomiidae
CalCOFI Ichthyoplankton,Stomiiformes,Ed Weber,ed.weber@noaa.gov,553138,Stomiiformes
CalCOFI Ichthyoplankton,Stomiinae,Ed Weber,ed.weber@noaa.gov,622317,Stomiinae
CalCOFI Ichthyoplankton,Strongylura exilis,Ed Weber,ed.weber@noaa.gov,165555,Strongylura exilis
CalCOFI Ichthyoplankton,Sudis atrox,Ed Weber,ed.weber@noaa.gov,162505,Sudis atrox
CalCOFI Ichthyoplankton,Symbolophorus californiensis,Ed Weber,ed.weber@noaa.gov,623871,Symbolophorus californiensis
CalCOFI Ichthyoplankton,Symbolophorus evermanni,Ed Weber,ed.weber@noaa.gov,162671,Symbolophorus evermanni
CalCOFI Ichthyoplankton,Symphurus atricaudus,Ed Weber,ed.weber@noaa.gov,616607,Symphurus atricaudus
CalCOFI Ichthyoplankton,Synchirus gilli,Ed Weber,ed.weber@noaa.gov,167365,Synchirus gilli
CalCOFI Ichthyoplankton,Syngnathidae,Ed Weber,ed.weber@noaa.gov,166443,Syngnathidae
CalCOFI Ichthyoplankton,Syngnathus,Ed Weber,ed.weber@noaa.gov,166444,Syngnathus
CalCOFI Ichthyoplankton,Syngnathus californiensis,Ed Weber,ed.weber@noaa.gov,166457,Syngnathus californiensis
CalCOFI Ichthyoplankton,Syngnathus leptorhynchus,Ed Weber,ed.weber@noaa.gov,166462,Syngnathus leptorhynchus
CalCOFI Ichthyoplankton,Synodus lucioceps,Ed Weber,ed.weber@noaa.gov,162378,Synodus lucioceps
CalCOFI Ichthyoplankton,Taaningichthys minimus,Ed Weber,ed.weber@noaa.gov,162742,Taaningichthys minimus
CalCOFI Ichthyoplankton,Tactostoma macropus,Ed Weber,ed.weber@noaa.gov,162247,Tactostoma macropus
CalCOFI Ichthyoplankton,Talismania bifurcata,Ed Weber,ed.weber@noaa.gov,182875,Talismania bifurcata
CalCOFI Ichthyoplankton,Taoniinae,Ed Weber,ed.weber@noaa.gov,555741,Taoniinae
