Project Request,Scientific Name,Point of Contact for Submission,Email,Common Name,Survey Type
NAS Species List,Pangio kuhlii,Ann Holmes,aholmes@ucdavis.edu ,coolie loach,Monitored
NAS Species List,Paramisgurnus dabryanus,Ann Holmes,aholmes@ucdavis.edu ,Large scale loach,Monitored
NAS Species List,Cottus asper,Ann Holmes,aholmes@ucdavis.edu ,Prickly Sculpin,Monitored
NAS Species List,Cottus bairdii,Ann Holmes,aholmes@ucdavis.edu ,Mottled Sculpin,Monitored
NAS Species List,Cottus extensus,Ann Holmes,aholmes@ucdavis.edu ,Bear Lake Sculpin,Monitored
NAS Species List,Cottus greenei,Ann Holmes,aholmes@ucdavis.edu ,Shoshone Sculpin,Monitored
NAS Species List,Cottus immaculatus,Ann Holmes,aholmes@ucdavis.edu ,Knobfin Sculpin,Monitored
NAS Species List,Ctenolucius hujeta,Ann Holmes,aholmes@ucdavis.edu ,Gar Characin,Monitored
NAS Species List,Agosia chrysogaster,Ann Holmes,aholmes@ucdavis.edu ,Longfin Dace,Monitored
NAS Species List,Balantiocheilos melanopterus,Ann Holmes,aholmes@ucdavis.edu ,tricolor sharkminnow,Monitored
NAS Species List,Barbonymus gonionotus,Ann Holmes,aholmes@ucdavis.edu ,Java Barb,Monitored
NAS Species List,Barbonymus schwanenfeldii,Ann Holmes,aholmes@ucdavis.edu ,tinfoil barb,Monitored
NAS Species List,Campostoma anomalum,Ann Holmes,aholmes@ucdavis.edu ,Central Stoneroller,Monitored
NAS Species List,Campostoma oligolepis,Ann Holmes,aholmes@ucdavis.edu ,Largescale Stoneroller,Monitored
NAS Species List,Carassius auratus,Ann Holmes,aholmes@ucdavis.edu ,Goldfish,Monitored
NAS Species List,Carassius auratus x carassius,Ann Holmes,aholmes@ucdavis.edu ,Goldfish x Crucian Carp,Monitored
NAS Species List,Carassius auratus x Cyprinus carpio,Ann Holmes,aholmes@ucdavis.edu ,Goldfish x Common Carp,Monitored
NAS Species List,Carassius carassius,Ann Holmes,aholmes@ucdavis.edu ,crucian carp,Monitored
NAS Species List,Carassius gibelio,Ann Holmes,aholmes@ucdavis.edu ,Prussian carp,Monitored
NAS Species List,Carassius langsdorfii,Ann Holmes,aholmes@ucdavis.edu ,Ginbuna,Monitored
NAS Species List,Chrosomus eos,Ann Holmes,aholmes@ucdavis.edu ,Northern Redbelly Dace,Monitored
NAS Species List,Chrosomus neogaeus,Ann Holmes,aholmes@ucdavis.edu ,Finescale Dace,Monitored
NAS Species List,Chrosomus oreas,Ann Holmes,aholmes@ucdavis.edu ,Mountain Redbelly Dace,Monitored
NAS Species List,Clinostomus elongatus,Ann Holmes,aholmes@ucdavis.edu ,Redside Dace,Monitored
NAS Species List,Clinostomus funduloides,Ann Holmes,aholmes@ucdavis.edu ,Rosyside Dace,Monitored
NAS Species List,Clinostomus funduloides funduloides,Ann Holmes,aholmes@ucdavis.edu ,Rosyside Dace,Monitored
NAS Species List,Couesius plumbeus,Ann Holmes,aholmes@ucdavis.edu ,Lake Chub,Monitored
NAS Species List,Ctenopharyngodon idella,Ann Holmes,aholmes@ucdavis.edu ,Grass Carp,Monitored
NAS Species List,Ctenopharyngodon idella,Ann Holmes,aholmes@ucdavis.edu ,Grass Carp (diploid),Monitored
NAS Species List,Ctenopharyngodon idella,Ann Holmes,aholmes@ucdavis.edu ,Grass Carp (triploid),Monitored
NAS Species List,Ctenopharyngodon idella x Hypophthalmichthys nobilis,Ann Holmes,aholmes@ucdavis.edu ,Grass Carp x Bighead Carp,Monitored
NAS Species List,Cyprinella analostana,Ann Holmes,aholmes@ucdavis.edu ,Satinfin Shiner,Monitored
NAS Species List,Cyprinella galactura,Ann Holmes,aholmes@ucdavis.edu ,Whitetail Shiner,Monitored
NAS Species List,Cyprinella lutrensis,Ann Holmes,aholmes@ucdavis.edu ,Red Shiner,Monitored
NAS Species List,Cyprinella pyrrhomelas,Ann Holmes,aholmes@ucdavis.edu ,Fieryblack Shiner,Monitored
NAS Species List,Cyprinella spiloptera,Ann Holmes,aholmes@ucdavis.edu ,Spotfin Shiner,Monitored
NAS Species List,Cyprinella venusta,Ann Holmes,aholmes@ucdavis.edu ,Blacktail Shiner,Monitored
NAS Species List,Cyprinella whipplei,Ann Holmes,aholmes@ucdavis.edu ,Steelcolor Shiner,Monitored
NAS Species List,Cyprinus carpio,Ann Holmes,aholmes@ucdavis.edu ,Common Carp,Monitored
NAS Species List,Cyprinus rubrofuscus,Ann Holmes,aholmes@ucdavis.edu ,Koi,Monitored
NAS Species List,Danio rerio,Ann Holmes,aholmes@ucdavis.edu ,zebra danio,Monitored
NAS Species List,Dawkinsia filamentosa,Ann Holmes,aholmes@ucdavis.edu ,blackspot barb,Monitored
NAS Species List,Devario malabaricus,Ann Holmes,aholmes@ucdavis.edu ,Malabar danio,Monitored
NAS Species List,Eremichthys acros,Ann Holmes,aholmes@ucdavis.edu ,Desert Dace,Monitored
NAS Species List,Exoglossum laurae,Ann Holmes,aholmes@ucdavis.edu ,Tonguetied Minnow,Monitored
NAS Species List,Exoglossum maxillingua,Ann Holmes,aholmes@ucdavis.edu ,Cutlip Minnow,Monitored
NAS Species List,Gila atraria,Ann Holmes,aholmes@ucdavis.edu ,Utah Chub,Monitored
NAS Species List,Gila coerulea,Ann Holmes,aholmes@ucdavis.edu ,Blue Chub,Monitored
NAS Species List,Gila orcuttii,Ann Holmes,aholmes@ucdavis.edu ,Arroyo Chub,Monitored
NAS Species List,Gila pandora,Ann Holmes,aholmes@ucdavis.edu ,Rio Grande Chub,Monitored
NAS Species List,Gila robusta,Ann Holmes,aholmes@ucdavis.edu ,roundtail chub,Monitored
NAS Species List,Gila seminuda,Ann Holmes,aholmes@ucdavis.edu ,Virgin Chub,Monitored
NAS Species List,Hesperoleucus symmetricus,Ann Holmes,aholmes@ucdavis.edu ,California Roach,Monitored
NAS Species List,Hybognathus hankinsoni,Ann Holmes,aholmes@ucdavis.edu ,Brassy Minnow,Monitored
NAS Species List,Hybognathus nuchalis,Ann Holmes,aholmes@ucdavis.edu ,Mississippi Silvery Minnow,Monitored
NAS Species List,Hybognathus placitus,Ann Holmes,aholmes@ucdavis.edu ,Plains Minnow,Monitored
NAS Species List,Hybognathus regius,Ann Holmes,aholmes@ucdavis.edu ,Eastern Silvery Minnow,Monitored
NAS Species List,Hybopsis amblops,Ann Holmes,aholmes@ucdavis.edu ,Bigeye Chub,Monitored
NAS Species List,Hybopsis amnis,Ann Holmes,aholmes@ucdavis.edu ,Pallid Shiner,Monitored
NAS Species List,Hybopsis cf. winchelli,Ann Holmes,aholmes@ucdavis.edu ,clear chub,Monitored
NAS Species List,Hybopsis hypsinotus,Ann Holmes,aholmes@ucdavis.edu ,Highback Chub,Monitored
NAS Species List,Hypophthalmichthys molitrix,Ann Holmes,aholmes@ucdavis.edu ,Silver Carp,Monitored
NAS Species List,Hypophthalmichthys molitrix x nobilis,Ann Holmes,aholmes@ucdavis.edu ,Silver Carp x Bighead Carp,Monitored
NAS Species List,Hypophthalmichthys nobilis,Ann Holmes,aholmes@ucdavis.edu ,Bighead Carp,Monitored
NAS Species List,Hypophthalmichthys sp.,Ann Holmes,aholmes@ucdavis.edu ,bigheaded carps,Monitored
NAS Species List,Iotichthys phlegethontis,Ann Holmes,aholmes@ucdavis.edu ,Least Chub,Monitored
NAS Species List,Labeo chrysophekadion,Ann Holmes,aholmes@ucdavis.edu ,black labeo,Monitored
NAS Species List,Lavinia exilicauda,Ann Holmes,aholmes@ucdavis.edu ,Hitch,Monitored
NAS Species List,Lepidomeda albivallis,Ann Holmes,aholmes@ucdavis.edu ,White River Spinedace,Monitored
NAS Species List,Lepidomeda copei,Ann Holmes,aholmes@ucdavis.edu ,Northern Leatherside Chub,Monitored
NAS Species List,Lepidomeda mollispinis mollispinis,Ann Holmes,aholmes@ucdavis.edu ,Virgin Spinedace,Monitored
NAS Species List,Lepidomeda mollispinis pratensis,Ann Holmes,aholmes@ucdavis.edu ,Big Spring spinedace,Monitored
NAS Species List,Leuciscus idus,Ann Holmes,aholmes@ucdavis.edu ,Ide,Monitored
NAS Species List,Luxilus albeolus,Ann Holmes,aholmes@ucdavis.edu ,White Shiner,Monitored
NAS Species List,Luxilus cerasinus,Ann Holmes,aholmes@ucdavis.edu ,Crescent Shiner,Monitored
NAS Species List,Luxilus chrysocephalus,Ann Holmes,aholmes@ucdavis.edu ,Striped Shiner,Monitored
NAS Species List,Luxilus chrysocephalus isolepis,Ann Holmes,aholmes@ucdavis.edu ,Striped Shiner,Monitored
NAS Species List,Luxilus coccogenis,Ann Holmes,aholmes@ucdavis.edu ,Warpaint Shiner,Monitored
NAS Species List,Luxilus cornutus,Ann Holmes,aholmes@ucdavis.edu ,Common Shiner,Monitored
NAS Species List,Luxilus zonistius,Ann Holmes,aholmes@ucdavis.edu ,Bandfin Shiner,Monitored
NAS Species List,Lythrurus ardens,Ann Holmes,aholmes@ucdavis.edu ,Rosefin Shiner,Monitored
NAS Species List,Lythrurus atrapiculus,Ann Holmes,aholmes@ucdavis.edu ,Blacktip Shiner,Monitored
NAS Species List,Lythrurus fasciolaris,Ann Holmes,aholmes@ucdavis.edu ,Scarlet Shiner,Monitored
NAS Species List,Lythrurus matutinus,Ann Holmes,aholmes@ucdavis.edu ,Pinewoods Shiner,Monitored
NAS Species List,Macrhybopsis meeki,Ann Holmes,aholmes@ucdavis.edu ,Sicklefin Chub,Monitored
NAS Species List,Margariscus margarita,Ann Holmes,aholmes@ucdavis.edu ,Allegheny Pearl Dace,Monitored
NAS Species List,Meda fulgida,Ann Holmes,aholmes@ucdavis.edu ,Spikedace,Monitored
NAS Species List,Moapa coriacea,Ann Holmes,aholmes@ucdavis.edu ,Moapa Dace,Monitored
NAS Species List,Mylocheilus caurinus,Ann Holmes,aholmes@ucdavis.edu ,Peamouth,Monitored
NAS Species List,Mylopharyngodon piceus,Ann Holmes,aholmes@ucdavis.edu ,Black Carp,Monitored
NAS Species List,Mylopharyngodon piceus,Ann Holmes,aholmes@ucdavis.edu ,Black Carp (diploid),Monitored
NAS Species List,Mylopharyngodon piceus,Ann Holmes,aholmes@ucdavis.edu ,Black Carp (triploid),Monitored
NAS Species List,Nocomis biguttatus,Ann Holmes,aholmes@ucdavis.edu ,Hornyhead Chub,Monitored
NAS Species List,Nocomis leptocephalus,Ann Holmes,aholmes@ucdavis.edu ,Bluehead Chub,Monitored
NAS Species List,Nocomis leptocephalus bellicus,Ann Holmes,aholmes@ucdavis.edu ,Bluehead Chub,Monitored
NAS Species List,Nocomis micropogon,Ann Holmes,aholmes@ucdavis.edu ,River Chub,Monitored
NAS Species List,Nocomis raneyi,Ann Holmes,aholmes@ucdavis.edu ,Bull Chub,Monitored
NAS Species List,Notemigonus crysoleucas,Ann Holmes,aholmes@ucdavis.edu ,Golden Shiner,Monitored
NAS Species List,Notropis altipinnis,Ann Holmes,aholmes@ucdavis.edu ,Highfin Shiner,Monitored
NAS Species List,Notropis amabilis,Ann Holmes,aholmes@ucdavis.edu ,Texas Shiner,Monitored
NAS Species List,Notropis amoenus,Ann Holmes,aholmes@ucdavis.edu ,Comely Shiner,Monitored
NAS Species List,Notropis amplamala,Ann Holmes,aholmes@ucdavis.edu ,Longjaw Minnow,Monitored
NAS Species List,Notropis ariommus,Ann Holmes,aholmes@ucdavis.edu ,Popeye Shiner,Monitored
NAS Species List,Notropis atherinoides,Ann Holmes,aholmes@ucdavis.edu ,Emerald Shiner,Monitored
NAS Species List,Notropis baileyi,Ann Holmes,aholmes@ucdavis.edu ,Rough Shiner,Monitored
NAS Species List,Notropis bairdi,Ann Holmes,aholmes@ucdavis.edu ,Red River Shiner,Monitored
NAS Species List,Notropis blennius,Ann Holmes,aholmes@ucdavis.edu ,River Shiner,Monitored
NAS Species List,Notropis boops,Ann Holmes,aholmes@ucdavis.edu ,Bigeye Shiner,Monitored
NAS Species List,Notropis braytoni,Ann Holmes,aholmes@ucdavis.edu ,Tamaulipas shiner,Monitored
NAS Species List,Notropis buccatus,Ann Holmes,aholmes@ucdavis.edu ,Silverjaw Minnow,Monitored
NAS Species List,Notropis buccula,Ann Holmes,aholmes@ucdavis.edu ,Smalleye Shiner,Monitored
NAS Species List,Notropis chihuahua,Ann Holmes,aholmes@ucdavis.edu ,Chihuahua shiner,Monitored
NAS Species List,Notropis chiliticus,Ann Holmes,aholmes@ucdavis.edu ,Redlip Shiner,Monitored
NAS Species List,Notropis chrosomus,Ann Holmes,aholmes@ucdavis.edu ,Rainbow Shiner,Monitored
NAS Species List,Notropis dorsalis,Ann Holmes,aholmes@ucdavis.edu ,Bigmouth Shiner,Monitored
NAS Species List,Notropis girardi,Ann Holmes,aholmes@ucdavis.edu ,Arkansas River Shiner,Monitored
NAS Species List,Notropis harperi,Ann Holmes,aholmes@ucdavis.edu ,Redeye Chub,Monitored
NAS Species List,Notropis heterolepis,Ann Holmes,aholmes@ucdavis.edu ,Blacknose Shiner,Monitored
NAS Species List,Notropis hudsonius,Ann Holmes,aholmes@ucdavis.edu ,Spottail Shiner,Monitored
NAS Species List,Notropis hypsilepis,Ann Holmes,aholmes@ucdavis.edu ,Highscale Shiner,Monitored
NAS Species List,Notropis leuciodus,Ann Holmes,aholmes@ucdavis.edu ,Tennessee Shiner,Monitored
NAS Species List,Notropis longirostris,Ann Holmes,aholmes@ucdavis.edu ,Longnose Shiner,Monitored
NAS Species List,Notropis lutipinnis,Ann Holmes,aholmes@ucdavis.edu ,Yellowfin Shiner,Monitored
NAS Species List,Notropis nubilus,Ann Holmes,aholmes@ucdavis.edu ,Ozark Minnow,Monitored
NAS Species List,Notropis orca,Ann Holmes,aholmes@ucdavis.edu ,phantom shiner,Monitored
NAS Species List,Notropis ozarcanus,Ann Holmes,aholmes@ucdavis.edu ,Ozark Shiner,Monitored
NAS Species List,Notropis potteri,Ann Holmes,aholmes@ucdavis.edu ,Chub Shiner,Monitored
NAS Species List,Notropis procne,Ann Holmes,aholmes@ucdavis.edu ,Swallowtail Shiner,Monitored
NAS Species List,Notropis rubellus,Ann Holmes,aholmes@ucdavis.edu ,Rosyface Shiner,Monitored
NAS Species List,Notropis rubricroceus,Ann Holmes,aholmes@ucdavis.edu ,Saffron Shiner,Monitored
NAS Species List,Notropis spectrunculus,Ann Holmes,aholmes@ucdavis.edu ,Mirror Shiner,Monitored
NAS Species List,Notropis stramineus,Ann Holmes,aholmes@ucdavis.edu ,Sand Shiner,Monitored
NAS Species List,Notropis stramineus missuriensis,Ann Holmes,aholmes@ucdavis.edu ,Sand Shiner,Monitored
NAS Species List,Notropis telescopus,Ann Holmes,aholmes@ucdavis.edu ,Telescope Shiner,Monitored
NAS Species List,Notropis texanus,Ann Holmes,aholmes@ucdavis.edu ,Weed Shiner,Monitored
NAS Species List,Notropis volucellus,Ann Holmes,aholmes@ucdavis.edu ,Mimic Shiner,Monitored
NAS Species List,Notropis xaenocephalus,Ann Holmes,aholmes@ucdavis.edu ,Coosa Shiner,Monitored
NAS Species List,Orthodon microlepidotus,Ann Holmes,aholmes@ucdavis.edu ,Sacramento Blackfish,Monitored
NAS Species List,Pethia conchonius,Ann Holmes,aholmes@ucdavis.edu ,rosy barb,Monitored
NAS Species List,Pethia gelius,Ann Holmes,aholmes@ucdavis.edu ,dwarf barb,Monitored
NAS Species List,Phenacobius mirabilis,Ann Holmes,aholmes@ucdavis.edu ,Suckermouth Minnow,Monitored
NAS Species List,Pimephales notatus,Ann Holmes,aholmes@ucdavis.edu ,Bluntnose Minnow,Monitored
NAS Species List,Pimephales promelas,Ann Holmes,aholmes@ucdavis.edu ,Fathead Minnow,Monitored
NAS Species List,Pimephales tenellus,Ann Holmes,aholmes@ucdavis.edu ,Slim Minnow,Monitored
NAS Species List,Pimephales vigilax,Ann Holmes,aholmes@ucdavis.edu ,Bullhead Minnow,Monitored
NAS Species List,Plagopterus argentissimus,Ann Holmes,aholmes@ucdavis.edu ,Woundfin,Monitored
NAS Species List,Platygobio gracilis,Ann Holmes,aholmes@ucdavis.edu ,Flathead Chub,Monitored
NAS Species List,Pogonichthys macrolepidotus,Ann Holmes,aholmes@ucdavis.edu ,Splittail,Monitored
NAS Species List,Ptychocheilus grandis,Ann Holmes,aholmes@ucdavis.edu ,Sacramento Pikeminnow,Monitored
NAS Species List,Ptychocheilus umpquae,Ann Holmes,aholmes@ucdavis.edu ,Umpqua Pikeminnow,Monitored
NAS Species List,Puntigrus tetrazona,Ann Holmes,aholmes@ucdavis.edu ,tiger barb,Monitored
NAS Species List,Puntius semifasciolatus,Ann Holmes,aholmes@ucdavis.edu ,green barb,Monitored
NAS Species List,Relictus solitarius,Ann Holmes,aholmes@ucdavis.edu ,Relict Dace,Monitored
NAS Species List,Rhinichthys atratulus,Ann Holmes,aholmes@ucdavis.edu ,Blacknose Dace,Monitored
NAS Species List,Rhinichthys cataractae,Ann Holmes,aholmes@ucdavis.edu ,Longnose Dace,Monitored
NAS Species List,Rhinichthys osculus,Ann Holmes,aholmes@ucdavis.edu ,Speckled Dace,Monitored
NAS Species List,Rhinichthys osculus klamathensis,Ann Holmes,aholmes@ucdavis.edu ,Klamath speckled dace,Monitored
NAS Species List,Rhinichthys osculus robustus,Ann Holmes,aholmes@ucdavis.edu ,Lahontan speckled dace,Monitored
NAS Species List,Rhodeus sericeus,Ann Holmes,aholmes@ucdavis.edu ,Bitterling,Monitored
NAS Species List,Richardsonius balteatus,Ann Holmes,aholmes@ucdavis.edu ,Redside Shiner,Monitored
NAS Species List,Richardsonius balteatus hydrophlox,Ann Holmes,aholmes@ucdavis.edu ,Bonneville redside shiner,Monitored
NAS Species List,Richardsonius egregius,Ann Holmes,aholmes@ucdavis.edu ,Lahontan Redside,Monitored
NAS Species List,Scardinius erythrophthalmus,Ann Holmes,aholmes@ucdavis.edu ,Rudd,Monitored
NAS Species List,Semotilus atromaculatus,Ann Holmes,aholmes@ucdavis.edu ,Creek Chub,Monitored
NAS Species List,Semotilus corporalis,Ann Holmes,aholmes@ucdavis.edu ,Fallfish,Monitored
NAS Species List,Siphateles bicolor,Ann Holmes,aholmes@ucdavis.edu ,Tui Chub,Monitored
NAS Species List,Siphateles bicolor mohavensis,Ann Holmes,aholmes@ucdavis.edu ,Mohave Tui Chub,Monitored
NAS Species List,Siphateles bicolor obesus,Ann Holmes,aholmes@ucdavis.edu ,Lahontan Creek Tui Chub,Monitored
NAS Species List,Siphateles bicolor snyderi,Ann Holmes,aholmes@ucdavis.edu ,Owens Tui Chub,Monitored
NAS Species List,Tanichthys albonubes,Ann Holmes,aholmes@ucdavis.edu ,White Cloud Mountain Minnow,Monitored
NAS Species List,Tinca tinca,Ann Holmes,aholmes@ucdavis.edu ,Tench,Monitored
NAS Species List,Cyprinodon diabolis,Ann Holmes,aholmes@ucdavis.edu ,Devils Hole Pupfish,Monitored
NAS Species List,Cyprinodon eremus,Ann Holmes,aholmes@ucdavis.edu ,Sonoyta Pupfish,Monitored
NAS Species List,Cyprinodon macularius,Ann Holmes,aholmes@ucdavis.edu ,Desert Pupfish,Monitored
NAS Species List,Cyprinodon macularius macularius,Ann Holmes,aholmes@ucdavis.edu ,Desert Pupfish,Monitored
NAS Species List,Cyprinodon nevadensis,Ann Holmes,aholmes@ucdavis.edu ,Amargosa Pupfish,Monitored
NAS Species List,Cyprinodon nevadensis amargosae,Ann Holmes,aholmes@ucdavis.edu ,Amargosa pupfish,Monitored
NAS Species List,Cyprinodon radiosus,Ann Holmes,aholmes@ucdavis.edu ,Owens Pupfish,Monitored
NAS Species List,Cyprinodon rubrofluviatilis,Ann Holmes,aholmes@ucdavis.edu ,Red River Pupfish,Monitored
NAS Species List,Cyprinodon salinus,Ann Holmes,aholmes@ucdavis.edu ,Salt Creek Pupfish,Monitored
NAS Species List,Cyprinodon variegatus,Ann Holmes,aholmes@ucdavis.edu ,Sheepshead Minnow,Monitored
NAS Species List,Jordanella floridae,Ann Holmes,aholmes@ucdavis.edu ,Flagfish,Monitored
NAS Species List,Agamyxis pectinifrons,Ann Holmes,aholmes@ucdavis.edu ,spotted rafael catfish,Monitored
NAS Species List,Oxydoras niger,Ann Holmes,aholmes@ucdavis.edu ,ripsaw catfish,Monitored
NAS Species List,Platydoras costatus,Ann Holmes,aholmes@ucdavis.edu ,Raphael catfish,Monitored
NAS Species List,Pterodoras granulosus,Ann Holmes,aholmes@ucdavis.edu ,granulated catfish,Monitored
NAS Species List,Pterodoras sp.,Ann Holmes,aholmes@ucdavis.edu ,thorny catfish,Monitored
NAS Species List,Butis koilomatodon,Ann Holmes,aholmes@ucdavis.edu ,mud sleeper,Monitored
NAS Species List,Amphistichus rhodoterus,Ann Holmes,aholmes@ucdavis.edu ,Redtail Surfperch,Monitored
NAS Species List,Hysterocarpus traskii,Ann Holmes,aholmes@ucdavis.edu ,Tule Perch,Monitored
NAS Species List,Anchoa compressa,Ann Holmes,aholmes@ucdavis.edu ,Deepbody Anchovy,Monitored
NAS Species List,Anchoa mundeoloides,Ann Holmes,aholmes@ucdavis.edu ,Northern Gulf Anchovy,Monitored
NAS Species List,Cetengraulis mysticetus,Ann Holmes,aholmes@ucdavis.edu ,Anchoveta,Monitored
NAS Species List,Engraulis mordax,Ann Holmes,aholmes@ucdavis.edu ,Northern Anchovy,Monitored
NAS Species List,Platax orbicularis,Ann Holmes,aholmes@ucdavis.edu ,orbicular batfish,Monitored
NAS Species List,Hoplias malabaricus,Ann Holmes,aholmes@ucdavis.edu ,trahira,Monitored
NAS Species List,Esox americanus,Ann Holmes,aholmes@ucdavis.edu ,Redfin Pickerel,Monitored
NAS Species List,Esox americanus americanus,Ann Holmes,aholmes@ucdavis.edu ,Redfin Pickerel,Monitored
NAS Species List,Esox americanus vermiculatus,Ann Holmes,aholmes@ucdavis.edu ,Grass Pickerel,Monitored
NAS Species List,Esox lucius,Ann Holmes,aholmes@ucdavis.edu ,Northern Pike,Monitored
NAS Species List,Esox lucius x masquinongy,Ann Holmes,aholmes@ucdavis.edu ,tiger muskellunge,Monitored
NAS Species List,Esox lucius x niger,Ann Holmes,aholmes@ucdavis.edu ,Northern Pike x Chain Pickerel,Monitored
NAS Species List,Esox lucius x reichertii,Ann Holmes,aholmes@ucdavis.edu ,Northern Pike x Amur pike,Monitored
NAS Species List,Esox masquinongy,Ann Holmes,aholmes@ucdavis.edu ,Muskellunge,Monitored
NAS Species List,Esox niger,Ann Holmes,aholmes@ucdavis.edu ,Chain Pickerel,Monitored
NAS Species List,Esox reichertii,Ann Holmes,aholmes@ucdavis.edu ,Amur pike,Monitored
NAS Species List,Fundulus catenatus,Ann Holmes,aholmes@ucdavis.edu ,Northern Studfish,Monitored
NAS Species List,Fundulus chrysotus,Ann Holmes,aholmes@ucdavis.edu ,Golden Topminnow,Monitored
NAS Species List,Fundulus diaphanus,Ann Holmes,aholmes@ucdavis.edu ,Banded Killifish,Monitored
NAS Species List,Fundulus diaphanus diaphanus,Ann Holmes,aholmes@ucdavis.edu ,eastern banded killifish,Monitored
NAS Species List,Fundulus heteroclitus,Ann Holmes,aholmes@ucdavis.edu ,Mummichog,Monitored
NAS Species List,Fundulus kansae,Ann Holmes,aholmes@ucdavis.edu ,Northern Plains Killifish,Monitored
NAS Species List,Fundulus lineolatus,Ann Holmes,aholmes@ucdavis.edu ,Lined Topminnow,Monitored
NAS Species List,Fundulus notatus,Ann Holmes,aholmes@ucdavis.edu ,Blackstripe Topminnow,Monitored
NAS Species List,Fundulus sciadicus,Ann Holmes,aholmes@ucdavis.edu ,Plains Topminnow,Monitored
NAS Species List,Fundulus seminolis,Ann Holmes,aholmes@ucdavis.edu ,Seminole Killifish,Monitored
NAS Species List,Fundulus stellifer,Ann Holmes,aholmes@ucdavis.edu ,Southern Studfish,Monitored
NAS Species List,Fundulus zebrinus,Ann Holmes,aholmes@ucdavis.edu ,Plains Killifish,Monitored
NAS Species List,Lucania goodei,Ann Holmes,aholmes@ucdavis.edu ,Bluefin Killifish,Monitored
NAS Species List,Lucania parva,Ann Holmes,aholmes@ucdavis.edu ,Rainwater Killifish,Monitored
NAS Species List,Fundulus grandis,Ann Holmes,aholmes@ucdavis.edu ,Gulf Killifish,Monitored
NAS Species List,Lota lota,Ann Holmes,aholmes@ucdavis.edu ,Burbot,Monitored
NAS Species List,Apeltes quadracus,Ann Holmes,aholmes@ucdavis.edu ,Fourspine Stickleback,Monitored
NAS Species List,Culaea inconstans,Ann Holmes,aholmes@ucdavis.edu ,Brook Stickleback,Monitored
NAS Species List,Gasterosteus aculeatus,Ann Holmes,aholmes@ucdavis.edu ,Threespine Stickleback,Monitored
NAS Species List,Pungitius pungitius,Ann Holmes,aholmes@ucdavis.edu ,Ninespine Stickleback,Monitored
NAS Species List,Eucinostomus argenteus,Ann Holmes,aholmes@ucdavis.edu ,Spotfin Mojarra,Monitored
NAS Species List,Eucinostomus gracilis,Ann Holmes,aholmes@ucdavis.edu ,Graceful Mojarra,Monitored
NAS Species List,Gobionellus oceanicus,Ann Holmes,aholmes@ucdavis.edu ,Highfin Goby,Monitored
NAS Species List,Neogobius melanostomus,Ann Holmes,aholmes@ucdavis.edu ,Round Goby,Monitored
NAS Species List,Proterorhinus semilunaris,Ann Holmes,aholmes@ucdavis.edu ,Freshwater Tubenose Goby,Monitored
NAS Species List,Rhinogobius brunneus,Ann Holmes,aholmes@ucdavis.edu ,Amur goby,Monitored
NAS Species List,Tridentiger bifasciatus,Ann Holmes,aholmes@ucdavis.edu ,Shimofuri Goby,Monitored
NAS Species List,Acanthogobius flavimanus,Ann Holmes,aholmes@ucdavis.edu ,Yellowfin Goby,Monitored
NAS Species List,Gillichthys mirabilis,Ann Holmes,aholmes@ucdavis.edu ,Longjaw Mudsucker,Monitored
NAS Species List,Gillichthys seta,Ann Holmes,aholmes@ucdavis.edu ,Shortjaw Mudsucker,Monitored
NAS Species List,Gobiosoma bosc,Ann Holmes,aholmes@ucdavis.edu ,Naked Goby,Monitored
NAS Species List,Mugilogobius cavifrons,Ann Holmes,aholmes@ucdavis.edu ,mangrove goby,Monitored
NAS Species List,Tridentiger barbatus,Ann Holmes,aholmes@ucdavis.edu ,Shokihaze Goby,Monitored
NAS Species List,Tridentiger trigonocephalus,Ann Holmes,aholmes@ucdavis.edu ,Chameleon Goby,Monitored
NAS Species List,Ameca splendens,Ann Holmes,aholmes@ucdavis.edu ,Butterfly Splitfin,Monitored
NAS Species List,Crenichthys baileyi grandis,Ann Holmes,aholmes@ucdavis.edu ,Hiko White River springfish,Monitored
NAS Species List,Crenichthys nevadae,Ann Holmes,aholmes@ucdavis.edu ,Railroad Valley Springfish,Monitored
NAS Species List,Empetrichthys latos,Ann Holmes,aholmes@ucdavis.edu ,Pahrump Poolfish,Monitored
NAS Species List,Empetrichthys latos latos,Ann Holmes,aholmes@ucdavis.edu ,Pahrump Poolfish,Monitored
NAS Species List,Gramma loreto,Ann Holmes,aholmes@ucdavis.edu ,Fairy Basslet,Monitored
NAS Species List,Gyrinocheilus aymonieri,Ann Holmes,aholmes@ucdavis.edu ,Chinese algae-eater,Monitored
NAS Species List,Anisotremus davidsonii,Ann Holmes,aholmes@ucdavis.edu ,Sargo,Monitored
NAS Species List,Plectorhinchus chaetodonoides,Ann Holmes,aholmes@ucdavis.edu ,harlequin sweetlips,Monitored
NAS Species List,Helostoma temminkii,Ann Holmes,aholmes@ucdavis.edu ,kissing gourami,Monitored
NAS Species List,Chiloscyllium punctatum,Ann Holmes,aholmes@ucdavis.edu ,brownbanded bambooshark,Monitored
NAS Species List,Rhamdia quelen,Ann Holmes,aholmes@ucdavis.edu ,bagre,Monitored
NAS Species List,Rhamdia sp.,Ann Holmes,aholmes@ucdavis.edu ,bagre de Rio,Monitored
